datetime,V51Z,V111Z,Total
2024-03-03 15:20:00,25,24,49
2024-03-03 15:30:00,24,26,50
2024-03-03 15:40:00,28,27,55
2024-03-03 15:50:00,29,21,50
2024-03-03 16:00:00,25,25,50
2024-03-03 16:10:00,24,25,49
2024-03-03 16:20:00,40,28,68
2024-03-03 16:30:00,30,20,50
2024-03-03 16:40:00,28,27,55
2024-03-03 16:50:00,42,26,68
2024-03-03 17:00:00,36,32,68
2024-03-03 17:10:00,61,22,83
2024-03-03 17:20:00,34,26,60
2024-03-03 17:30:00,35,28,63
2024-03-03 17:40:00,26,29,55
2024-03-03 17:50:00,27,23,50
2024-03-03 18:00:00,29,25,54
2024-03-03 18:10:00,29,28,57
2024-03-03 18:20:00,23,22,45
2024-03-03 18:30:00,26,17,43
2024-03-03 18:40:00,26,29,55
2024-03-03 18:50:00,29,19,48
2024-03-03 19:00:00,17,25,42
2024-03-03 19:10:00,20,25,45
2024-03-03 19:20:00,22,19,41
2024-03-03 19:30:00,19,18,37
2024-03-03 19:40:00,13,15,28
2024-03-03 19:50:00,19,22,41
2024-03-03 20:00:00,19,16,35
2024-03-03 20:10:00,23,16,39
2024-03-03 20:20:00,24,20,44
2024-03-03 20:30:00,12,6,18
2024-03-03 20:40:00,15,8,23
2024-03-03 20:50:00,17,12,29
2024-03-03 21:00:00,9,14,23
2024-03-03 21:10:00,10,10,20
2024-03-03 21:20:00,15,11,26
2024-03-03 21:30:00,17,9,26
2024-03-03 21:40:00,9,9,18
2024-03-03 21:50:00,2,12,14
2024-03-03 22:00:00,13,10,23
2024-03-03 22:10:00,11,8,19
2024-03-03 22:20:00,7,7,14
2024-03-03 22:30:00,7,3,10
2024-03-03 22:40:00,15,6,21
2024-03-03 22:50:00,8,5,13
2024-03-03 23:00:00,8,3,11
2024-03-03 23:10:00,3,5,8
2024-03-03 23:20:00,9,2,11
2024-03-03 23:30:00,3,1,4
2024-03-03 23:40:00,6,3,9
2024-03-03 23:50:00,4,3,7
2024-03-04 00:00:00,2,1,3
2024-03-04 00:10:00,2,2,4
2024-03-04 00:20:00,0,3,3
2024-03-04 00:30:00,1,1,2
2024-03-04 00:40:00,3,4,7
2024-03-04 00:50:00,4,2,6
2024-03-04 01:00:00,1,1,2
2024-03-04 01:10:00,0,2,2
2024-03-04 01:20:00,0,2,2
2024-03-04 01:30:00,0,0,0
2024-03-04 01:40:00,3,1,4
2024-03-04 01:50:00,0,2,2
2024-03-04 02:00:00,4,0,4
2024-03-04 02:10:00,0,2,2
2024-03-04 02:20:00,1,1,2
2024-03-04 02:30:00,1,0,1
2024-03-04 02:40:00,0,0,0
2024-03-04 02:50:00,2,1,3
2024-03-04 03:00:00,0,0,0
2024-03-04 03:10:00,0,2,2
2024-03-04 03:20:00,0,0,0
2024-03-04 03:30:00,3,0,3
2024-03-04 03:40:00,1,1,2
2024-03-04 03:50:00,2,1,3
2024-03-04 04:00:00,2,2,4
2024-03-04 04:10:00,3,5,8
2024-03-04 04:20:00,3,1,4
2024-03-04 04:30:00,2,3,5
2024-03-04 04:40:00,5,5,10
2024-03-04 04:50:00,1,1,2
2024-03-04 05:00:00,3,5,8
2024-03-04 05:10:00,4,6,10
2024-03-04 05:20:00,0,7,7
2024-03-04 05:30:00,7,22,29
2024-03-04 05:40:00,7,15,22
2024-03-04 05:50:00,6,11,17
2024-03-04 06:00:00,8,11,19
2024-03-04 06:10:00,12,18,30
2024-03-04 06:20:00,10,25,35
2024-03-04 06:30:00,13,18,31
2024-03-04 06:40:00,14,24,38
2024-03-04 06:50:00,16,31,47
2024-03-04 07:00:00,21,29,50
2024-03-04 07:10:00,23,26,49
2024-03-04 07:20:00,23,28,51
2024-03-04 07:30:00,19,26,45
2024-03-04 07:40:00,38,18,56
2024-03-04 07:50:00,38,23,61
2024-03-04 08:00:00,35,32,67
2024-03-04 08:10:00,25,28,53
2024-03-04 08:20:00,35,27,62
2024-03-04 08:30:00,31,22,53
2024-03-04 08:40:00,26,33,59
2024-03-04 08:50:00,37,30,67
2024-03-04 09:00:00,23,23,46
2024-03-04 09:10:00,30,32,62
2024-03-04 09:20:00,20,26,46
2024-03-04 09:30:00,20,31,51
2024-03-04 09:40:00,28,28,56
2024-03-04 09:50:00,29,36,65
2024-03-04 10:00:00,29,27,56
2024-03-04 10:10:00,24,26,50
2024-03-04 10:20:00,22,29,51
2024-03-04 10:30:00,32,28,60
2024-03-04 10:40:00,24,29,53
2024-03-04 10:50:00,28,29,57
2024-03-04 11:00:00,14,33,47
2024-03-04 11:10:00,28,21,49
2024-03-04 11:20:00,20,25,45
2024-03-04 11:30:00,28,26,54
2024-03-04 11:40:00,28,21,49
2024-03-04 11:50:00,25,31,56
2024-03-04 12:00:00,27,36,63
2024-03-04 12:10:00,28,27,55
2024-03-04 12:20:00,37,32,69
2024-03-04 12:30:00,28,34,62
2024-03-04 12:40:00,26,31,57
2024-03-04 12:50:00,29,23,52
2024-03-04 13:00:00,33,28,61
2024-03-04 13:10:00,28,31,59
2024-03-04 13:20:00,29,31,60
2024-03-04 13:30:00,35,25,60
2024-03-04 13:40:00,23,18,41
2024-03-04 13:50:00,27,27,54
2024-03-04 14:00:00,34,28,62
2024-03-04 14:10:00,39,26,65
2024-03-04 14:20:00,34,34,68
2024-03-04 14:30:00,35,35,70
2024-03-04 14:40:00,25,29,54
2024-03-04 14:50:00,28,25,53
2024-03-04 15:00:00,29,28,57
2024-03-04 15:10:00,31,22,53
2024-03-04 15:20:00,22,25,47
2024-03-04 15:30:00,29,24,53
2024-03-04 15:40:00,23,35,58
2024-03-04 15:50:00,26,29,55
2024-03-04 16:00:00,38,35,73
2024-03-04 16:10:00,37,32,69
2024-03-04 16:20:00,38,22,60
2024-03-04 16:30:00,27,28,55
2024-03-04 16:40:00,30,30,60
2024-03-04 16:50:00,36,29,65
2024-03-04 17:00:00,40,29,69
2024-03-04 17:10:00,28,24,52
2024-03-04 17:20:00,36,32,68
2024-03-04 17:30:00,33,30,63
2024-03-04 17:40:00,24,23,47
2024-03-04 17:50:00,29,27,56
2024-03-04 18:00:00,30,29,59
2024-03-04 18:10:00,25,20,45
2024-03-04 18:20:00,30,27,57
2024-03-04 18:30:00,27,21,48
2024-03-04 18:40:00,32,23,55
2024-03-04 18:50:00,34,21,55
2024-03-04 19:00:00,24,14,38
2024-03-04 19:10:00,33,19,52
2024-03-04 19:20:00,19,25,44
2024-03-04 19:30:00,24,14,38
2024-03-04 19:40:00,17,12,29
2024-03-04 19:50:00,19,20,39
2024-03-04 20:00:00,21,15,36
2024-03-04 20:10:00,21,16,37
2024-03-04 20:20:00,18,13,31
2024-03-04 20:30:00,11,10,21
2024-03-04 20:40:00,15,9,24
2024-03-04 20:50:00,14,12,26
2024-03-04 21:00:00,26,14,40
2024-03-04 21:10:00,11,25,36
2024-03-04 21:20:00,11,14,25
2024-03-04 21:30:00,17,10,27
2024-03-04 21:40:00,22,12,34
2024-03-04 21:50:00,14,9,23
2024-03-04 22:00:00,10,13,23
2024-03-04 22:10:00,14,20,34
2024-03-04 22:20:00,10,9,19
2024-03-04 22:30:00,9,7,16
2024-03-04 22:40:00,6,15,21
2024-03-04 22:50:00,9,11,20
2024-03-04 23:00:00,10,8,18
2024-03-04 23:10:00,3,6,9
2024-03-04 23:20:00,4,5,9
2024-03-04 23:30:00,2,5,7
2024-03-04 23:40:00,8,3,11
2024-03-04 23:50:00,0,0,0
2024-03-05 00:00:00,3,2,5
2024-03-05 00:10:00,3,3,6
2024-03-05 00:20:00,0,3,3
2024-03-05 00:30:00,1,1,2
2024-03-05 00:40:00,1,2,3
2024-03-05 00:50:00,1,2,3
2024-03-05 01:00:00,0,3,3
2024-03-05 01:10:00,0,3,3
2024-03-05 01:20:00,4,1,5
2024-03-05 01:30:00,3,0,3
2024-03-05 01:40:00,1,0,1
2024-03-05 01:50:00,5,1,6
2024-03-05 02:00:00,4,0,4
2024-03-05 02:10:00,0,2,2
2024-03-05 02:20:00,1,0,1
2024-03-05 02:30:00,1,1,2
2024-03-05 02:40:00,1,0,1
2024-03-05 02:50:00,2,0,2
2024-03-05 03:00:00,2,0,2
2024-03-05 03:10:00,1,0,1
2024-03-05 03:20:00,1,0,1
2024-03-05 03:30:00,0,1,1
2024-03-05 03:40:00,2,1,3
2024-03-05 03:50:00,2,2,4
2024-03-05 04:00:00,2,2,4
2024-03-05 04:10:00,3,2,5
2024-03-05 04:20:00,3,4,7
2024-03-05 04:30:00,4,3,7
2024-03-05 04:40:00,1,3,4
2024-03-05 04:50:00,1,3,4
2024-03-05 05:00:00,3,4,7
2024-03-05 05:10:00,2,10,12
2024-03-05 05:20:00,2,14,16
2024-03-05 05:30:00,8,20,28
2024-03-05 05:40:00,6,17,23
2024-03-05 05:50:00,10,12,22
2024-03-05 06:00:00,6,20,26
2024-03-05 06:10:00,10,19,29
2024-03-05 06:20:00,17,18,35
2024-03-05 06:30:00,5,30,35
2024-03-05 06:40:00,18,27,45
2024-03-05 06:50:00,21,24,45
2024-03-05 07:00:00,20,28,48
2024-03-05 07:10:00,28,29,57
