datetime,D51Z,V51Z,D52Z,D111Z,V111Z,D112Z,Total
2024-03-03 00:10:00,0,2,0,0,2,2,0.0
2024-03-03 00:20:00,0,6,0,0,2,2,0.0
2024-03-03 00:30:00,0,2,0,0,4,4,0.0
2024-03-03 00:40:00,0,1,0,0,3,3,0.0
2024-03-03 00:50:00,0,3,0,0,2,2,0.0
2024-03-03 01:00:00,0,3,0,0,4,4,0.0
2024-03-03 01:10:00,0,0,0,0,0,0,0.0
2024-03-03 01:20:00,0,3,0,0,3,3,0.0
2024-03-03 01:30:00,0,2,0,0,4,4,0.0
2024-03-03 01:40:00,0,2,0,0,1,1,0.0
2024-03-03 01:50:00,0,4,0,0,2,2,0.0
2024-03-03 02:00:00,0,2,0,0,1,1,0.0
2024-03-03 02:10:00,0,2,0,0,1,1,0.0
2024-03-03 02:20:00,0,1,0,0,1,1,0.0
2024-03-03 02:30:00,0,0,0,0,0,0,0.0
2024-03-03 02:40:00,0,1,0,0,1,1,0.0
2024-03-03 02:50:00,0,2,0,0,3,3,0.0
2024-03-03 03:00:00,0,0,0,0,0,0,0.0
2024-03-03 03:10:00,0,1,0,0,1,1,0.0
2024-03-03 03:20:00,0,0,0,0,0,0,0.0
2024-03-03 03:30:00,0,0,0,0,0,0,0.0
2024-03-03 03:40:00,0,2,0,0,2,2,0.0
2024-03-03 03:50:00,0,1,0,0,3,2,0.0
2024-03-03 04:00:00,0,0,0,0,1,1,0.0
2024-03-03 04:10:00,0,1,0,0,0,0,0.0
2024-03-03 04:20:00,0,0,0,0,0,0,0.0
2024-03-03 04:30:00,0,0,0,0,1,1,0.0
2024-03-03 04:40:00,0,1,0,0,2,1,0.0
2024-03-03 04:50:00,0,1,0,0,1,1,0.0
2024-03-03 05:00:00,0,2,0,0,0,0,0.0
2024-03-03 05:10:00,0,1,0,0,0,0,0.0
2024-03-03 05:20:00,0,1,0,0,0,0,0.0
2024-03-03 05:30:00,0,0,0,0,3,3,0.0
2024-03-03 05:40:00,0,1,0,0,1,1,0.0
2024-03-03 05:50:00,0,4,0,0,1,1,0.0
2024-03-03 06:00:00,0,4,0,0,1,2,0.0
2024-03-03 06:10:00,0,0,0,0,4,2,0.0
2024-03-03 06:20:00,0,1,0,0,2,2,0.0
2024-03-03 06:30:00,0,4,0,0,1,2,0.0
2024-03-03 06:40:00,0,2,0,0,1,1,0.0
2024-03-03 06:50:00,0,2,0,0,4,4,0.0
2024-03-03 07:00:00,0,2,0,0,1,1,0.0
2024-03-03 07:10:00,0,1,0,0,1,1,0.0
2024-03-03 07:20:00,0,0,0,0,1,1,0.0
2024-03-03 07:30:00,0,1,0,0,4,3,0.0
2024-03-03 07:40:00,0,1,0,0,2,2,0.0
2024-03-03 07:50:00,0,2,0,0,7,7,0.0
2024-03-03 08:00:00,0,3,0,0,6,6,0.0
2024-03-03 08:10:00,0,8,0,0,2,1,0.0
2024-03-03 08:20:00,0,4,0,0,4,7,0.0
2024-03-03 08:30:00,0,3,0,0,2,2,0.0
2024-03-03 08:40:00,0,5,0,0,10,9,0.0
2024-03-03 08:50:00,0,6,0,0,9,9,0.0
2024-03-03 09:00:00,0,8,0,0,9,9,0.0
2024-03-03 09:10:00,0,13,0,0,13,13,0.0
2024-03-03 09:20:00,0,8,0,0,15,12,0.0
2024-03-03 09:30:00,0,15,0,0,3,3,0.0
2024-03-03 09:40:00,0,18,0,0,10,9,0.0
2024-03-03 09:50:00,0,13,0,0,4,6,0.0
2024-03-03 10:00:00,0,18,0,0,11,12,0.0
2024-03-03 10:10:00,0,20,0,0,17,15,0.0
2024-03-03 10:20:00,0,23,0,0,9,9,0.0
2024-03-03 10:30:00,0,20,0,0,17,10,0.0
2024-03-03 10:40:00,0,24,0,0,16,15,0.0
2024-03-03 10:50:00,0,19,0,0,24,25,0.0
2024-03-03 11:00:00,0,12,0,0,34,29,0.0
2024-03-03 11:10:00,0,8,0,0,37,22,0.0
2024-03-03 11:20:00,0,21,0,0,26,21,0.0
2024-03-03 11:30:00,0,20,0,0,13,13,0.0
2024-03-03 11:40:00,0,8,0,0,27,30,0.0
2024-03-03 11:50:00,0,19,0,0,36,39,0.0
2024-03-03 12:00:00,0,14,0,0,26,22,0.0
2024-03-03 12:10:00,0,18,0,0,34,31,0.0
2024-03-03 12:20:00,0,17,0,0,36,45,0.0
2024-03-03 12:30:00,0,15,0,0,31,33,0.0
2024-03-03 12:40:00,0,21,0,0,30,30,0.0
2024-03-03 12:50:00,0,17,0,0,35,34,0.0
2024-03-03 13:00:00,0,19,0,0,35,44,0.0
2024-03-03 13:10:00,0,21,0,0,24,34,0.0
2024-03-03 13:20:00,0,27,0,0,30,28,0.0
2024-03-03 13:30:00,0,30,0,0,26,37,0.0
2024-03-03 13:40:00,0,21,0,0,37,46,0.0
2024-03-03 13:50:00,0,20,0,0,41,56,0.0
2024-03-03 14:00:00,0,26,0,0,37,48,0.0
2024-03-03 14:10:00,0,24,0,0,29,41,0.0
2024-03-03 14:20:00,0,31,0,0,40,52,0.0
2024-03-03 14:30:00,0,25,0,0,43,58,0.0
2024-03-03 14:40:00,0,30,0,0,32,57,0.0
2024-03-03 14:50:00,0,27,0,0,30,46,0.0
2024-03-03 15:00:00,0,29,0,0,34,51,0.0
2024-03-03 15:10:00,0,24,0,0,32,43,0.0
2024-03-03 15:20:00,0,29,0,0,32,49,0.0
2024-03-03 15:30:00,0,44,0,0,26,32,0.0
2024-03-03 15:40:00,0,34,0,0,32,43,0.0
2024-03-03 15:50:00,0,36,0,0,33,45,0.0
2024-03-03 16:00:00,0,19,0,0,22,37,0.0
2024-03-03 16:10:00,0,32,0,0,33,43,0.0
2024-03-03 16:20:00,0,34,0,0,30,43,0.0
2024-03-03 16:30:00,0,20,0,0,19,32,0.0
2024-03-03 16:40:00,0,31,0,0,21,25,0.0
2024-03-03 16:50:00,0,35,0,0,26,33,0.0
2024-03-03 17:00:00,0,37,0,0,18,20,0.0
2024-03-03 17:10:00,0,35,0,0,17,22,0.0
2024-03-03 17:20:00,0,27,0,0,23,31,0.0
2024-03-03 17:30:00,0,42,0,0,21,27,0.0
2024-03-03 17:40:00,0,25,0,0,22,32,0.0
2024-03-03 17:50:00,0,38,0,0,15,14,0.0
2024-03-03 18:00:00,0,33,0,0,18,20,0.0
2024-03-03 18:10:00,0,21,0,0,16,14,0.0
2024-03-03 18:20:00,0,22,0,0,9,16,0.0
2024-03-03 18:30:00,0,20,0,0,13,14,0.0
2024-03-03 18:40:00,0,14,0,0,13,18,0.0
2024-03-03 18:50:00,0,14,0,0,8,10,0.0
2024-03-03 19:00:00,0,12,0,0,11,15,0.0
2024-03-03 19:10:00,0,16,0,0,11,13,0.0
2024-03-03 19:20:00,0,8,0,0,10,13,0.0
2024-03-03 19:30:00,0,7,0,0,8,8,0.0
2024-03-03 19:40:00,0,8,0,0,5,5,0.0
2024-03-03 19:50:00,0,8,0,0,6,7,0.0
2024-03-03 20:00:00,0,10,0,0,6,6,0.0
2024-03-03 20:10:00,0,6,0,0,3,4,0.0
2024-03-03 20:20:00,0,2,0,0,6,6,0.0
2024-03-03 20:30:00,0,3,0,0,9,8,0.0
2024-03-03 20:40:00,0,5,0,0,2,2,0.0
2024-03-03 20:50:00,0,4,0,0,2,2,0.0
2024-03-03 21:00:00,0,7,0,0,4,6,0.0
2024-03-03 21:10:00,0,4,0,0,4,4,0.0
2024-03-03 21:20:00,0,5,0,0,5,5,0.0
2024-03-03 21:30:00,0,5,0,0,5,4,0.0
2024-03-03 21:40:00,0,1,0,0,4,3,0.0
2024-03-03 21:50:00,0,5,0,0,4,4,0.0
2024-03-03 22:00:00,0,2,0,0,1,4,0.0
2024-03-03 22:10:00,0,4,0,0,7,7,0.0
2024-03-03 22:20:00,0,2,0,0,7,4,0.0
2024-03-03 22:30:00,0,3,0,0,4,5,0.0
2024-03-03 22:40:00,0,0,0,0,2,1,0.0
2024-03-03 22:50:00,0,1,0,0,4,3,0.0
2024-03-03 23:00:00,0,4,0,0,2,2,0.0
2024-03-03 23:10:00,0,0,0,0,3,3,0.0
2024-03-03 23:20:00,0,0,0,0,2,2,0.0
2024-03-03 23:30:00,0,1,0,0,1,1,0.0
2024-03-03 23:40:00,0,0,0,0,1,1,0.0
2024-03-03 23:50:00,0,1,0,0,2,2,0.0
2024-03-04 00:00:00,0,1,0,0,2,2,0.0
2024-03-04 00:10:00,0,1,0,0,1,1,0.0
2024-03-04 00:20:00,0,1,0,0,1,1,0.0
2024-03-04 00:30:00,0,0,0,0,0,0,0.0
2024-03-04 00:40:00,0,1,0,0,0,0,0.0
2024-03-04 00:50:00,0,1,0,0,1,1,0.0
2024-03-04 01:00:00,0,1,0,0,0,0,0.0
2024-03-04 01:10:00,0,1,0,0,1,0,0.0
2024-03-04 01:20:00,0,0,0,0,0,0,0.0
2024-03-04 01:30:00,0,0,0,0,0,0,0.0
2024-03-04 01:40:00,0,0,0,0,0,0,0.0
2024-03-04 01:50:00,0,0,0,0,0,0,0.0
2024-03-04 02:00:00,0,1,0,0,0,0,0.0
2024-03-04 02:10:00,0,0,0,0,0,0,0.0
2024-03-04 02:20:00,0,0,0,0,0,0,0.0
2024-03-04 02:30:00,0,0,0,0,0,0,0.0
2024-03-04 02:40:00,0,0,0,0,0,0,0.0
2024-03-04 02:50:00,0,0,0,0,1,1,0.0
2024-03-04 03:00:00,0,0,0,0,0,0,0.0
2024-03-04 03:10:00,0,0,0,0,1,1,0.0
2024-03-04 03:20:00,0,0,0,0,0,0,0.0
2024-03-04 03:30:00,0,0,0,0,2,2,0.0
2024-03-04 03:40:00,0,1,0,0,0,0,0.0
2024-03-04 03:50:00,0,1,0,0,2,2,0.0
2024-03-04 04:00:00,0,1,0,0,4,4,0.0
2024-03-04 04:10:00,0,0,0,0,0,0,0.0
2024-03-04 04:20:00,0,0,0,0,1,1,0.0
2024-03-04 04:30:00,0,2,0,0,4,4,0.0
2024-03-04 04:40:00,0,0,0,0,0,0,0.0
2024-03-04 04:50:00,0,2,0,0,3,3,0.0
2024-03-04 05:00:00,0,4,0,0,1,1,0.0
2024-03-04 05:10:00,0,10,0,0,4,4,0.0
2024-03-04 05:20:00,0,5,0,0,3,3,0.0
2024-03-04 05:30:00,0,12,0,0,4,4,0.0
2024-03-04 05:40:00,0,16,0,0,5,5,0.0
2024-03-04 05:50:00,0,20,0,0,4,7,0.0
2024-03-04 06:00:00,0,17,0,0,2,2,0.0
2024-03-04 06:10:00,0,22,0,0,7,8,0.0
2024-03-04 06:20:00,0,22,0,0,5,5,0.0
2024-03-04 06:30:00,0,33,0,0,15,18,0.0
2024-03-04 06:40:00,0,34,0,0,11,12,0.0
2024-03-04 06:50:00,0,27,0,0,11,12,0.0
2024-03-04 07:00:00,0,39,0,0,12,14,0.0
2024-03-04 07:10:00,0,41,0,0,13,18,0.0
2024-03-04 07:20:00,0,30,0,0,14,15,0.0
2024-03-04 07:30:00,0,51,0,0,13,16,0.0
2024-03-04 07:40:00,0,45,0,0,14,14,0.0
2024-03-04 07:50:00,0,39,0,0,12,11,0.0
2024-03-04 08:00:00,0,34,0,0,15,20,0.0
2024-03-04 08:10:00,0,36,0,0,17,18,0.0
2024-03-04 08:20:00,0,36,0,0,13,24,0.0
2024-03-04 08:30:00,0,31,0,0,19,22,0.0
2024-03-04 08:40:00,0,31,0,0,16,18,0.0
2024-03-04 08:50:00,0,26,0,0,23,32,0.0
2024-03-04 09:00:00,0,16,0,0,15,17,0.0
2024-03-04 09:10:00,0,31,0,0,8,10,0.0
2024-03-04 09:20:00,0,29,0,0,12,13,0.0
2024-03-04 09:30:00,0,24,0,0,23,25,0.0
2024-03-04 09:40:00,0,22,0,0,16,19,0.0
2024-03-04 09:50:00,0,19,0,0,8,13,0.0
2024-03-04 10:00:00,0,26,0,0,14,15,0.0
2024-03-04 10:10:00,0,17,0,0,13,15,0.0
2024-03-04 10:20:00,0,22,0,0,14,16,0.0
2024-03-04 10:30:00,0,17,0,0,19,26,0.0
2024-03-04 10:40:00,0,14,0,0,23,22,0.0
2024-03-04 10:50:00,0,13,0,0,15,17,0.0
2024-03-04 11:00:00,0,14,0,0,16,17,0.0
2024-03-04 11:10:00,0,20,0,0,16,19,0.0
2024-03-04 11:20:00,0,15,0,0,13,14,0.0
2024-03-04 11:30:00,0,12,0,0,18,17,0.0
2024-03-04 11:40:00,0,22,0,0,22,27,0.0
2024-03-04 11:50:00,0,15,0,0,18,21,0.0
2024-03-04 12:00:00,0,12,0,0,15,22,0.0
2024-03-04 12:10:00,0,23,0,0,16,24,0.0
2024-03-04 12:20:00,0,16,0,0,23,25,0.0
2024-03-04 12:30:00,0,18,0,0,16,20,0.0
2024-03-04 12:40:00,0,18,0,0,15,18,0.0
2024-03-04 12:50:00,0,17,0,0,21,22,0.0
2024-03-04 13:00:00,0,13,0,0,14,20,0.0
2024-03-04 13:10:00,0,9,0,0,20,24,0.0
2024-03-04 13:20:00,0,15,0,0,19,27,0.0
2024-03-04 13:30:00,0,18,0,0,13,16,0.0
2024-03-04 13:40:00,0,15,0,0,18,24,0.0
2024-03-04 13:50:00,0,22,0,0,19,28,0.0
2024-03-04 14:00:00,0,17,0,0,23,26,0.0
2024-03-04 14:10:00,0,16,0,0,22,23,0.0
2024-03-04 14:20:00,0,12,0,0,25,33,0.0
2024-03-04 14:30:00,0,14,0,0,19,28,0.0
2024-03-04 14:40:00,0,11,0,0,29,38,0.0
2024-03-04 14:50:00,0,24,0,0,24,32,0.0
2024-03-04 15:00:00,0,13,0,0,23,23,0.0
2024-03-04 15:10:00,0,20,0,0,26,38,0.0
2024-03-04 15:20:00,0,21,0,0,31,47,0.0
2024-03-04 15:30:00,0,17,0,0,26,45,0.0
2024-03-04 15:40:00,0,16,0,0,22,28,0.0
