datetime,D11Z,D21Z,V22Z,D31Z,V32Z,V33Z,D41Z,V42Z,D51Z,D52Z,V53Z,V54Z,D81Z,D82Z,V83Z,V84Z,D111Z,D112Z,V113Z,V114Z,D121Z,D122Z,V123Z,V124Z,V221Z,V222Z,Total
2024-03-01 10:20:00,78,26,35,61,18,14,41,13,0,53,2,3,21,36,10,14,4,40,4,18,15,13,13,16,0,0,548
2024-03-01 10:30:00,338,34,35,41,15,7,58,19,0,56,5,2,17,28,11,12,9,45,6,20,23,22,15,13,0,0,831
2024-03-01 10:40:00,839,30,34,50,11,9,47,10,0,57,1,10,12,32,9,14,12,56,5,26,24,20,18,14,0,0,1340
2024-03-01 10:50:00,119,34,39,41,33,14,49,16,0,36,2,13,19,14,11,5,7,50,1,16,26,12,17,13,0,0,587
2024-03-01 11:00:00,722,30,30,38,22,15,47,16,0,35,4,12,15,22,15,11,6,44,2,19,18,15,11,17,0,0,1166
2024-03-01 11:10:00,795,23,37,36,10,11,51,14,1,35,3,11,13,26,9,6,10,45,4,24,19,13,10,13,0,0,1219
2024-03-01 11:20:00,289,19,33,57,18,16,47,19,0,51,5,3,21,28,15,13,12,38,8,28,25,17,10,5,0,0,777
2024-03-01 11:30:00,1021,25,23,31,8,7,51,15,0,56,4,0,24,35,11,10,6,50,3,19,25,19,16,14,0,0,1473
2024-03-01 11:40:00,132,33,33,55,12,9,44,8,0,48,0,2,19,28,16,15,9,43,6,11,17,11,10,7,0,0,568
2024-03-01 11:50:00,629,38,33,49,9,9,49,11,1,47,2,4,16,34,8,14,17,54,7,19,19,15,13,15,0,0,1112
2024-03-01 12:00:00,849,24,35,41,16,15,22,9,0,62,2,1,20,18,11,8,11,52,1,21,25,16,12,12,0,0,1283
2024-03-01 12:10:00,97,33,30,36,12,9,35,9,0,42,1,5,17,15,13,16,14,55,4,15,26,17,16,12,0,0,529
2024-03-01 12:20:00,1039,33,32,42,9,6,23,8,0,37,2,5,25,41,12,13,15,50,8,21,27,14,12,13,0,0,1487
2024-03-01 12:30:00,101,31,31,46,9,4,65,18,0,49,0,3,24,20,21,12,10,48,3,22,25,28,12,23,0,0,605
2024-03-01 12:40:00,472,47,37,93,8,12,20,8,0,45,1,1,20,38,14,12,10,54,6,14,28,20,17,13,0,0,990
2024-03-01 12:50:00,964,26,29,33,15,18,26,12,0,56,0,2,23,35,13,16,5,62,1,14,32,31,15,21,0,0,1449
2024-03-01 13:00:00,103,26,54,42,15,9,26,8,0,51,2,1,28,39,13,18,14,52,8,21,31,30,13,18,0,0,622
2024-03-01 13:10:00,84,18,13,29,7,2,17,5,0,22,2,0,8,16,3,5,12,42,4,7,24,24,7,11,0,0,362
2024-03-01 13:20:00,173,34,37,39,18,7,46,14,0,45,3,0,33,39,20,13,7,48,3,14,30,26,8,16,0,0,673
2024-03-01 13:30:00,149,30,32,52,17,8,34,12,0,49,1,0,22,29,11,9,9,52,4,14,25,19,19,13,0,0,610
2024-03-01 13:40:00,824,28,29,43,17,3,37,5,1,38,5,0,17,21,17,9,6,59,3,12,31,11,14,11,0,0,1241
2024-03-01 13:50:00,116,32,35,148,14,0,24,15,0,49,1,0,20,29,14,15,8,61,5,20,29,15,19,10,0,0,679
2024-03-01 14:00:00,580,25,36,47,20,14,37,17,0,48,3,0,17,19,10,12,7,66,4,19,30,17,17,13,0,0,1058
2024-03-01 14:10:00,811,61,29,33,7,3,34,8,0,39,4,0,15,39,11,9,12,50,6,14,37,27,16,17,0,0,1282
2024-03-01 14:20:00,102,42,41,44,7,1,42,7,0,48,2,0,21,25,14,13,17,71,8,15,39,39,11,13,0,0,622
2024-03-01 14:30:00,125,50,34,54,19,11,49,12,0,47,1,0,24,21,17,15,12,48,8,19,37,23,20,14,0,0,660
2024-03-01 14:40:00,911,47,28,47,19,16,33,8,0,49,11,0,21,28,9,10,12,48,6,15,29,19,33,11,0,0,1410
2024-03-01 14:50:00,218,50,33,41,15,13,38,11,0,45,1,5,18,33,12,12,12,55,7,18,28,31,13,27,0,0,736
2024-03-01 15:00:00,448,44,30,59,22,19,48,16,0,42,0,6,18,35,19,12,11,67,6,20,25,15,19,13,0,0,994
