datetime,D1Z,D2Z,D3Z,D4Z,D5Z,D6Z,V21Z,V22Z,V51Z,V52Z,V81Z,V82Z,V211Z,V212Z,V811Z,V812Z,V1111Z,V1112Z,Total
2024-03-01 18:30:00,20,23,29,32,0,18,30,22,42,50,35,25,33,39,9,12,2,0,421
2024-03-01 18:40:00,20,25,34,28,2,20,23,25,33,42,37,24,26,27,19,16,1,0,402
2024-03-01 18:50:00,23,17,32,31,1,28,19,27,21,36,24,15,23,28,18,27,3,0,373
2024-03-01 19:00:00,29,25,39,38,0,21,20,28,29,41,36,24,24,28,14,15,2,0,413
2024-03-01 19:10:00,21,25,33,31,0,26,21,30,29,38,39,21,24,22,20,18,10,0,408
2024-03-01 19:20:00,20,20,28,24,2,21,14,17,19,30,28,16,16,20,14,15,1,0,305
2024-03-01 19:30:00,20,25,30,35,2,11,22,28,29,39,30,22,21,26,15,26,0,0,381
2024-03-01 19:40:00,21,21,31,24,0,13,21,17,29,29,42,17,22,16,14,16,0,0,333
2024-03-01 19:50:00,18,23,29,27,0,18,13,23,19,29,31,18,16,20,20,12,0,0,316
2024-03-01 20:00:00,18,18,21,22,0,17,15,17,20,25,31,17,17,19,12,20,1,0,290
2024-03-01 20:10:00,14,10,19,17,0,12,12,13,19,25,22,12,14,19,11,11,1,0,231
2024-03-01 20:20:00,15,28,21,26,0,10,9,18,19,33,25,22,10,18,17,25,0,0,296
2024-03-01 20:30:00,13,16,25,22,0,13,17,17,14,27,21,14,12,20,25,32,2,0,290
2024-03-01 20:40:00,16,15,23,20,0,12,9,16,12,23,23,11,9,20,11,19,0,0,239
2024-03-01 20:50:00,14,20,20,18,1,13,9,13,10,19,13,22,7,11,14,17,1,0,222
2024-03-01 21:00:00,14,19,18,18,0,15,16,15,15,19,20,13,16,17,13,11,0,0,239
2024-03-01 21:10:00,12,11,15,9,0,15,14,16,18,23,14,8,12,16,17,9,0,0,209
2024-03-01 21:20:00,13,17,18,21,0,13,9,13,13,16,16,16,10,15,12,12,0,0,214
2024-03-01 21:30:00,13,10,18,10,1,15,15,17,15,21,17,8,10,20,12,15,0,0,217
2024-03-01 21:40:00,16,14,22,19,0,16,11,18,14,19,23,13,13,12,12,14,1,0,237
2024-03-01 21:50:00,13,13,19,11,0,10,11,17,12,16,22,10,9,13,12,18,0,0,206
2024-03-01 22:00:00,16,10,24,12,0,10,13,16,15,16,19,11,13,11,24,24,0,0,234
2024-03-01 22:10:00,16,16,25,21,1,21,10,9,9,9,21,14,7,10,32,15,1,0,237
2024-03-01 22:20:00,12,17,19,19,4,13,12,11,14,14,15,16,10,8,16,23,0,0,223
2024-03-01 22:30:00,17,10,19,12,0,3,8,8,7,10,16,10,6,9,11,18,0,0,164
2024-03-01 22:40:00,19,19,28,22,0,6,13,13,10,12,20,15,10,9,15,25,1,0,237
2024-03-01 22:50:00,20,14,24,15,0,6,5,11,7,12,24,8,6,9,14,17,0,0,192
2024-03-01 23:00:00,11,9,14,8,0,6,11,13,12,14,17,4,9,12,11,9,0,0,160
2024-03-01 23:10:00,14,11,19,10,0,6,8,13,8,19,15,6,7,12,10,10,1,0,169
2024-03-01 23:20:00,3,4,5,4,1,7,10,15,6,15,7,6,6,12,4,12,0,0,117
2024-03-01 23:30:00,9,6,8,7,0,6,8,7,9,10,5,5,6,9,11,17,0,0,123
2024-03-01 23:40:00,17,16,31,18,1,11,8,6,6,7,18,8,6,7,38,25,0,0,223
2024-03-01 23:50:00,9,11,14,8,0,5,11,12,10,12,6,3,8,9,22,15,0,0,155
2024-03-02 00:00:00,6,9,9,10,0,8,11,9,9,7,13,8,8,7,5,6,0,0,125
2024-03-02 00:10:00,7,2,9,2,0,4,8,15,8,9,12,0,8,12,7,18,0,0,121
2024-03-02 00:20:00,7,6,12,6,0,9,7,5,8,5,7,1,5,4,14,14,2,0,112
2024-03-02 00:30:00,3,8,9,4,1,3,6,7,5,7,13,2,4,8,10,11,0,0,101
2024-03-02 00:40:00,4,1,3,1,0,5,3,4,2,3,6,1,2,2,3,3,0,0,43
2024-03-02 00:50:00,2,1,1,1,0,2,3,6,2,5,0,2,3,5,1,2,0,0,36
2024-03-02 01:00:00,4,2,6,2,0,5,4,8,4,4,5,0,5,3,5,2,0,0,59
2024-03-02 01:10:00,3,3,3,3,2,6,2,2,1,2,6,3,1,2,1,1,0,0,41
2024-03-02 01:20:00,6,6,6,5,0,1,4,5,4,5,3,3,5,4,10,12,0,0,79
2024-03-02 01:30:00,3,3,4,3,0,2,1,6,1,4,3,2,1,4,3,6,0,0,46
2024-03-02 01:40:00,4,4,7,7,0,3,3,5,3,5,7,3,3,4,5,10,0,0,73
2024-03-02 01:50:00,3,3,3,3,0,1,0,2,0,2,3,4,0,2,2,4,0,0,32
2024-03-02 02:00:00,1,1,1,1,0,5,2,3,2,4,4,1,2,3,1,3,0,0,34
2024-03-02 02:10:00,2,4,3,5,0,1,0,2,0,2,2,4,0,1,3,8,0,0,37
