datetime,D11Z,D12Z,D13Z,D21Z,D22Z,D31Z,D32Z,D41Z,D42Z,Total
2024-03-02 07:10:00,3,6,11,22,14,0,3,0,3,62
2024-03-02 07:20:00,0,8,10,26,18,0,6,0,5,73
2024-03-02 07:30:00,1,11,12,38,19,0,11,0,8,100
2024-03-02 07:40:00,1,12,11,34,12,0,6,0,5,81
2024-03-02 07:50:00,3,7,9,39,14,0,16,0,7,95
2024-03-02 08:00:00,3,11,14,39,20,0,9,0,14,110
2024-03-02 08:10:00,6,14,15,43,30,0,8,0,4,120
2024-03-02 08:20:00,1,17,15,51,25,0,6,0,14,129
2024-03-02 08:30:00,3,11,22,40,25,0,13,0,6,120
2024-03-02 08:40:00,8,12,15,73,27,0,13,0,4,152
2024-03-02 08:50:00,5,15,17,52,36,0,11,0,14,150
2024-03-02 09:00:00,6,18,15,56,23,0,11,0,14,143
2024-03-02 09:10:00,7,12,15,77,32,0,10,0,16,169
2024-03-02 09:20:00,11,29,19,83,44,0,18,0,26,230
2024-03-02 09:30:00,7,25,16,81,39,0,20,0,20,208
2024-03-02 09:40:00,7,25,27,97,45,0,19,0,17,237
2024-03-02 09:50:00,3,22,19,104,44,0,18,0,15,225
2024-03-02 10:00:00,9,33,22,84,44,0,20,0,10,222
2024-03-02 10:10:00,13,19,20,80,39,0,19,0,24,214
2024-03-02 10:20:00,9,17,15,85,37,0,16,0,20,199
2024-03-02 10:30:00,9,28,24,87,47,0,27,0,17,239
2024-03-02 10:40:00,11,30,23,108,37,0,21,0,23,253
2024-03-02 10:50:00,12,42,26,106,60,0,27,0,24,297
2024-03-02 11:00:00,14,32,27,93,48,0,19,0,19,252
2024-03-02 11:10:00,8,21,28,85,49,0,12,0,22,225
2024-03-02 11:20:00,6,32,22,88,51,0,23,0,31,253
2024-03-02 11:30:00,10,23,16,97,44,0,16,0,22,228
2024-03-02 11:40:00,19,27,33,89,58,0,19,0,31,276
2024-03-02 11:50:00,14,29,28,91,62,0,23,0,29,276
2024-03-02 12:00:00,11,35,17,84,35,0,25,0,28,235
2024-03-02 12:10:00,11,30,29,97,58,0,27,0,26,278
2024-03-02 12:20:00,8,29,29,95,61,0,17,0,27,266
2024-03-02 12:30:00,8,25,27,81,48,0,17,0,19,225
2024-03-02 12:40:00,13,29,24,95,48,0,23,0,32,264
2024-03-02 12:50:00,13,34,30,106,50,0,26,0,24,283
2024-03-02 13:00:00,4,28,27,100,42,0,22,0,29,252
2024-03-02 13:10:00,9,32,34,91,62,0,27,0,14,269
2024-03-02 13:20:00,4,20,26,93,54,0,24,0,40,261
2024-03-02 13:30:00,7,32,24,104,49,0,24,0,24,264
2024-03-02 13:40:00,9,30,26,81,60,0,26,0,33,265
2024-03-02 13:50:00,11,29,31,84,63,0,32,0,38,288
2024-03-02 14:00:00,8,31,37,99,61,0,22,0,26,284
2024-03-02 14:10:00,7,33,34,94,66,0,27,0,34,295
2024-03-02 14:20:00,7,35,34,94,73,0,29,0,20,292
2024-03-02 14:30:00,9,31,31,99,70,0,17,0,29,286
2024-03-02 14:40:00,10,23,24,107,51,0,26,0,27,268
2024-03-02 14:50:00,4,33,14,91,55,0,23,0,26,246
2024-03-02 15:00:00,10,38,14,94,58,0,25,0,25,264
2024-03-02 15:10:00,7,28,36,100,68,0,29,0,24,292
2024-03-02 15:20:00,8,25,20,111,67,0,18,0,28,277
2024-03-02 15:30:00,13,39,39,84,48,0,28,0,29,280
2024-03-02 15:40:00,5,26,22,105,67,0,16,0,18,259
2024-03-02 15:50:00,4,16,22,73,40,0,30,0,31,216
2024-03-02 16:00:00,6,22,27,71,44,0,20,0,34,224
2024-03-02 16:10:00,7,31,29,80,78,0,23,0,24,272
2024-03-02 16:20:00,9,28,29,86,52,0,17,0,35,256
2024-03-02 16:30:00,3,27,22,84,54,0,21,0,25,236
2024-03-02 16:40:00,7,26,25,92,48,0,28,0,18,244
2024-03-02 16:50:00,6,22,22,107,47,0,24,0,21,249
2024-03-02 17:00:00,10,26,24,65,58,0,27,0,34,244
2024-03-02 17:10:00,9,24,23,99,46,0,20,0,19,240
2024-03-02 17:20:00,8,29,17,92,49,0,23,0,12,230
2024-03-02 17:30:00,10,26,28,76,59,0,26,0,31,256
2024-03-02 17:40:00,11,31,23,91,34,0,32,0,21,243
2024-03-02 17:50:00,11,22,25,90,55,0,27,0,22,252
2024-03-02 18:00:00,4,16,24,101,47,0,31,0,22,245
2024-03-02 18:10:00,11,35,25,81,48,0,36,0,30,266
2024-03-02 18:20:00,7,36,28,79,48,0,24,0,24,246
2024-03-02 18:30:00,3,19,17,77,47,0,30,0,28,221
2024-03-02 18:40:00,5,30,30,83,38,0,20,0,17,223
2024-03-02 18:50:00,10,23,19,65,44,0,16,0,35,212
2024-03-02 19:00:00,8,21,25,60,55,0,19,0,32,220
2024-03-02 19:10:00,9,17,19,54,43,0,20,0,40,202
2024-03-02 19:20:00,5,24,24,49,42,0,18,0,32,194
2024-03-02 19:30:00,7,22,12,60,52,0,8,0,26,187
2024-03-02 19:40:00,9,19,16,56,45,0,16,0,25,186
2024-03-02 19:50:00,4,20,21,35,45,0,18,0,31,174
2024-03-02 20:00:00,6,10,16,38,25,0,13,0,22,130
2024-03-02 20:10:00,5,20,27,41,36,0,21,0,17,167
2024-03-02 20:20:00,2,13,11,29,31,0,11,0,13,110
2024-03-02 20:30:00,9,13,8,33,26,0,13,0,21,123
2024-03-02 20:40:00,7,12,18,36,35,0,16,0,23,147
2024-03-02 20:50:00,3,10,16,35,32,0,14,0,14,124
2024-03-02 21:00:00,5,16,16,38,35,0,15,0,19,144
2024-03-02 21:10:00,2,14,10,32,22,0,12,0,12,104
2024-03-02 21:20:00,7,17,19,46,31,0,12,0,16,148
2024-03-02 21:30:00,4,5,10,32,27,0,14,0,13,105
2024-03-02 21:40:00,6,16,11,24,23,0,10,0,20,110
2024-03-02 21:50:00,4,10,14,26,26,0,10,0,9,99
2024-03-02 22:00:00,3,9,10,26,30,0,16,0,12,106
2024-03-02 22:10:00,0,16,12,25,17,0,10,0,8,88
2024-03-02 22:20:00,3,10,15,19,22,0,13,0,23,105
2024-03-02 22:30:00,5,17,16,30,29,0,15,0,19,131
2024-03-02 22:40:00,4,7,8,19,18,0,7,0,11,74
2024-03-02 22:50:00,5,9,13,15,14,0,8,0,10,74
2024-03-02 23:00:00,2,13,11,20,27,0,9,0,14,96
2024-03-02 23:10:00,2,6,11,19,24,0,8,0,17,87
2024-03-02 23:20:00,4,8,9,23,17,0,10,0,9,80
2024-03-02 23:30:00,0,10,11,14,28,0,12,0,19,94
2024-03-02 23:40:00,3,8,10,14,11,0,18,0,12,76
2024-03-02 23:50:00,3,10,8,15,19,0,8,0,15,78
2024-03-03 00:00:00,0,11,10,12,16,0,9,0,15,73
2024-03-03 00:10:00,0,6,6,16,17,0,6,0,9,60
2024-03-03 00:20:00,1,4,6,16,16,0,10,0,9,62
2024-03-03 00:30:00,2,7,7,18,17,0,5,0,3,59
2024-03-03 00:40:00,1,7,4,10,14,0,5,0,15,56
2024-03-03 00:50:00,1,11,6,16,12,0,7,0,7,60
2024-03-03 01:00:00,3,2,6,4,12,0,5,0,17,49
2024-03-03 01:10:00,1,4,6,8,8,0,9,0,9,45
2024-03-03 01:20:00,1,1,2,7,11,0,2,0,8,32
2024-03-03 01:30:00,1,2,4,9,6,0,8,0,6,36
2024-03-03 01:40:00,0,3,3,8,7,0,4,0,4,29
2024-03-03 01:50:00,0,5,5,8,11,0,4,0,6,39
2024-03-03 02:00:00,1,2,4,4,5,0,5,0,4,25
2024-03-03 02:10:00,4,4,5,4,4,0,2,0,5,28
2024-03-03 02:20:00,2,3,2,12,7,0,4,0,3,33
2024-03-03 02:30:00,1,1,5,4,12,0,8,0,9,40
2024-03-03 02:40:00,0,0,2,2,5,0,2,0,3,14
2024-03-03 02:50:00,0,2,5,7,8,0,7,0,3,32
2024-03-03 03:00:00,2,3,3,3,4,0,4,0,2,21
2024-03-03 03:10:00,2,1,4,3,9,0,1,0,3,23
2024-03-03 03:20:00,0,8,7,1,3,0,2,0,3,24
2024-03-03 03:30:00,0,3,4,7,7,0,4,0,7,32
