datetime,D21Z,V22Z,D81Z,V82Z,V92Z,D111Z,D112Z,D531Z,D571Z,D581Z,V113Z,V114Z,Total
2024-03-01 15:30:00,59,34,121,34,8,16,20,0.0,0.0,0.0,13,16,321.0
2024-03-01 15:40:00,63,21,116,27,8,21,24,0.0,0.0,0.0,14,12,306.0
2024-03-01 15:50:00,70,32,169,40,10,16,18,0.0,0.0,0.0,10,12,377.0
2024-03-01 16:00:00,46,31,97,30,10,12,23,0.0,0.0,0.0,9,8,266.0
2024-03-01 16:10:00,68,17,96,35,11,14,23,0.0,0.0,0.0,12,10,286.0
2024-03-01 16:20:00,74,18,42,14,13,19,17,0.0,0.0,0.0,17,12,226.0
2024-03-01 16:30:00,75,17,54,36,12,17,28,0.0,0.0,0.0,8,4,251.0
2024-03-01 16:40:00,49,23,120,35,13,20,21,0.0,0.0,0.0,14,12,307.0
2024-03-01 16:50:00,60,34,187,24,13,17,20,0.0,0.0,0.0,11,15,381.0
2024-03-01 17:00:00,65,34,123,25,7,12,21,0.0,0.0,0.0,8,16,311.0
2024-03-01 17:10:00,58,30,157,36,11,25,23,0.0,0.0,0.0,14,13,367.0
2024-03-01 17:20:00,72,30,146,32,7,14,19,0.0,0.0,0.0,10,13,343.0
2024-03-01 17:30:00,53,20,91,27,11,31,21,0.0,0.0,0.0,11,14,279.0
2024-03-01 17:40:00,67,25,101,30,9,21,24,0.0,0.0,0.0,11,15,303.0
2024-03-01 17:50:00,67,29,53,24,9,17,20,0.0,0.0,0.0,16,9,244.0
2024-03-01 18:00:00,53,27,156,28,12,15,17,0.0,0.0,0.0,16,11,335.0
2024-03-01 18:10:00,66,23,142,28,12,12,20,0.0,0.0,0.0,13,12,328.0
2024-03-01 18:20:00,60,14,96,30,20,21,21,0.0,0.0,0.0,22,20,304.0
2024-03-01 18:30:00,42,19,57,30,10,11,15,0.0,0.0,0.0,11,14,209.0
2024-03-01 18:40:00,54,16,98,35,12,9,17,0.0,0.0,0.0,9,11,261.0
2024-03-01 18:50:00,62,20,77,33,16,10,10,0.0,0.0,0.0,15,9,252.0
2024-03-01 19:00:00,61,17,110,33,8,13,13,0.0,0.0,0.0,12,17,284.0
2024-03-01 19:10:00,37,23,65,25,19,17,17,0.0,0.0,0.0,13,18,234.0
2024-03-01 19:20:00,54,27,72,27,17,17,15,0.0,0.0,0.0,9,12,250.0
2024-03-01 19:30:00,33,24,53,26,16,8,12,0.0,0.0,0.0,9,9,190.0
2024-03-01 19:40:00,31,20,75,39,19,14,14,0.0,0.0,0.0,18,13,243.0
2024-03-01 19:50:00,40,22,36,26,11,11,14,0.0,0.0,0.0,12,17,189.0
2024-03-01 20:00:00,34,18,115,24,7,15,12,0.0,0.0,0.0,18,10,253.0
2024-03-01 20:10:00,44,20,56,32,13,9,8,0.0,0.0,0.0,10,9,201.0
2024-03-01 20:20:00,41,22,26,37,17,15,13,0.0,0.0,0.0,11,11,193.0
2024-03-01 20:30:00,51,25,135,27,42,19,20,0.0,0.0,0.0,23,10,352.0
2024-03-01 20:40:00,37,24,81,29,12,5,18,0.0,0.0,0.0,5,8,219.0
2024-03-01 20:50:00,32,33,14,20,14,9,12,0.0,0.0,0.0,15,9,158.0
2024-03-01 21:00:00,21,17,14,20,7,8,10,0.0,0.0,0.0,9,9,115.0
2024-03-01 21:10:00,18,21,19,22,6,8,6,0.0,0.0,0.0,14,6,120.0
2024-03-01 21:20:00,30,21,15,27,7,7,7,0.0,0.0,0.0,5,8,127.0
2024-03-01 21:30:00,31,25,15,22,11,16,14,0.0,0.0,0.0,13,17,164.0
2024-03-01 21:40:00,20,16,21,24,10,8,16,0.0,0.0,0.0,9,16,140.0
2024-03-01 21:50:00,24,22,14,21,7,2,9,0.0,0.0,0.0,6,9,114.0
2024-03-01 22:00:00,25,18,17,27,12,5,9,0.0,0.0,0.0,9,7,129.0
2024-03-01 22:10:00,31,24,26,15,13,9,10,0.0,0.0,0.0,13,8,149.0
2024-03-01 22:20:00,31,22,106,24,8,8,13,0.0,0.0,0.0,7,8,227.0
2024-03-01 22:30:00,27,22,19,21,9,8,15,0.0,0.0,0.0,8,14,143.0
2024-03-01 22:40:00,31,28,16,26,3,10,8,0.0,0.0,0.0,11,8,141.0
