datetime,D21Z,D23Z,D81Z,D111Z,D112Z,V24Z,V25Z,V51Z,V52Z,V83Z,V84Z,V113Z,V114Z,Total
2024-03-01 18:30:00,78,1,75,27,15,44,30,32,9,37,9,15,7,379
2024-03-01 18:40:00,81,2,93,19,13,41,16,18,16,20,11,22,9,361
2024-03-01 18:50:00,94,1,85,27,15,33,15,20,12,23,7,26,18,376
2024-03-01 19:00:00,78,0,77,23,6,45,14,21,14,33,13,14,1,339
2024-03-01 19:10:00,69,0,42,24,10,52,9,16,7,33,9,26,5,302
2024-03-01 19:20:00,66,0,57,19,11,50,14,30,15,29,4,15,6,316
2024-03-01 19:30:00,68,0,39,16,13,48,20,24,7,37,6,18,5,301
2024-03-01 19:40:00,59,1,50,10,12,31,10,23,4,40,4,19,5,268
2024-03-01 19:50:00,52,0,42,14,12,41,19,21,8,30,3,11,6,259
2024-03-01 20:00:00,80,0,39,5,7,45,15,18,16,32,6,5,3,271
2024-03-01 20:10:00,60,0,41,13,6,44,15,13,8,33,1,16,2,252
2024-03-01 20:20:00,58,0,32,8,8,51,13,14,3,29,3,15,3,237
2024-03-01 20:30:00,54,0,37,14,8,33,7,19,5,30,4,14,5,230
2024-03-01 20:40:00,42,0,27,10,6,36,12,11,11,31,4,9,2,201
2024-03-01 20:50:00,55,0,39,13,6,38,8,12,7,33,2,18,8,239
2024-03-01 21:00:00,47,1,42,9,12,37,17,14,4,33,4,13,7,240
2024-03-01 21:10:00,52,1,16,10,7,40,18,12,4,20,4,17,7,208
2024-03-01 21:20:00,40,0,35,5,10,38,10,16,2,38,7,10,3,214
2024-03-01 21:30:00,42,0,24,20,3,48,7,11,0,19,3,18,3,198
2024-03-01 21:40:00,26,1,14,7,8,29,3,12,4,20,3,6,5,138
2024-03-01 21:50:00,45,1,35,10,4,33,6,3,8,20,4,12,2,183
2024-03-01 22:00:00,39,0,34,11,5,34,2,11,7,24,5,13,2,187
2024-03-01 22:10:00,52,1,24,11,9,27,6,9,0,21,1,14,2,177
2024-03-01 22:20:00,42,0,27,10,13,41,7,11,3,27,2,18,6,207
2024-03-01 22:30:00,40,0,15,13,10,26,5,10,9,20,2,17,8,175
2024-03-01 22:40:00,32,0,21,5,6,31,12,10,11,25,0,8,1,162
2024-03-01 22:50:00,39,0,21,7,2,27,7,7,0,24,0,11,1,146
2024-03-01 23:00:00,28,0,21,8,4,24,4,10,3,19,1,14,0,136
2024-03-01 23:10:00,34,0,16,9,3,30,8,10,3,12,1,16,2,144
2024-03-01 23:20:00,19,0,13,8,2,16,4,9,2,18,3,11,2,107
2024-03-01 23:30:00,15,0,14,4,5,26,1,10,6,19,2,7,1,110
2024-03-01 23:40:00,19,0,12,4,10,23,2,15,8,17,3,6,7,126
2024-03-01 23:50:00,22,0,18,5,8,29,3,4,3,22,2,8,6,130
2024-03-02 00:00:00,12,1,13,2,3,22,6,6,1,20,2,2,3,93
2024-03-02 00:10:00,25,0,6,8,2,26,1,2,4,10,0,11,1,96
2024-03-02 00:20:00,20,0,12,3,3,28,7,8,3,14,1,4,1,104
2024-03-02 00:30:00,13,0,19,3,0,18,4,5,3,26,1,6,0,98
2024-03-02 00:40:00,10,0,8,3,2,15,1,4,3,11,1,5,2,65
2024-03-02 00:50:00,13,0,4,4,1,15,2,2,0,4,1,4,1,51
2024-03-02 01:00:00,8,0,6,1,1,11,2,1,5,7,0,2,1,45
2024-03-02 01:10:00,11,0,10,2,3,18,2,2,2,13,1,3,0,67
2024-03-02 01:20:00,6,0,8,0,1,6,1,1,1,13,2,1,1,41
2024-03-02 01:30:00,6,0,2,3,3,5,2,3,3,1,0,3,2,33
2024-03-02 01:40:00,6,0,6,1,0,9,4,3,0,8,0,1,0,38
2024-03-02 01:50:00,2,0,5,4,4,4,3,8,4,10,0,5,1,50
2024-03-02 02:00:00,10,0,2,1,3,21,0,4,1,5,2,1,2,52
2024-03-02 02:10:00,9,0,4,1,2,16,0,2,1,8,0,4,1,48
2024-03-02 02:20:00,7,0,2,1,2,11,4,0,3,3,0,5,1,39
2024-03-02 02:30:00,8,0,7,3,1,11,0,1,0,10,0,5,1,47
2024-03-02 02:40:00,5,0,5,2,0,8,0,1,0,5,1,1,0,28
2024-03-02 02:50:00,4,0,5,4,0,4,2,0,0,8,0,5,1,33
2024-03-02 03:00:00,3,0,4,1,3,4,0,2,1,6,4,2,1,31
2024-03-02 03:10:00,12,0,2,2,0,13,3,1,2,4,0,3,0,42
2024-03-02 03:20:00,3,0,2,1,1,5,2,2,0,2,2,1,0,21
2024-03-02 03:30:00,4,0,2,1,3,8,0,1,2,3,0,2,3,29
2024-03-02 03:40:00,5,0,7,1,0,8,1,2,1,10,0,1,0,36
2024-03-02 03:50:00,5,0,4,2,1,10,1,0,0,5,0,3,0,31
2024-03-02 04:00:00,7,0,9,1,1,8,3,1,1,13,0,2,1,47
