datetime,D41Z,V42Z,D71Z,D81Z,D82Z,V83Z,V84Z,D811Z,D812Z,V813Z,V814Z,D111Z,D112Z,V113Z,V114Z,D115Z,D121Z,D122Z,V123Z,V124Z,D125Z,D126Z,V521Z,Total
2024-03-01 22:50:00,4,6,9,4,12,14,12,8,13,13,11,4,16,3,29,18,40,14,16,12,55,10,2,325
2024-03-01 23:00:00,6,7,8,7,13,11,11,8,11,15,8,9,19,8,24,29,32,8,25,8,40,4,3,314
2024-03-01 23:10:00,6,10,5,5,5,11,7,5,8,9,6,4,10,3,18,15,47,10,20,9,58,6,1,278
2024-03-01 23:20:00,4,4,0,8,6,10,6,7,12,13,9,10,15,7,23,21,46,16,16,13,51,8,3,308
2024-03-01 23:30:00,3,5,8,7,8,15,11,6,10,12,6,10,12,7,22,22,47,8,20,8,50,2,3,302
2024-03-01 23:40:00,4,4,4,5,8,11,9,7,9,12,11,7,15,4,19,17,25,7,15,7,33,8,2,243
2024-03-01 23:50:00,3,4,3,2,3,10,6,5,3,4,7,8,11,4,21,13,30,9,17,9,33,15,5,225
2024-03-02 00:00:00,8,6,3,5,8,9,6,4,14,17,4,3,9,2,14,11,16,6,13,6,23,5,4,196
2024-03-02 00:10:00,2,7,4,2,4,7,6,3,5,5,5,3,11,0,12,9,29,2,22,5,31,14,0,188
2024-03-02 00:20:00,8,4,2,2,2,6,2,2,4,5,2,2,14,0,19,12,63,5,12,4,30,4,3,207
2024-03-02 00:30:00,2,5,0,3,5,5,6,4,4,4,5,5,9,2,16,8,23,4,10,4,31,2,0,157
2024-03-02 00:40:00,3,4,1,2,3,5,2,2,5,5,2,0,9,0,12,8,19,3,12,2,18,4,0,121
2024-03-02 00:50:00,3,2,0,1,4,1,4,3,4,4,5,1,3,0,6,4,16,2,12,2,19,3,2,101
2024-03-02 01:00:00,1,3,1,0,2,3,3,3,0,0,3,4,8,3,10,11,16,3,12,3,17,2,0,108
2024-03-02 01:10:00,8,8,2,1,0,4,1,1,8,10,1,2,4,0,10,6,12,5,10,4,13,10,3,123
