datetime,D11Z,D12Z,V13Z,V14Z,V15Z,D21Z,D22Z,V23Z,V24Z,D31Z,D32Z,V33Z,V34Z,V37Z,D41Z,D42Z,V43Z,V44Z,D35Z,D36Z,Total
2024-03-01 16:50:00,55,47,25,22,44,19,21,13,15,30,62,25,26,21,88,60,22,25,0.0,0.0,620.0
2024-03-01 17:00:00,69,48,33,28,44,11,17,8,12,27,67,20,31,22,103,59,27,25,0.0,0.0,651.0
2024-03-01 17:10:00,68,49,23,24,46,13,23,10,17,33,84,20,41,25,108,76,34,31,0.0,0.0,725.0
2024-03-01 17:20:00,68,55,30,22,49,18,28,17,16,38,65,27,33,31,95,55,19,20,0.0,0.0,686.0
2024-03-01 17:30:00,55,42,32,28,40,17,18,9,18,18,61,13,29,16,77,59,26,27,0.0,0.0,585.0
2024-03-01 17:40:00,46,41,16,16,38,12,17,11,15,24,57,17,39,19,77,53,26,23,0.0,0.0,547.0
2024-03-01 17:50:00,64,42,23,23,41,11,14,9,15,40,70,30,41,38,98,59,27,31,0.0,0.0,676.0
2024-03-01 18:00:00,70,47,25,26,47,7,30,7,17,37,71,25,35,25,93,58,22,23,0.0,0.0,665.0
2024-03-01 18:10:00,50,38,20,23,38,14,21,15,12,32,69,20,32,27,94,58,22,21,0.0,0.0,606.0
2024-03-01 18:20:00,55,42,20,27,44,12,24,11,15,35,80,43,28,31,105,73,28,27,0.0,0.0,700.0
2024-03-01 18:30:00,52,42,25,23,41,16,22,17,24,24,79,28,45,15,89,77,29,30,0.0,0.0,678.0
2024-03-01 18:40:00,48,31,34,34,35,10,23,11,21,34,67,34,44,27,96,65,14,61,0.0,0.0,689.0
2024-03-01 18:50:00,41,52,23,37,51,17,13,11,15,46,64,41,49,31,91,52,24,24,0.0,0.0,682.0
2024-03-01 19:00:00,46,51,26,33,50,7,25,8,21,47,64,40,55,35,95,56,21,20,0.0,0.0,700.0
2024-03-01 19:10:00,37,43,23,22,42,13,20,13,15,26,64,26,48,21,84,53,24,89,0.0,0.0,663.0
2024-03-01 19:20:00,35,46,26,40,55,11,13,15,19,20,52,22,48,16,66,50,8,10,0.0,0.0,552.0
2024-03-01 19:30:00,28,51,21,37,49,9,22,13,25,23,49,26,49,23,61,48,16,19,0.0,0.0,569.0
2024-03-01 19:40:00,28,37,18,26,35,9,17,13,33,23,47,27,44,23,66,47,13,12,0.0,0.0,518.0
2024-03-01 19:50:00,21,40,17,33,39,13,10,13,12,23,49,23,48,21,66,43,14,18,0.0,0.0,503.0
2024-03-01 20:00:00,15,30,17,28,32,3,9,3,15,22,36,20,39,23,58,39,11,11,0.0,0.0,411.0
2024-03-01 20:10:00,28,32,19,30,32,8,19,10,29,18,39,23,41,17,54,40,10,9,0.0,0.0,458.0
2024-03-01 20:20:00,14,45,12,39,45,5,12,5,8,15,48,21,47,14,59,46,8,12,0.0,0.0,455.0
2024-03-01 20:30:00,21,31,22,33,30,8,5,6,6,13,38,22,44,13,50,36,11,13,0.0,0.0,402.0
2024-03-01 20:40:00,10,40,17,39,41,6,8,8,10,12,35,13,43,9,44,31,7,7,0.0,0.0,380.0
2024-03-01 20:50:00,16,37,14,31,39,6,12,8,15,17,29,20,39,13,39,26,9,10,0.0,0.0,380.0
2024-03-01 21:00:00,16,94,22,47,37,1,7,2,13,15,36,17,48,9,44,30,11,13,0.0,0.0,462.0
2024-03-01 21:10:00,12,34,8,47,31,6,13,3,16,10,38,11,38,10,45,37,9,12,0.0,0.0,380.0
2024-03-01 21:20:00,12,33,22,41,34,7,8,7,6,11,32,16,43,10,40,33,7,9,0.0,0.0,371.0
2024-03-01 21:30:00,10,27,12,30,30,11,25,14,26,10,28,24,26,10,39,28,4,7,0.0,0.0,361.0
2024-03-01 21:40:00,18,34,16,35,32,11,28,14,38,17,26,24,40,13,39,26,7,6,0.0,0.0,424.0
2024-03-01 21:50:00,10,37,10,40,40,10,17,11,28,9,27,10,19,10,31,25,5,6,0.0,0.0,345.0
2024-03-01 22:00:00,8,34,12,33,33,13,10,10,19,7,34,11,36,6,37,32,0,0,0.0,0.0,335.0
2024-03-01 22:10:00,15,35,20,44,36,14,17,12,19,15,22,20,29,16,34,20,3,3,0.0,0.0,374.0
2024-03-01 22:20:00,16,38,18,37,41,5,15,5,22,10,23,14,31,11,29,23,6,7,0.0,0.0,351.0
2024-03-01 22:30:00,6,21,14,23,25,3,13,2,17,9,25,12,30,8,28,23,4,4,0.0,0.0,267.0
2024-03-01 22:40:00,4,29,8,27,29,8,4,13,7,8,18,21,24,9,24,16,6,6,0.0,0.0,261.0
2024-03-01 22:50:00,13,27,21,24,29,8,6,8,13,6,23,9,39,6,27,24,5,8,0.0,0.0,296.0
2024-03-01 23:00:00,12,21,11,19,22,2,5,3,5,11,24,18,32,11,34,25,6,8,0.0,0.0,269.0
2024-03-01 23:10:00,18,31,15,31,32,5,16,5,22,13,26,19,33,12,34,23,4,4,0.0,0.0,343.0
2024-03-01 23:20:00,7,18,12,21,19,9,11,9,18,3,14,9,23,3,17,14,3,4,0.0,0.0,214.0
2024-03-01 23:30:00,7,20,12,20,19,7,4,7,6,5,14,9,17,4,18,14,3,3,0.0,0.0,189.0
2024-03-01 23:40:00,12,23,18,35,22,10,6,7,4,2,12,7,18,2,13,11,1,2,0.0,0.0,205.0
2024-03-01 23:50:00,5,16,14,20,20,3,9,3,14,4,14,5,18,3,17,12,1,0,0.0,0.0,178.0
2024-03-02 00:00:00,5,18,10,15,19,4,5,6,5,2,15,2,20,3,16,15,4,5,0.0,0.0,169.0
2024-03-02 00:10:00,7,11,10,13,11,5,8,4,8,5,15,9,21,5,18,16,6,7,0.0,0.0,179.0
2024-03-02 00:20:00,3,18,8,19,20,1,1,1,1,6,13,9,16,4,15,11,6,5,0.0,0.0,157.0
2024-03-02 00:30:00,5,13,8,17,15,5,3,5,6,6,14,13,18,7,17,12,3,3,0.0,0.0,170.0
