datetime,V11Z,V12Z,V13Z,D21Z,D22Z,D23Z,D24Z,D31Z,D32Z,D33Z,V41Z,V42Z,V43Z,V44Z,Total
2024-03-01 20:00:00,34,40,19,0,0,39,4,20,28,19,27,32,26,10,298
2024-03-01 20:10:00,29,23,19,0,0,38,14,10,29,11,33,17,32,15,270
2024-03-01 20:20:00,28,20,22,0,0,47,8,13,43,16,24,18,33,19,291
2024-03-01 20:30:00,31,26,18,0,0,46,19,19,23,16,27,13,27,11,276
2024-03-01 20:40:00,21,26,28,0,0,28,15,13,15,10,21,11,26,13,227
2024-03-01 20:50:00,22,17,16,0,0,37,10,8,14,7,25,12,21,16,205
2024-03-01 21:00:00,23,32,26,0,0,40,11,14,21,14,35,6,32,3,257
2024-03-01 21:10:00,27,26,21,0,0,40,8,14,16,16,26,13,14,18,239
2024-03-01 21:20:00,29,26,24,0,0,30,8,8,21,20,23,11,13,13,226
2024-03-01 21:30:00,22,16,12,0,0,45,9,11,15,11,23,18,16,17,215
2024-03-01 21:40:00,19,26,14,0,0,49,10,14,19,7,22,14,28,14,236
2024-03-01 21:50:00,14,22,10,0,0,18,8,12,11,10,33,14,13,17,182
2024-03-01 22:00:00,21,22,13,0,0,41,11,7,16,6,29,13,19,14,212
2024-03-01 22:10:00,25,26,22,0,0,42,11,16,20,8,27,8,21,2,228
2024-03-01 22:20:00,28,23,14,0,0,33,7,8,16,2,23,18,22,14,208
2024-03-01 22:30:00,25,26,17,0,0,28,12,8,11,8,23,12,23,14,207
2024-03-01 22:40:00,19,20,17,0,0,24,9,6,7,5,17,8,17,13,162
2024-03-01 22:50:00,13,20,19,0,0,26,8,9,16,7,18,9,21,14,180
2024-03-01 23:00:00,9,21,14,0,0,24,11,9,15,3,18,9,19,15,167
2024-03-01 23:10:00,9,14,8,0,0,32,9,8,13,4,11,6,9,7,130
2024-03-01 23:20:00,12,18,16,0,0,20,7,10,14,10,8,4,5,5,129
2024-03-01 23:30:00,10,14,13,0,0,20,7,2,7,1,16,3,18,6,117
2024-03-01 23:40:00,14,12,10,0,0,7,6,4,11,4,12,2,7,2,91
2024-03-01 23:50:00,10,20,15,0,0,11,6,5,8,2,4,3,4,3,91
2024-03-02 00:00:00,15,15,16,0,0,10,4,4,12,4,13,4,15,5,117
2024-03-02 00:10:00,18,12,9,0,0,18,5,4,8,5,16,4,8,5,112
2024-03-02 00:20:00,3,15,14,0,0,16,6,5,6,4,10,4,7,6,96
2024-03-02 00:30:00,9,10,13,0,0,14,5,4,4,5,10,3,4,2,83
2024-03-02 00:40:00,7,12,11,0,0,15,3,8,8,5,9,4,9,7,98
2024-03-02 00:50:00,5,8,7,0,0,8,5,5,7,2,5,2,6,4,64
2024-03-02 01:00:00,8,7,4,0,0,12,3,6,4,2,10,5,5,4,70
2024-03-02 01:10:00,1,10,7,0,0,5,6,2,2,1,5,1,1,1,42
2024-03-02 01:20:00,6,3,1,0,0,7,1,1,5,4,7,1,6,3,45
2024-03-02 01:30:00,1,3,3,0,0,8,2,2,1,0,8,3,12,1,44
2024-03-02 01:40:00,6,8,5,0,0,5,3,1,3,0,4,2,4,3,44
2024-03-02 01:50:00,2,2,2,0,0,7,2,2,3,1,4,0,2,0,27
2024-03-02 02:00:00,2,12,13,0,0,7,9,3,7,5,8,2,3,1,72
2024-03-02 02:10:00,4,7,4,0,0,1,5,6,11,1,6,3,5,0,53
2024-03-02 02:20:00,3,2,3,0,0,7,1,2,2,2,4,1,3,0,30
2024-03-02 02:30:00,6,5,3,0,0,2,3,1,5,4,3,1,4,2,39
2024-03-02 02:40:00,3,7,7,0,0,6,3,1,3,0,3,1,1,1,36
2024-03-02 02:50:00,0,2,1,0,0,6,3,1,1,2,7,4,7,3,37
