datetime,V21Z,V22Z,V81Z,V82Z,D11Z,D12Z,Total
2024-03-02 08:20:00,0,20,0,24,0,0,44
2024-03-02 08:30:00,0,17,0,24,1,0,42
2024-03-02 08:40:00,0,24,0,23,1,0,48
2024-03-02 08:50:00,0,27,0,25,0,0,52
2024-03-02 09:00:00,0,21,0,25,0,0,46
2024-03-02 09:10:00,0,28,0,28,1,0,57
2024-03-02 09:20:00,0,24,0,22,0,0,46
2024-03-02 09:30:00,0,24,0,26,0,0,50
2024-03-02 09:40:00,0,33,0,27,0,0,60
2024-03-02 09:50:00,0,37,0,33,0,0,70
2024-03-02 10:00:00,0,31,0,29,0,0,60
2024-03-02 10:10:00,0,31,0,24,3,0,58
2024-03-02 10:20:00,0,37,0,24,2,0,63
2024-03-02 10:30:00,0,42,0,22,1,0,65
2024-03-02 10:40:00,0,39,0,26,0,0,65
2024-03-02 10:50:00,0,35,0,24,0,0,59
2024-03-02 11:00:00,0,32,0,29,1,0,62
2024-03-02 11:10:00,0,30,0,33,0,0,63
2024-03-02 11:20:00,0,39,0,35,0,0,74
2024-03-02 11:30:00,0,37,0,30,0,0,67
2024-03-02 11:40:00,0,36,0,39,3,0,78
2024-03-02 11:50:00,0,32,0,32,1,0,65
2024-03-02 12:00:00,0,38,0,40,0,0,78
2024-03-02 12:10:00,0,40,0,37,1,0,78
2024-03-02 12:20:00,0,33,0,35,1,0,69
2024-03-02 12:30:00,0,3,0,32,0,0,35
2024-03-02 12:40:00,0,0,0,32,0,0,32
2024-03-02 12:50:00,0,11,0,35,0,0,46
2024-03-02 13:00:00,0,2,0,41,2,0,45
2024-03-02 13:10:00,0,9,0,26,0,0,35
2024-03-02 13:20:00,0,5,0,38,1,0,44
2024-03-02 13:30:00,0,0,0,36,0,0,36
2024-03-02 13:40:00,0,4,0,38,0,0,42
2024-03-02 13:50:00,0,0,0,25,2,0,27
2024-03-02 14:00:00,0,0,0,38,1,0,39
2024-03-02 14:10:00,0,0,0,33,1,0,34
2024-03-02 14:20:00,0,0,0,43,1,0,44
2024-03-02 14:30:00,0,0,0,41,1,0,42
2024-03-02 14:40:00,0,0,0,35,1,0,36
2024-03-02 14:50:00,0,10,0,33,1,0,44
2024-03-02 15:00:00,0,5,0,31,2,0,38
2024-03-02 15:10:00,0,17,0,34,1,0,52
2024-03-02 15:20:00,0,33,0,38,0,0,71
2024-03-02 15:30:00,0,13,0,27,1,0,41
2024-03-02 15:40:00,0,8,0,34,1,0,43
2024-03-02 15:50:00,0,6,0,37,2,0,45
2024-03-02 16:00:00,0,0,0,32,1,0,33
2024-03-02 16:10:00,0,66,0,37,4,0,107
2024-03-02 16:20:00,0,6,0,37,3,0,46
2024-03-02 16:30:00,0,2,0,32,0,0,34
2024-03-02 16:40:00,0,0,0,35,1,0,36
2024-03-02 16:50:00,0,15,0,40,3,0,58
2024-03-02 17:00:00,0,19,0,32,0,0,51
2024-03-02 17:10:00,0,19,0,38,3,0,60
2024-03-02 17:20:00,0,9,0,32,1,0,42
2024-03-02 17:30:00,0,23,0,35,0,0,58
2024-03-02 17:40:00,0,35,0,35,1,0,71
2024-03-02 17:50:00,0,38,0,36,1,0,75
2024-03-02 18:00:00,0,36,0,34,0,0,70
2024-03-02 18:10:00,0,33,0,37,2,0,72
2024-03-02 18:20:00,0,41,0,58,3,0,102
2024-03-02 18:30:00,0,39,0,75,1,0,115
2024-03-02 18:40:00,0,34,0,60,1,0,95
2024-03-02 18:50:00,0,52,0,70,1,0,123
2024-03-02 19:00:00,0,40,0,64,1,0,105
2024-03-02 19:10:00,0,41,0,60,2,0,103
2024-03-02 19:20:00,0,41,0,50,3,0,94
2024-03-02 19:30:00,0,45,0,45,0,0,90
2024-03-02 19:40:00,0,31,0,74,0,0,105
2024-03-02 19:50:00,0,36,0,80,3,0,119
2024-03-02 20:00:00,0,35,0,60,3,0,98
2024-03-02 20:10:00,0,26,0,57,7,0,90
2024-03-02 20:20:00,0,27,0,35,0,0,62
2024-03-02 20:30:00,0,24,0,45,0,0,69
2024-03-02 20:40:00,0,20,0,62,0,0,82
2024-03-02 20:50:00,0,37,0,59,1,0,97
2024-03-02 21:00:00,0,24,0,48,0,0,72
2024-03-02 21:10:00,0,27,0,56,1,0,84
2024-03-02 21:20:00,0,32,0,60,0,0,92
2024-03-02 21:30:00,0,35,0,53,0,0,88
2024-03-02 21:40:00,0,26,0,50,1,0,77
2024-03-02 21:50:00,0,21,0,29,1,0,51
2024-03-02 22:00:00,0,25,0,55,0,0,80
2024-03-02 22:10:00,0,27,0,50,0,0,77
2024-03-02 22:20:00,0,25,0,60,0,0,85
2024-03-02 22:30:00,0,15,0,47,1,0,63
2024-03-02 22:40:00,0,28,0,41,0,0,69
2024-03-02 22:50:00,0,27,0,35,0,0,62
2024-03-02 23:00:00,0,14,0,56,1,0,71
2024-03-02 23:10:00,0,24,0,41,0,0,65
2024-03-02 23:20:00,0,20,0,39,0,0,59
2024-03-02 23:30:00,0,16,0,24,0,0,40
2024-03-02 23:40:00,0,19,0,51,0,0,70
2024-03-02 23:50:00,0,21,0,29,2,0,52
2024-03-03 00:00:00,0,8,0,35,0,0,43
2024-03-03 00:10:00,0,14,0,42,0,0,56
2024-03-03 00:20:00,0,13,0,39,0,0,52
2024-03-03 00:30:00,0,19,0,27,0,0,46
2024-03-03 00:40:00,0,13,0,27,0,0,40
2024-03-03 00:50:00,0,4,0,38,0,0,42
2024-03-03 01:00:00,0,7,0,22,0,0,29
2024-03-03 01:10:00,0,15,0,31,0,0,46
2024-03-03 01:20:00,0,6,0,22,0,0,28
2024-03-03 01:30:00,0,18,0,34,0,0,52
2024-03-03 01:40:00,0,8,0,22,0,0,30
2024-03-03 01:50:00,0,11,0,21,0,0,32
2024-03-03 02:00:00,0,13,0,17,0,0,30
2024-03-03 02:10:00,0,6,0,21,0,0,27
2024-03-03 02:20:00,0,5,0,15,0,0,20
2024-03-03 02:30:00,0,11,0,14,0,0,25
2024-03-03 02:40:00,0,5,0,24,0,0,29
2024-03-03 02:50:00,0,3,0,10,0,0,13
2024-03-03 03:00:00,0,7,0,18,0,0,25
2024-03-03 03:10:00,0,8,0,7,0,0,15
2024-03-03 03:20:00,0,2,0,8,1,0,11
2024-03-03 03:30:00,0,4,0,13,0,0,17
2024-03-03 03:40:00,0,4,0,4,0,0,8
2024-03-03 03:50:00,0,8,0,10,0,0,18
2024-03-03 04:00:00,0,2,0,3,0,0,5
2024-03-03 04:10:00,0,2,0,11,0,0,13
2024-03-03 04:20:00,0,1,0,12,0,0,13
2024-03-03 04:30:00,0,11,0,16,0,0,27
2024-03-03 04:40:00,0,4,0,21,1,0,26
2024-03-03 04:50:00,0,8,0,31,0,0,39
2024-03-03 05:00:00,0,8,0,38,0,0,46
2024-03-03 05:10:00,0,2,0,28,1,0,31
2024-03-03 05:20:00,0,9,0,20,0,0,29
2024-03-03 05:30:00,0,13,0,15,0,0,28
2024-03-03 05:40:00,0,8,0,25,0,0,33
2024-03-03 05:50:00,0,7,0,17,0,0,24
2024-03-03 06:00:00,0,3,0,21,1,0,25
2024-03-03 06:10:00,0,8,0,17,0,0,25
2024-03-03 06:20:00,0,4,0,15,1,0,20
2024-03-03 06:30:00,0,11,0,13,0,0,24
2024-03-03 06:40:00,0,12,0,16,0,0,28
2024-03-03 06:50:00,0,4,0,10,1,0,15
2024-03-03 07:00:00,0,6,0,11,0,0,17
2024-03-03 07:10:00,0,5,0,15,0,0,20
2024-03-03 07:20:00,0,7,0,4,0,0,11
2024-03-03 07:30:00,0,5,0,12,0,0,17
2024-03-03 07:40:00,0,10,0,3,0,0,13
2024-03-03 07:50:00,0,7,0,17,0,0,24
2024-03-03 08:00:00,0,5,0,6,0,0,11
2024-03-03 08:10:00,0,6,0,10,0,0,16
2024-03-03 08:20:00,0,4,0,11,0,0,15
2024-03-03 08:30:00,0,10,0,17,0,0,27
2024-03-03 08:40:00,0,16,0,12,1,0,29
2024-03-03 08:50:00,0,15,0,24,0,0,39
2024-03-03 09:00:00,0,14,0,21,0,0,35
2024-03-03 09:10:00,0,20,0,18,0,0,38
2024-03-03 09:20:00,0,25,0,23,0,0,48
2024-03-03 09:30:00,0,25,0,27,0,0,52
2024-03-03 09:40:00,0,25,0,26,2,0,53
2024-03-03 09:50:00,0,28,0,27,1,0,56
2024-03-03 10:00:00,0,22,0,20,0,0,42
2024-03-03 10:10:00,0,25,0,25,0,0,50
2024-03-03 10:20:00,0,29,0,24,0,0,53
2024-03-03 10:30:00,0,19,0,25,1,0,45
2024-03-03 10:40:00,0,28,0,22,2,0,52
2024-03-03 10:50:00,0,28,0,28,0,0,56
2024-03-03 11:00:00,0,24,0,18,0,0,42
2024-03-03 11:10:00,0,22,0,21,1,0,44
2024-03-03 11:20:00,0,32,0,30,0,0,62
2024-03-03 11:30:00,0,32,0,24,0,0,56
2024-03-03 11:40:00,0,26,0,30,1,0,57
2024-03-03 11:50:00,0,26,0,26,0,0,52
2024-03-03 12:00:00,0,31,0,31,0,0,62
2024-03-03 12:10:00,0,36,0,30,4,0,70
2024-03-03 12:20:00,0,31,0,36,0,0,67
2024-03-03 12:30:00,0,36,0,33,0,0,69
2024-03-03 12:40:00,0,32,0,24,0,0,56
2024-03-03 12:50:00,0,34,0,26,0,0,60
2024-03-03 13:00:00,0,27,0,33,1,0,61
2024-03-03 13:10:00,0,24,0,36,3,0,63
2024-03-03 13:20:00,0,27,0,35,0,0,62
2024-03-03 13:30:00,0,38,0,22,1,0,61
2024-03-03 13:40:00,0,25,0,27,0,0,52
2024-03-03 13:50:00,0,31,0,30,1,0,62
2024-03-03 14:00:00,0,24,0,31,0,0,55
2024-03-03 14:10:00,0,33,0,38,2,0,73
2024-03-03 14:20:00,0,30,0,42,0,0,72
2024-03-03 14:30:00,0,41,0,38,1,0,80
2024-03-03 14:40:00,0,33,0,27,0,0,60
