datetime,D11Z,V111Z,D12Z,V121Z,D21Z,V211Z,D23Z,D22Z,V221Z,D31Z,V311Z,D32Z,V321Z,D41Z,V411Z,D43Z,D42Z,V421Z,D44Z,Total
2024-03-01 15:20:00,34,14,53,23,3,21,42,0,14,62,7,13,9,51,53,34,18,29,12,492
2024-03-01 15:30:00,27,9,65,31,2,16,37,0,9,72,1,24,6,49,51,18,23,19,8,467
2024-03-01 15:40:00,30,16,39,24,7,14,36,0,15,84,9,14,7,34,39,21,21,18,15,443
2024-03-01 15:50:00,30,15,53,21,6,12,30,0,7,51,5,9,9,30,34,10,19,22,7,370
2024-03-01 16:00:00,28,19,52,22,5,12,44,0,9,44,8,19,2,27,36,20,12,14,9,382
2024-03-01 16:10:00,22,16,57,26,15,11,48,0,12,59,3,17,3,44,46,20,23,21,13,456
2024-03-01 16:20:00,31,19,59,28,9,22,35,0,4,62,6,23,9,47,47,16,18,17,10,462
2024-03-01 16:30:00,24,19,59,42,5,14,46,0,7,59,5,23,5,38,48,21,21,20,12,468
2024-03-01 16:40:00,35,21,56,30,6,17,47,0,8,56,2,20,5,33,35,12,12,12,10,417
2024-03-01 16:50:00,28,14,51,20,7,18,27,0,15,69,8,27,7,43,36,24,23,25,11,453
2024-03-01 17:00:00,24,10,62,19,7,28,39,0,8,62,7,22,7,36,45,22,27,28,12,465
2024-03-01 17:10:00,19,10,62,34,9,18,37,0,14,72,6,19,9,28,32,17,14,24,10,434
2024-03-01 17:20:00,20,11,54,14,8,11,24,0,7,41,5,17,6,37,42,17,18,15,10,357
2024-03-01 17:30:00,24,16,68,32,8,22,41,0,10,60,9,25,6,42,47,22,17,18,5,472
2024-03-01 17:40:00,27,16,55,27,5,18,43,0,12,52,5,24,7,27,31,19,18,18,6,410
2024-03-01 17:50:00,21,10,55,23,11,15,30,0,12,48,4,27,9,37,46,26,17,18,10,419
2024-03-01 18:00:00,27,14,60,21,4,20,30,0,7,50,5,20,6,38,47,15,19,16,12,411
2024-03-01 18:10:00,17,11,48,28,5,25,35,0,20,62,6,25,5,42,47,18,20,21,11,446
2024-03-01 18:20:00,22,15,54,23,10,14,44,0,13,53,7,18,14,29,20,30,18,21,10,415
2024-03-01 18:30:00,18,14,55,25,4,15,44,0,14,61,5,26,11,36,45,25,19,20,24,461
2024-03-01 18:40:00,16,10,51,12,6,16,34,0,18,54,6,25,14,36,34,29,27,26,20,434
2024-03-01 18:50:00,27,22,58,16,7,14,29,0,12,33,6,19,9,36,36,31,13,22,16,406
2024-03-01 19:00:00,18,15,57,12,6,16,22,0,17,47,4,15,9,30,29,25,20,25,21,388
2024-03-01 19:10:00,25,28,56,18,5,19,27,0,14,57,6,16,11,36,43,17,17,17,19,431
2024-03-01 19:20:00,16,12,40,23,5,14,22,0,6,39,3,31,8,28,37,22,17,17,21,361
2024-03-01 19:30:00,16,17,40,12,4,15,25,0,8,39,5,16,10,34,35,25,25,30,20,376
2024-03-01 19:40:00,21,26,50,19,2,18,25,0,9,42,6,18,4,24,31,26,16,22,18,377
2024-03-01 19:50:00,9,11,39,18,4,12,19,0,10,45,10,26,8,28,34,27,20,23,21,364
2024-03-01 20:00:00,10,9,34,15,2,14,19,0,10,28,6,19,8,15,22,14,17,16,16,274
2024-03-01 20:10:00,12,18,34,16,2,18,32,0,10,36,4,25,2,27,26,15,16,19,18,330
2024-03-01 20:20:00,16,19,211,19,4,15,20,0,7,30,7,26,5,21,20,20,12,14,16,482
2024-03-01 20:30:00,12,12,27,12,3,11,22,0,12,35,6,30,3,23,30,19,14,13,21,305
2024-03-01 20:40:00,9,12,54,13,3,13,16,0,5,26,2,19,4,14,15,15,5,6,12,243
2024-03-01 20:50:00,6,7,30,35,3,19,16,0,7,31,2,26,9,23,21,23,15,15,19,307
2024-03-01 21:00:00,15,20,26,9,7,13,14,0,4,29,5,25,8,17,20,20,11,8,8,259
2024-03-01 21:10:00,11,17,23,14,2,15,16,0,6,39,3,21,2,14,17,13,14,12,16,255
2024-03-01 21:20:00,15,17,25,15,2,12,14,0,3,26,3,23,6,12,15,14,9,6,5,222
2024-03-01 21:30:00,11,10,20,10,2,8,10,0,4,26,4,22,2,22,27,21,17,17,20,253
2024-03-01 21:40:00,11,18,30,21,1,13,23,0,6,28,2,17,4,20,21,17,11,17,15,275
2024-03-01 21:50:00,11,14,21,10,1,14,13,0,0,24,3,19,6,11,13,13,13,10,15,211
2024-03-01 22:00:00,9,11,23,13,3,9,12,0,4,21,1,23,7,19,23,25,12,14,17,246
2024-03-01 22:10:00,9,11,22,10,2,6,15,0,3,17,3,15,2,9,12,11,11,10,11,179
2024-03-01 22:20:00,5,2,34,18,5,10,13,0,6,21,2,18,3,12,18,22,10,11,11,221
2024-03-01 22:30:00,7,9,15,7,2,17,21,0,15,26,0,21,2,10,11,14,10,12,10,209
2024-03-01 22:40:00,7,6,24,16,0,15,18,0,4,17,5,13,4,17,15,12,10,9,8,200
2024-03-01 22:50:00,6,6,22,16,4,7,7,0,5,19,3,21,2,17,19,23,17,15,17,226
2024-03-01 23:00:00,12,13,21,12,1,7,8,0,7,20,1,15,7,22,20,18,5,5,6,200
2024-03-01 23:10:00,12,14,18,12,0,7,9,0,5,17,2,14,6,12,16,14,8,9,7,182
2024-03-01 23:20:00,10,8,14,9,2,7,9,0,2,16,2,16,0,16,17,25,6,6,9,174
2024-03-01 23:30:00,9,7,12,11,1,4,9,0,8,17,1,10,3,8,11,10,9,10,11,151
2024-03-01 23:40:00,10,20,14,13,1,9,10,0,6,14,1,14,2,9,15,13,10,10,12,183
2024-03-01 23:50:00,8,10,16,10,0,7,8,0,7,13,2,9,2,5,6,6,3,3,4,119
2024-03-02 00:00:00,5,6,12,10,3,6,5,0,4,10,2,12,2,5,7,8,6,6,7,116
2024-03-02 00:10:00,7,10,12,6,0,2,5,0,9,16,2,17,0,10,13,20,7,9,8,153
2024-03-02 00:20:00,7,9,15,11,0,10,9,0,4,5,0,6,6,7,12,12,6,9,8,136
2024-03-02 00:30:00,5,2,13,7,1,2,3,0,1,13,3,15,1,6,9,9,5,5,5,105
2024-03-02 00:40:00,7,10,12,6,0,7,7,0,1,10,0,10,2,10,12,15,8,8,6,131
2024-03-02 00:50:00,4,4,10,6,0,7,8,0,0,8,0,8,0,4,8,7,5,6,8,93
2024-03-02 01:00:00,3,3,8,3,0,1,1,0,1,6,1,6,1,5,5,5,5,3,1,58
2024-03-02 01:10:00,4,2,8,5,0,7,6,0,2,8,1,7,0,2,2,2,3,3,0,62
2024-03-02 01:20:00,4,4,6,4,0,4,4,0,2,5,0,8,1,8,8,10,6,5,3,82
2024-03-02 01:30:00,2,2,6,5,0,3,3,0,0,8,0,10,1,4,7,6,2,2,3,64
2024-03-02 01:40:00,1,2,9,6,0,1,1,0,0,5,1,5,1,5,6,6,3,4,6,62
2024-03-02 01:50:00,4,3,4,5,0,3,7,0,2,8,0,7,0,6,7,12,4,5,4,81
2024-03-02 02:00:00,3,3,9,4,0,2,3,0,0,4,0,4,0,3,6,7,5,6,7,66
2024-03-02 02:10:00,1,1,3,1,0,6,6,0,4,3,1,3,1,8,10,11,7,10,3,79
2024-03-02 02:20:00,5,9,6,5,0,0,0,0,0,7,1,6,0,6,7,7,3,5,1,68
2024-03-02 02:30:00,3,4,7,4,1,2,2,0,1,5,0,11,0,4,5,7,3,3,2,64
2024-03-02 02:40:00,5,4,6,3,0,0,0,0,0,3,0,3,0,2,4,4,3,3,4,44
2024-03-02 02:50:00,3,4,4,4,0,0,0,0,0,6,0,4,3,1,1,2,1,1,1,35
2024-03-02 03:00:00,1,2,1,0,0,2,2,0,0,4,0,5,1,1,3,3,3,2,2,32
2024-03-02 03:10:00,0,0,4,3,1,0,0,0,0,4,0,4,0,2,3,3,3,1,2,30
2024-03-02 03:20:00,1,1,5,4,0,2,2,0,0,3,0,5,1,3,3,3,3,0,0,36
2024-03-02 03:30:00,1,1,6,3,0,0,0,0,0,3,0,3,1,2,3,3,2,2,1,31
2024-03-02 03:40:00,1,1,6,5,0,2,2,0,0,9,0,8,1,3,3,2,1,1,1,46
2024-03-02 03:50:00,3,4,3,3,0,1,1,0,0,3,0,7,2,1,3,3,3,2,3,42
2024-03-02 04:00:00,0,0,6,3,0,2,2,0,0,6,0,10,1,7,7,8,7,5,1,65
2024-03-02 04:10:00,1,1,3,1,0,0,0,0,0,0,0,0,0,3,5,5,3,2,1,25
2024-03-02 04:20:00,1,2,2,0,0,4,4,0,0,3,0,3,0,0,1,1,6,4,1,32
2024-03-02 04:30:00,1,1,3,2,0,1,2,0,2,1,0,1,0,0,0,0,1,1,0,16
2024-03-02 04:40:00,4,4,6,6,0,0,0,0,0,2,0,2,0,4,4,4,3,3,1,43
2024-03-02 04:50:00,0,0,4,3,0,1,1,0,0,4,0,4,1,1,1,2,2,3,1,28
2024-03-02 05:00:00,5,7,6,3,0,1,1,0,2,5,0,7,0,0,2,2,2,2,2,47
2024-03-02 05:10:00,2,4,9,3,0,1,1,0,0,8,0,10,0,6,6,5,2,3,4,64
2024-03-02 05:20:00,7,6,6,3,0,1,3,0,1,5,0,5,1,16,9,10,8,8,4,93
2024-03-02 05:30:00,8,10,16,12,0,5,5,0,4,6,0,9,2,3,4,4,3,4,1,96
2024-03-02 05:40:00,2,3,15,11,0,8,12,0,6,9,0,8,0,9,11,8,4,3,4,113
2024-03-02 05:50:00,3,5,5,3,0,3,4,0,4,10,0,11,0,5,4,7,4,3,3,74
2024-03-02 06:00:00,3,5,8,3,0,4,5,0,0,9,0,9,0,6,4,6,5,4,8,79
2024-03-02 06:10:00,3,6,13,4,0,4,6,0,3,6,0,8,2,10,11,8,5,2,3,94
2024-03-02 06:20:00,3,3,7,3,0,11,10,0,4,10,0,10,1,3,4,5,7,7,1,89
2024-03-02 06:30:00,4,5,10,3,2,11,7,0,5,3,1,3,0,5,4,4,3,5,1,76
2024-03-02 06:40:00,7,12,12,6,0,5,9,0,1,5,0,5,4,8,10,13,9,7,15,128
2024-03-02 06:50:00,4,4,11,11,0,3,10,0,3,14,0,18,1,2,2,1,4,4,4,96
2024-03-02 07:00:00,4,4,14,9,0,5,5,0,2,13,0,14,0,4,6,4,8,8,22,122
2024-03-02 07:10:00,4,3,11,4,1,3,3,0,3,9,0,9,1,9,9,7,10,6,3,95
2024-03-02 07:20:00,1,1,11,11,0,11,12,0,2,13,1,8,3,7,6,4,5,4,4,104
2024-03-02 07:30:00,3,5,17,13,0,5,8,0,0,12,0,12,1,5,7,5,7,7,3,110
2024-03-02 07:40:00,4,5,12,5,1,5,6,0,2,8,1,7,1,7,11,8,4,4,5,96
2024-03-02 07:50:00,10,4,18,15,0,7,12,0,4,23,1,19,3,8,9,5,8,9,5,160
2024-03-02 08:00:00,7,4,19,17,0,5,8,0,2,26,0,18,0,3,8,6,7,8,9,147
2024-03-02 08:10:00,6,5,21,12,0,9,19,0,3,19,0,16,3,6,10,9,6,5,5,154
2024-03-02 08:20:00,11,10,14,11,0,14,18,0,4,31,2,17,2,6,8,5,6,5,4,168
2024-03-02 08:30:00,11,9,28,17,1,12,12,0,3,26,0,22,3,9,11,7,10,7,4,192
2024-03-02 08:40:00,13,10,24,21,2,12,17,0,5,29,0,20,3,15,12,7,10,9,5,214
2024-03-02 08:50:00,17,11,33,18,5,11,17,0,5,27,3,23,9,15,18,13,12,11,9,257
2024-03-02 09:00:00,14,9,25,18,6,19,20,0,4,31,3,26,2,7,10,8,7,9,4,222
2024-03-02 09:10:00,6,4,30,24,2,12,13,0,4,35,2,20,6,13,12,9,7,5,4,208
2024-03-02 09:20:00,18,13,26,18,3,14,21,0,5,39,1,20,3,17,14,15,10,10,7,254
2024-03-02 09:30:00,16,9,35,23,1,15,24,0,7,35,4,22,4,18,23,21,14,11,7,289
2024-03-02 09:40:00,17,6,48,30,7,21,32,0,4,51,2,31,5,11,24,16,15,14,11,345
2024-03-02 09:50:00,17,13,41,30,10,18,33,0,5,55,2,26,7,27,32,15,15,12,9,367
2024-03-02 10:00:00,23,22,45,23,1,21,32,0,3,42,3,22,4,17,23,10,14,17,13,335
2024-03-02 10:10:00,18,9,39,22,4,19,24,0,8,59,5,18,3,11,15,11,14,11,7,297
2024-03-02 10:20:00,24,10,37,19,3,16,34,0,10,53,3,23,5,16,21,11,14,14,11,324
