datetime,D21Z,V22Z,D31Z,V32Z,D51Z,D52Z,V53Z,V54Z,D81Z,D82Z,D83Z,V84Z,V85Z,V86Z,Total
2024-03-01 18:40:00,65,27,6,6,9,13,9,14,7,45,23,8,23,32,287
2024-03-01 18:50:00,64,26,15,16,6,13,13,16,7,57,33,9,23,38,336
2024-03-01 19:00:00,68,21,5,7,8,18,18,24,6,44,19,5,15,28,286
2024-03-01 19:10:00,76,19,10,13,3,14,3,16,6,50,21,5,19,39,294
2024-03-01 19:20:00,62,22,9,29,7,15,14,22,3,40,16,3,15,32,289
2024-03-01 19:30:00,46,26,10,13,3,10,4,9,2,42,10,1,11,38,225
2024-03-01 19:40:00,59,20,9,10,3,13,6,23,3,33,13,3,17,32,244
2024-03-01 19:50:00,50,32,8,17,6,13,7,11,5,42,16,7,14,27,255
2024-03-01 20:00:00,45,29,4,8,2,4,3,2,6,38,17,6,18,23,205
2024-03-01 20:10:00,67,36,6,8,1,11,1,4,4,35,10,5,8,29,225
2024-03-01 20:20:00,44,31,3,19,1,8,1,8,7,33,16,8,23,25,227
2024-03-01 20:30:00,54,33,11,20,1,7,2,3,4,23,10,6,10,21,205
2024-03-01 20:40:00,38,24,5,7,1,8,2,2,9,27,11,11,11,24,180
2024-03-01 20:50:00,38,26,4,6,2,8,1,13,4,29,9,4,9,29,182
2024-03-01 21:00:00,38,36,9,42,4,8,7,5,3,26,11,3,8,22,222
2024-03-01 21:10:00,43,27,7,36,2,4,4,4,2,27,7,1,9,21,194
2024-03-01 21:20:00,40,30,8,8,3,12,6,11,6,23,8,6,13,23,197
2024-03-01 21:30:00,34,30,8,10,1,6,2,5,2,24,7,4,6,25,164
2024-03-01 21:40:00,52,28,3,4,3,4,7,7,2,27,8,2,8,27,182
2024-03-01 21:50:00,47,29,9,13,1,3,1,2,2,24,7,2,7,19,166
2024-03-01 22:00:00,45,26,5,3,3,7,3,5,2,23,4,2,5,24,157
2024-03-01 22:10:00,39,32,3,4,2,3,3,4,3,22,11,3,13,18,160
2024-03-01 22:20:00,50,27,5,12,2,8,2,7,4,25,8,4,4,20,178
2024-03-01 22:30:00,55,30,2,4,0,5,0,2,1,21,5,1,8,23,157
2024-03-01 22:40:00,37,27,5,11,1,4,2,6,1,29,7,1,7,20,158
2024-03-01 22:50:00,37,26,9,11,1,3,2,1,2,27,11,3,10,27,170
2024-03-01 23:00:00,30,27,3,2,2,2,2,2,1,28,2,1,2,31,135
2024-03-01 23:10:00,28,25,5,27,0,3,0,5,0,20,5,2,3,22,145
2024-03-01 23:20:00,33,27,5,6,1,2,0,4,2,13,5,2,5,16,121
2024-03-01 23:30:00,30,21,4,15,3,4,7,6,2,22,5,2,6,28,155
2024-03-01 23:40:00,27,18,4,14,2,5,3,6,0,14,4,0,4,17,118
2024-03-01 23:50:00,31,25,3,6,1,4,2,4,1,12,3,1,2,11,106
2024-03-02 00:00:00,23,21,6,11,0,5,0,3,2,12,4,2,7,15,111
2024-03-02 00:10:00,17,17,6,5,0,6,1,2,2,21,4,2,7,20,110
2024-03-02 00:20:00,23,20,1,0,1,3,2,1,1,18,4,1,5,16,96
2024-03-02 00:30:00,19,14,1,0,1,2,1,3,1,14,2,1,3,16,78
2024-03-02 00:40:00,21,16,4,3,1,2,3,5,1,14,2,0,2,13,87
2024-03-02 00:50:00,14,12,2,2,1,1,2,3,0,13,1,0,1,14,66
2024-03-02 01:00:00,21,19,2,9,0,4,0,2,0,14,2,0,4,16,93
2024-03-02 01:10:00,17,15,1,8,0,1,0,0,0,12,1,0,1,14,70
2024-03-02 01:20:00,15,14,0,7,1,1,3,1,1,12,1,1,1,15,73
2024-03-02 01:30:00,16,14,2,12,3,5,5,4,0,11,4,0,5,12,93
2024-03-02 01:40:00,5,5,2,2,0,3,0,3,1,12,3,1,4,9,50
2024-03-02 01:50:00,15,12,2,9,0,1,0,1,0,6,1,1,2,7,57
2024-03-02 02:00:00,11,9,0,0,0,2,0,2,0,4,1,0,0,5,34
2024-03-02 02:10:00,14,14,0,1,1,0,3,1,2,9,3,4,3,10,65
2024-03-02 02:20:00,15,15,3,9,0,2,0,2,0,10,2,0,3,13,74
2024-03-02 02:30:00,8,8,1,1,0,1,0,2,0,4,0,0,0,4,29
2024-03-02 02:40:00,10,10,2,2,0,2,0,2,0,12,2,0,2,13,57
2024-03-02 02:50:00,9,9,1,0,0,0,0,0,0,13,3,0,3,12,50
2024-03-02 03:00:00,9,9,1,2,0,1,0,0,1,3,0,1,0,5,32
2024-03-02 03:10:00,4,4,0,0,0,0,0,0,0,3,0,0,0,3,14
2024-03-02 03:20:00,6,6,1,3,0,0,0,0,1,7,2,1,2,9,38
2024-03-02 03:30:00,5,5,1,6,0,1,0,0,1,5,3,1,3,7,38
2024-03-02 03:40:00,10,9,1,14,0,0,0,0,0,9,2,0,1,10,56
2024-03-02 03:50:00,5,4,0,0,0,1,0,1,0,8,0,0,0,10,29
