datetime,V32Z,V2Z,V8Z,Total
2024-03-03 09:50:00,7,10,13,30
2024-03-03 10:00:00,2,16,16,34
2024-03-03 10:10:00,4,9,21,34
2024-03-03 10:20:00,5,16,19,40
2024-03-03 10:30:00,3,17,12,32
2024-03-03 10:40:00,5,11,26,42
2024-03-03 10:50:00,3,11,20,34
2024-03-03 11:00:00,6,17,19,42
2024-03-03 11:10:00,10,15,17,42
2024-03-03 11:20:00,7,15,20,42
2024-03-03 11:30:00,6,18,38,62
2024-03-03 11:40:00,6,24,27,57
2024-03-03 11:50:00,10,16,25,51
2024-03-03 12:00:00,2,19,25,46
2024-03-03 12:10:00,10,26,25,61
2024-03-03 12:20:00,7,25,15,47
2024-03-03 12:30:00,6,26,33,65
2024-03-03 12:40:00,6,20,22,48
2024-03-03 12:50:00,8,29,22,59
2024-03-03 13:00:00,7,24,16,47
2024-03-03 13:10:00,7,24,23,54
2024-03-03 13:20:00,6,29,16,51
2024-03-03 13:30:00,7,17,30,54
2024-03-03 13:40:00,5,17,19,41
2024-03-03 13:50:00,6,25,29,60
2024-03-03 14:00:00,8,17,23,48
2024-03-03 14:10:00,6,26,22,54
2024-03-03 14:20:00,11,18,19,48
2024-03-03 14:30:00,17,18,22,57
2024-03-03 14:40:00,6,22,27,55
2024-03-03 14:50:00,10,15,25,50
2024-03-03 15:00:00,9,13,25,47
2024-03-03 15:10:00,8,17,22,47
2024-03-03 15:20:00,12,22,24,58
2024-03-03 15:30:00,11,20,25,56
2024-03-03 15:40:00,10,20,23,53
2024-03-03 15:50:00,11,23,22,56
2024-03-03 16:00:00,6,17,18,41
2024-03-03 16:10:00,16,24,29,69
2024-03-03 16:20:00,13,16,21,50
2024-03-03 16:30:00,11,29,31,71
2024-03-03 16:40:00,12,18,26,56
2024-03-03 16:50:00,10,20,24,54
2024-03-03 17:00:00,9,26,18,53
2024-03-03 17:10:00,9,22,22,53
2024-03-03 17:20:00,6,21,21,48
2024-03-03 17:30:00,7,27,23,57
2024-03-03 17:40:00,8,30,24,62
2024-03-03 17:50:00,9,27,23,59
2024-03-03 18:00:00,4,22,33,59
2024-03-03 18:10:00,3,19,29,51
2024-03-03 18:20:00,4,22,21,47
2024-03-03 18:30:00,2,17,29,48
2024-03-03 18:40:00,4,16,22,42
2024-03-03 18:50:00,5,14,33,52
2024-03-03 19:00:00,4,8,29,41
2024-03-03 19:10:00,2,14,20,36
2024-03-03 19:20:00,0,14,23,37
2024-03-03 19:30:00,3,10,28,41
2024-03-03 19:40:00,2,4,13,19
2024-03-03 19:50:00,1,8,21,30
2024-03-03 20:00:00,1,14,23,38
2024-03-03 20:10:00,1,8,21,30
2024-03-03 20:20:00,3,8,11,22
2024-03-03 20:30:00,1,8,15,24
2024-03-03 20:40:00,1,9,11,21
2024-03-03 20:50:00,1,8,4,13
2024-03-03 21:00:00,3,8,18,29
2024-03-03 21:10:00,0,5,17,22
2024-03-03 21:20:00,0,3,8,11
2024-03-03 21:30:00,0,4,12,16
2024-03-03 21:40:00,2,10,12,24
2024-03-03 21:50:00,1,4,13,18
2024-03-03 22:00:00,0,8,13,21
2024-03-03 22:10:00,0,7,9,16
2024-03-03 22:20:00,0,5,4,9
2024-03-03 22:30:00,0,2,5,7
2024-03-03 22:40:00,1,3,9,13
2024-03-03 22:50:00,1,6,1,8
2024-03-03 23:00:00,1,5,7,13
2024-03-03 23:10:00,0,1,4,5
2024-03-03 23:20:00,1,2,5,8
2024-03-03 23:30:00,0,1,5,6
2024-03-03 23:40:00,0,0,2,2
2024-03-03 23:50:00,0,3,3,6
2024-03-04 00:00:00,0,1,5,6
2024-03-04 00:10:00,0,4,2,6
2024-03-04 00:20:00,0,2,0,2
2024-03-04 00:30:00,0,1,3,4
2024-03-04 00:40:00,0,2,4,6
2024-03-04 00:50:00,0,2,1,3
2024-03-04 01:00:00,0,1,1,2
2024-03-04 01:10:00,0,0,5,5
2024-03-04 01:20:00,0,0,2,2
2024-03-04 01:30:00,0,1,1,2
2024-03-04 01:40:00,0,1,0,1
2024-03-04 01:50:00,0,0,0,0
2024-03-04 02:00:00,0,0,0,0
2024-03-04 02:10:00,0,0,2,2
2024-03-04 02:20:00,0,0,0,0
2024-03-04 02:30:00,0,0,0,0
2024-03-04 02:40:00,0,0,0,0
2024-03-04 02:50:00,0,0,2,2
2024-03-04 03:00:00,0,1,4,5
2024-03-04 03:10:00,0,1,0,1
2024-03-04 03:20:00,0,0,0,0
2024-03-04 03:30:00,0,0,0,0
2024-03-04 03:40:00,0,3,0,3
2024-03-04 03:50:00,0,0,2,2
2024-03-04 04:00:00,0,1,3,4
2024-03-04 04:10:00,0,2,6,8
2024-03-04 04:20:00,0,1,0,1
2024-03-04 04:30:00,0,0,5,5
2024-03-04 04:40:00,0,0,1,1
2024-03-04 04:50:00,0,1,0,1
2024-03-04 05:00:00,0,0,3,3
2024-03-04 05:10:00,0,4,5,9
2024-03-04 05:20:00,0,2,8,10
2024-03-04 05:30:00,0,1,3,4
2024-03-04 05:40:00,1,4,8,13
2024-03-04 05:50:00,0,9,3,12
2024-03-04 06:00:00,2,2,7,11
2024-03-04 06:10:00,0,4,18,22
2024-03-04 06:20:00,1,9,10,20
2024-03-04 06:30:00,0,8,12,20
2024-03-04 06:40:00,1,6,17,24
2024-03-04 06:50:00,2,17,17,36
2024-03-04 07:00:00,2,19,26,47
2024-03-04 07:10:00,5,28,20,53
2024-03-04 07:20:00,18,18,28,64
2024-03-04 07:30:00,8,29,45,82
2024-03-04 07:40:00,15,50,42,107
2024-03-04 07:50:00,5,37,36,78
2024-03-04 08:00:00,6,28,36,70
2024-03-04 08:10:00,6,21,23,50
2024-03-04 08:20:00,10,27,16,53
2024-03-04 08:30:00,8,30,31,69
2024-03-04 08:40:00,3,24,29,56
2024-03-04 08:50:00,3,24,29,56
2024-03-04 09:00:00,2,21,26,49
2024-03-04 09:10:00,4,23,16,43
2024-03-04 09:20:00,6,21,24,51
2024-03-04 09:30:00,2,17,22,41
2024-03-04 09:40:00,8,32,30,70
2024-03-04 09:50:00,5,28,20,53
2024-03-04 10:00:00,3,21,26,50
2024-03-04 10:10:00,6,21,19,46
2024-03-04 10:20:00,2,25,16,43
2024-03-04 10:30:00,5,20,24,49
2024-03-04 10:40:00,5,22,17,44
2024-03-04 10:50:00,1,24,21,46
2024-03-04 11:00:00,3,15,27,45
2024-03-04 11:10:00,5,20,22,47
2024-03-04 11:20:00,13,21,17,51
2024-03-04 11:30:00,6,15,24,45
2024-03-04 11:40:00,6,16,23,45
2024-03-04 11:50:00,5,23,19,47
2024-03-04 12:00:00,2,16,22,40
2024-03-04 12:10:00,1,20,17,38
2024-03-04 12:20:00,9,20,36,65
2024-03-04 12:30:00,4,20,27,51
2024-03-04 12:40:00,5,14,34,53
2024-03-04 12:50:00,7,18,26,51
2024-03-04 13:00:00,6,19,26,51
2024-03-04 13:10:00,22,26,11,59
2024-03-04 13:20:00,11,28,30,69
2024-03-04 13:30:00,4,27,27,58
2024-03-04 13:40:00,3,21,34,58
2024-03-04 13:50:00,8,24,23,55
2024-03-04 14:00:00,11,18,17,46
2024-03-04 14:10:00,6,21,32,59
2024-03-04 14:20:00,3,22,26,51
2024-03-04 14:30:00,10,22,26,58
2024-03-04 14:40:00,6,28,22,56
2024-03-04 14:50:00,10,15,37,62
2024-03-04 15:00:00,12,18,29,59
2024-03-04 15:10:00,4,25,38,67
2024-03-04 15:20:00,4,24,28,56
2024-03-04 15:30:00,9,24,28,61
2024-03-04 15:40:00,6,26,39,71
2024-03-04 15:50:00,8,22,30,60
2024-03-04 16:00:00,4,33,42,79
2024-03-04 16:10:00,6,23,37,66
2024-03-04 16:20:00,13,19,31,63
2024-03-04 16:30:00,3,37,25,65
2024-03-04 16:40:00,9,26,45,80
2024-03-04 16:50:00,7,17,33,57
2024-03-04 17:00:00,8,26,24,58
2024-03-04 17:10:00,6,26,40,72
2024-03-04 17:20:00,5,25,35,65
2024-03-04 17:30:00,6,34,45,85
2024-03-04 17:40:00,6,22,47,75
2024-03-04 17:50:00,6,44,37,87
2024-03-04 18:00:00,10,31,50,91
2024-03-04 18:10:00,9,17,49,75
2024-03-04 18:20:00,4,12,62,78
2024-03-04 18:30:00,6,21,40,67
2024-03-04 18:40:00,5,20,43,68
2024-03-04 18:50:00,8,13,52,73
2024-03-04 19:00:00,4,20,27,51
2024-03-04 19:10:00,3,17,36,56
2024-03-04 19:20:00,4,16,29,49
2024-03-04 19:30:00,2,10,39,51
2024-03-04 19:40:00,5,10,21,36
2024-03-04 19:50:00,4,9,32,45
2024-03-04 20:00:00,2,12,25,39
2024-03-04 20:10:00,2,7,21,30
2024-03-04 20:20:00,1,12,11,24
2024-03-04 20:30:00,0,13,17,30
2024-03-04 20:40:00,1,9,21,31
2024-03-04 20:50:00,2,12,13,27
2024-03-04 21:00:00,2,8,13,23
2024-03-04 21:10:00,5,9,10,24
2024-03-04 21:20:00,1,9,10,20
2024-03-04 21:30:00,1,3,18,22
2024-03-04 21:40:00,1,8,10,19
2024-03-04 21:50:00,1,7,11,19
2024-03-04 22:00:00,0,4,10,14
2024-03-04 22:10:00,1,6,13,20
2024-03-04 22:20:00,1,10,8,19
2024-03-04 22:30:00,1,6,13,20
2024-03-04 22:40:00,3,6,11,20
2024-03-04 22:50:00,0,9,6,15
2024-03-04 23:00:00,1,5,6,12
2024-03-04 23:10:00,1,9,9,19
2024-03-04 23:20:00,0,4,2,6
2024-03-04 23:30:00,0,1,5,6
2024-03-04 23:40:00,0,1,3,4
2024-03-04 23:50:00,0,4,2,6
2024-03-05 00:00:00,0,3,4,7
2024-03-05 00:10:00,0,0,1,1
2024-03-05 00:20:00,0,3,0,3
2024-03-05 00:30:00,0,1,3,4
2024-03-05 00:40:00,0,1,2,3
2024-03-05 00:50:00,1,3,1,5
2024-03-05 01:00:00,0,2,1,3
2024-03-05 01:10:00,0,0,3,3
2024-03-05 01:20:00,0,0,0,0
2024-03-05 01:30:00,0,0,0,0
2024-03-05 01:40:00,0,1,0,1
2024-03-05 01:50:00,0,0,1,1
2024-03-05 02:00:00,0,0,0,0
2024-03-05 02:10:00,0,0,1,1
2024-03-05 02:20:00,0,0,0,0
2024-03-05 02:30:00,0,0,0,0
2024-03-05 02:40:00,0,1,0,1
2024-03-05 02:50:00,1,0,1,2
2024-03-05 03:00:00,0,1,0,1
2024-03-05 03:10:00,0,0,2,2
2024-03-05 03:20:00,0,0,0,0
2024-03-05 03:30:00,0,0,0,0
2024-03-05 03:40:00,0,1,0,1
2024-03-05 03:50:00,0,0,2,2
2024-03-05 04:00:00,0,1,5,6
2024-03-05 04:10:00,0,4,0,4
2024-03-05 04:20:00,0,2,0,2
2024-03-05 04:30:00,0,0,3,3
2024-03-05 04:40:00,0,1,0,1
2024-03-05 04:50:00,0,1,0,1
2024-03-05 05:00:00,0,0,9,9
2024-03-05 05:10:00,0,2,5,7
2024-03-05 05:20:00,1,4,6,11
2024-03-05 05:30:00,1,4,7,12
2024-03-05 05:40:00,0,4,9,13
2024-03-05 05:50:00,1,7,4,12
2024-03-05 06:00:00,0,6,10,16
2024-03-05 06:10:00,2,8,15,25
2024-03-05 06:20:00,2,8,10,20
2024-03-05 06:30:00,1,10,13,24
2024-03-05 06:40:00,0,10,8,18
2024-03-05 06:50:00,2,9,17,28
2024-03-05 07:00:00,2,15,22,39
2024-03-05 07:10:00,5,31,27,63
2024-03-05 07:20:00,12,30,29,71
2024-03-05 07:30:00,12,30,47,89
2024-03-05 07:40:00,17,39,53,109
2024-03-05 07:50:00,5,42,37,84
2024-03-05 08:00:00,7,36,45,88
2024-03-05 08:10:00,5,28,26,59
2024-03-05 08:20:00,7,27,30,64
2024-03-05 08:30:00,2,37,28,67
2024-03-05 08:40:00,7,24,24,55
2024-03-05 08:50:00,7,25,22,54
2024-03-05 09:00:00,6,25,20,51
2024-03-05 09:10:00,1,24,22,47
2024-03-05 09:20:00,4,15,18,37
2024-03-05 09:30:00,8,22,28,58
2024-03-05 09:40:00,5,24,20,49
2024-03-05 09:50:00,2,25,27,54
2024-03-05 10:00:00,8,26,24,58
2024-03-05 10:10:00,3,18,21,42
2024-03-05 10:20:00,4,16,29,49
2024-03-05 10:30:00,1,15,16,32
2024-03-05 10:40:00,3,23,21,47
2024-03-05 10:50:00,2,19,21,42
2024-03-05 11:00:00,5,28,26,59
2024-03-05 11:10:00,6,19,19,44
2024-03-05 11:20:00,8,18,24,50
2024-03-05 11:30:00,3,21,22,46
2024-03-05 11:40:00,5,31,34,70
2024-03-05 11:50:00,9,52,25,86
2024-03-05 12:00:00,3,31,23,57
2024-03-05 12:10:00,5,19,27,51
2024-03-05 12:20:00,9,23,28,60
2024-03-05 12:30:00,6,27,28,61
2024-03-05 12:40:00,9,16,19,44
2024-03-05 12:50:00,4,26,22,52
2024-03-05 13:00:00,7,18,29,54
2024-03-05 13:10:00,14,31,21,66
2024-03-05 13:20:00,7,26,20,53
2024-03-05 13:30:00,5,26,39,70
2024-03-05 13:40:00,7,22,28,57
2024-03-05 13:50:00,8,21,27,56
2024-03-05 14:00:00,12,23,28,63
2024-03-05 14:10:00,7,22,25,54
2024-03-05 14:20:00,7,27,29,63
2024-03-05 14:30:00,5,18,33,56
2024-03-05 14:40:00,7,15,29,51
2024-03-05 14:50:00,11,14,28,53
2024-03-05 15:00:00,7,26,31,64
2024-03-05 15:10:00,5,22,39,66
2024-03-05 15:20:00,8,23,36,67
