datetime,D21Z,D22Z,V23Z,V24Z,D31Z,V32Z,D33Z,D51Z,D52Z,V53Z,D61Z,D62Z,V63Z,V64Z,D81Z,D82Z,V83Z,V84Z,D91Z,V92Z,D111Z,D112Z,V113Z,V114Z,D121Z,V122Z,Total
2024-03-01 11:00:00,10,73,12,10,23,9,19,24,22,18,21,0,9,6,0,70,26,23,17,5,8,24,7,5,5,0,446
2024-03-01 11:10:00,7,62,21,16,18,10,20,22,22,13,16,1,13,6,0,77,29,39,20,12,4,27,2,11,4,0,472
2024-03-01 11:20:00,8,65,10,18,16,6,13,22,24,52,24,0,14,3,0,71,27,36,15,10,4,33,3,10,6,0,490
2024-03-01 11:30:00,6,52,7,20,14,4,5,15,114,9,22,0,10,8,0,91,39,32,23,13,5,23,6,7,7,0,532
2024-03-01 11:40:00,12,68,7,9,10,7,11,20,23,20,23,0,15,7,0,75,35,30,16,8,4,27,5,11,5,0,448
2024-03-01 11:50:00,8,37,4,24,13,6,14,26,27,15,23,0,16,8,0,83,27,37,17,11,7,25,7,6,8,0,449
2024-03-01 12:00:00,5,37,2,12,10,9,13,29,29,15,23,0,16,2,0,82,28,34,16,10,8,28,13,7,6,0,434
2024-03-01 12:10:00,5,37,4,16,18,11,11,28,27,10,33,0,15,8,0,72,18,34,68,15,9,35,10,8,3,0,495
2024-03-01 12:20:00,4,52,4,14,7,7,6,27,28,18,26,0,12,3,0,73,30,28,22,8,10,33,11,8,6,0,437
2024-03-01 12:30:00,7,40,8,20,9,7,7,34,34,19,29,0,7,2,0,95,31,41,24,11,12,20,10,8,12,0,487
2024-03-01 12:40:00,8,33,16,16,15,13,11,39,210,14,32,0,14,11,0,77,31,25,17,9,12,29,9,6,10,0,657
2024-03-01 12:50:00,13,59,12,17,21,9,15,29,26,13,24,0,11,4,0,88,30,29,18,8,9,29,15,5,8,0,492
2024-03-01 13:00:00,10,79,8,18,17,9,10,22,21,12,30,0,13,4,0,88,41,23,116,10,9,20,10,8,8,0,586
2024-03-01 13:10:00,18,66,9,18,21,11,31,23,25,15,34,0,12,9,0,79,30,21,16,4,4,31,11,7,5,0,500
2024-03-01 13:20:00,17,73,8,16,59,12,16,30,25,14,25,0,13,10,0,86,29,21,30,8,6,27,10,6,3,0,544
2024-03-01 13:30:00,11,70,12,8,13,8,11,24,24,20,36,0,5,4,0,88,36,29,55,10,10,35,8,8,9,0,534
2024-03-01 13:40:00,9,51,7,11,10,5,9,24,21,17,29,1,17,5,0,78,39,19,14,7,5,28,9,8,4,0,427
2024-03-01 13:50:00,9,76,9,11,26,7,24,20,34,15,17,0,8,2,0,86,32,31,34,12,12,30,12,6,7,0,520
2024-03-01 14:00:00,7,71,15,17,13,7,12,17,20,15,24,0,12,4,0,81,34,27,14,15,8,33,11,7,4,0,468
2024-03-01 14:10:00,11,78,12,5,15,8,14,29,29,10,34,0,14,3,0,85,32,26,14,11,10,32,14,6,6,0,498
2024-03-01 14:20:00,17,71,9,16,17,14,8,20,21,12,20,0,15,2,0,82,27,27,22,9,8,24,12,6,1,0,460
2024-03-01 14:30:00,16,76,16,14,17,12,10,19,20,12,30,1,12,6,0,77,29,36,12,6,10,23,8,7,7,0,476
