datetime,D11Z,D12Z,D21Z,D22Z,D52Z,D81Z,D111Z,D112Z,D113Z,D114Z,Total
2024-03-02 05:10:00,3,4,4,7,5,1,4,5,4,4,41
2024-03-02 05:20:00,1,3,8,8,3,2,9,10,10,8,62
2024-03-02 05:30:00,3,3,5,7,12,1,13,7,11,3,65
2024-03-02 05:40:00,3,5,6,11,12,1,6,8,6,6,64
2024-03-02 05:50:00,6,9,6,8,10,0,9,5,9,2,64
2024-03-02 06:00:00,4,3,5,8,7,0,3,4,3,1,38
2024-03-02 06:10:00,6,8,9,10,8,0,11,9,12,9,82
2024-03-02 06:20:00,2,4,9,11,6,0,7,9,7,6,61
2024-03-02 06:30:00,5,5,7,12,10,1,12,9,12,5,78
2024-03-02 06:40:00,2,3,5,9,16,1,4,13,3,12,68
2024-03-02 06:50:00,4,5,7,10,10,2,6,7,6,6,63
2024-03-02 07:00:00,2,3,6,7,13,2,7,8,7,3,58
2024-03-02 07:10:00,3,4,7,12,10,4,7,15,7,14,83
2024-03-02 07:20:00,9,11,6,16,10,1,10,9,10,7,89
2024-03-02 07:30:00,7,8,7,15,17,3,9,10,9,10,95
2024-03-02 07:40:00,4,8,11,15,12,7,19,11,17,11,115
2024-03-02 07:50:00,10,12,11,20,16,5,12,15,12,15,128
2024-03-02 08:00:00,5,6,7,16,10,2,9,16,11,16,98
2024-03-02 08:10:00,10,11,15,23,17,7,19,14,19,12,147
2024-03-02 08:20:00,7,8,9,14,10,3,11,13,11,10,96
2024-03-02 08:30:00,12,17,16,27,18,3,22,20,22,19,176
2024-03-02 08:40:00,7,8,14,29,36,6,19,26,20,24,189
2024-03-02 08:50:00,13,14,12,28,24,2,16,22,18,21,170
2024-03-02 09:00:00,11,12,17,29,19,4,19,15,21,16,163
2024-03-02 09:10:00,17,19,13,28,30,4,24,23,24,22,204
2024-03-02 09:20:00,14,18,11,27,27,9,25,30,18,29,208
2024-03-02 09:30:00,10,11,10,21,24,3,30,20,32,18,179
2024-03-02 09:40:00,17,18,15,27,30,8,21,28,22,27,213
2024-03-02 09:50:00,16,21,16,47,38,13,36,33,34,36,290
2024-03-02 10:00:00,20,20,18,35,21,6,26,24,18,29,217
2024-03-02 10:10:00,22,26,16,38,31,12,26,27,14,26,238
2024-03-02 10:20:00,19,20,17,36,36,6,27,28,23,28,240
2024-03-02 10:30:00,21,25,15,38,24,8,24,29,25,28,237
2024-03-02 10:40:00,20,21,22,54,27,3,26,28,29,26,256
2024-03-02 10:50:00,20,25,22,45,44,3,40,30,38,32,299
2024-03-02 11:00:00,22,25,22,43,42,8,27,32,25,33,279
2024-03-02 11:10:00,26,26,18,38,34,10,35,26,36,25,274
2024-03-02 11:20:00,31,34,19,46,44,8,29,36,31,34,312
2024-03-02 11:30:00,24,13,28,40,46,6,31,27,29,32,276
2024-03-02 11:40:00,23,23,16,33,43,2,33,27,33,27,260
2024-03-02 11:50:00,25,26,16,41,29,9,27,28,30,30,261
2024-03-02 12:00:00,31,36,24,52,44,7,31,33,28,34,320
2024-03-02 12:10:00,24,27,17,42,68,8,36,37,38,42,339
2024-03-02 12:20:00,28,32,18,46,45,4,33,37,33,36,312
2024-03-02 12:30:00,43,45,18,49,37,4,32,28,32,28,316
2024-03-02 12:40:00,36,41,23,56,53,10,30,21,30,21,321
2024-03-02 12:50:00,28,30,20,49,46,7,39,42,38,47,346
2024-03-02 13:00:00,36,40,20,61,41,10,39,36,39,30,352
2024-03-02 13:10:00,27,33,23,46,48,4,35,25,33,31,305
2024-03-02 13:20:00,43,44,19,53,54,11,36,30,36,25,351
2024-03-02 13:30:00,29,30,14,40,44,7,44,35,45,36,324
2024-03-02 13:40:00,32,37,18,48,42,6,45,25,47,29,329
2024-03-02 13:50:00,22,27,15,39,43,6,40,36,37,39,304
2024-03-02 14:00:00,27,28,27,48,41,7,35,27,37,29,306
2024-03-02 14:10:00,33,37,23,48,65,6,42,35,46,39,374
2024-03-02 14:20:00,33,36,22,54,52,6,25,41,23,43,335
2024-03-02 14:30:00,37,39,20,52,47,6,34,34,35,31,335
2024-03-02 14:40:00,26,31,13,37,37,6,38,22,38,22,270
2024-03-02 14:50:00,24,24,17,40,42,8,31,37,34,36,293
2024-03-02 15:00:00,34,34,27,53,54,4,38,26,39,27,336
2024-03-02 15:10:00,37,39,23,49,50,9,38,34,40,34,353
2024-03-02 15:20:00,26,29,14,41,39,5,26,25,27,26,258
2024-03-02 15:30:00,32,32,19,46,51,6,30,35,29,37,317
2024-03-02 15:40:00,22,24,19,36,42,3,25,20,25,17,233
2024-03-02 15:50:00,26,25,16,43,35,9,21,27,23,25,250
2024-03-02 16:00:00,15,20,20,32,44,2,24,20,26,22,225
2024-03-02 16:10:00,30,32,23,47,39,10,34,27,33,26,301
2024-03-02 16:20:00,23,24,12,30,38,10,28,17,29,17,228
2024-03-02 16:30:00,24,19,13,33,33,5,20,24,26,24,221
2024-03-02 16:40:00,25,27,22,45,35,5,26,22,29,21,257
2024-03-02 16:50:00,30,33,15,53,42,5,27,24,30,24,283
2024-03-02 17:00:00,25,27,13,37,45,9,33,22,32,24,267
2024-03-02 17:10:00,24,28,17,38,46,9,27,24,26,26,265
2024-03-02 17:20:00,25,25,18,39,43,6,40,30,38,33,297
2024-03-02 17:30:00,37,36,22,54,38,5,22,35,23,35,307
2024-03-02 17:40:00,27,28,22,45,44,6,35,21,36,20,284
2024-03-02 17:50:00,32,34,16,43,34,2,37,17,40,23,278
2024-03-02 18:00:00,16,20,18,34,43,7,30,32,33,31,264
2024-03-02 18:10:00,16,17,17,38,50,10,40,31,40,32,291
2024-03-02 18:20:00,24,25,11,30,55,9,37,23,40,24,278
2024-03-02 18:30:00,28,30,22,45,61,8,37,19,36,22,308
2024-03-02 18:40:00,16,20,18,44,49,4,29,25,29,26,260
2024-03-02 18:50:00,22,24,23,46,46,9,41,25,43,26,305
2024-03-02 19:00:00,33,38,16,48,43,6,22,14,22,14,256
2024-03-02 19:10:00,27,28,22,41,41,2,28,26,30,28,273
2024-03-02 19:20:00,24,23,24,36,29,3,29,16,31,17,232
2024-03-02 19:30:00,17,17,18,32,40,5,26,18,19,19,211
2024-03-02 19:40:00,20,24,11,32,40,6,22,18,26,21,220
2024-03-02 19:50:00,24,28,16,36,31,5,24,18,28,18,228
2024-03-02 20:00:00,15,16,12,24,25,3,18,13,24,16,166
2024-03-02 20:10:00,19,20,16,33,23,5,22,16,22,12,188
2024-03-02 20:20:00,19,19,14,24,25,5,14,10,15,10,155
2024-03-02 20:30:00,12,15,18,30,31,2,21,16,22,12,179
2024-03-02 20:40:00,9,9,11,18,30,3,16,15,17,14,142
2024-03-02 20:50:00,8,7,12,16,23,4,15,15,15,15,130
2024-03-02 21:00:00,10,14,8,20,27,1,21,20,17,20,158
2024-03-02 21:10:00,11,9,13,21,26,7,22,16,14,13,152
2024-03-02 21:20:00,7,7,13,20,29,2,11,13,8,11,121
2024-03-02 21:30:00,9,11,15,21,22,5,13,13,11,12,132
2024-03-02 21:40:00,9,7,6,15,25,3,16,17,15,15,128
2024-03-02 21:50:00,7,8,6,16,38,0,16,16,14,17,138
2024-03-02 22:00:00,8,13,9,19,28,2,9,7,9,8,112
2024-03-02 22:10:00,11,10,10,18,22,2,19,16,16,15,139
2024-03-02 22:20:00,6,4,14,18,29,1,19,10,17,10,128
2024-03-02 22:30:00,12,14,13,23,30,4,19,14,20,12,161
2024-03-02 22:40:00,8,8,6,11,21,4,9,9,9,10,95
2024-03-02 22:50:00,5,6,8,13,31,2,10,13,10,9,107
2024-03-02 23:00:00,6,8,10,14,19,1,9,16,8,16,107
2024-03-02 23:10:00,10,11,9,18,17,1,14,14,5,15,114
2024-03-02 23:20:00,5,8,12,16,10,0,10,10,9,6,86
2024-03-02 23:30:00,6,8,10,14,15,1,11,4,5,4,78
2024-03-02 23:40:00,6,6,8,13,12,3,11,16,8,13,96
