datetime,D11Z,D12Z,D13Z,D14Z,V15Z,V16Z,V17Z,D21Z,D22Z,D23Z,D24Z,V26Z,V27Z,V28Z,V29Z,D31Z,D32Z,D33Z,D34Z,V36Z,V37Z,V38Z,V39Z,V40Z,V41Z,V42Z,D43Z,V45Z,V46Z,V47Z,V48Z,Total
2024-03-01 11:20:00,5,30,24,8,11,16,8,6,39,22,20,13,17,18,13,12,27,20,24,11,15,14,16,0,25,21,8,15,21,18,8,505
2024-03-01 11:30:00,2,39,28,8,12,23,5,11,29,23,14,20,14,17,11,14,26,22,10,12,17,14,8,0,27,22,7,11,20,16,9,491
2024-03-01 11:40:00,9,28,14,12,14,9,8,7,38,30,17,9,17,22,11,6,23,20,32,7,15,15,62,0,30,24,14,9,19,15,13,549
2024-03-01 11:50:00,8,39,31,17,7,19,13,11,38,27,22,12,23,17,12,12,27,20,16,10,18,13,13,0,29,27,18,17,19,20,14,569
2024-03-01 12:00:00,6,31,17,14,12,17,13,6,40,32,24,13,22,22,12,13,24,15,14,11,16,9,11,0,25,19,10,9,15,26,11,509
2024-03-01 12:10:00,12,40,29,12,13,15,13,14,32,19,21,17,20,22,11,17,26,20,20,9,23,15,17,0,38,25,10,14,29,12,8,573
2024-03-01 12:20:00,6,34,15,7,16,9,8,14,39,23,28,10,16,18,14,21,27,20,12,18,15,14,11,0,27,19,8,22,21,18,8,518
2024-03-01 12:30:00,7,38,27,11,21,17,10,12,40,22,22,14,20,16,15,24,21,31,26,12,15,24,13,0,30,28,16,11,16,15,16,590
2024-03-01 12:40:00,4,36,15,20,10,9,12,7,32,23,20,15,23,20,14,9,23,19,22,6,18,16,15,0,32,19,11,10,22,15,12,509
2024-03-01 12:50:00,7,42,21,15,13,14,9,6,40,28,22,6,27,17,13,13,18,22,28,11,13,12,10,0,28,20,13,9,22,15,15,529
2024-03-01 13:00:00,6,35,25,21,14,21,11,8,38,29,20,8,28,21,15,15,30,17,21,13,21,13,13,0,38,22,18,5,26,16,12,580
2024-03-01 13:10:00,8,41,28,25,17,13,16,13,38,24,12,17,32,20,10,12,29,18,23,8,23,21,9,0,45,23,12,11,21,12,9,590
2024-03-01 13:20:00,8,79,33,28,12,15,9,6,38,24,16,11,22,16,11,17,29,19,24,18,22,15,13,0,35,24,14,14,25,21,17,635
2024-03-01 13:30:00,8,39,22,30,11,10,8,5,51,23,23,7,27,17,12,12,20,19,21,10,10,12,16,0,34,26,17,12,24,18,10,554
2024-03-01 13:40:00,4,68,24,13,12,16,12,9,39,22,20,18,25,22,10,15,18,19,20,12,19,12,13,0,38,28,19,20,29,48,16,640
2024-03-01 13:50:00,3,36,27,19,18,14,10,10,40,30,20,11,21,22,11,11,24,26,18,9,14,20,15,0,38,22,14,13,25,13,11,565
2024-03-01 14:00:00,8,38,28,20,17,16,8,6,38,20,21,9,28,15,13,13,13,14,21,6,13,13,14,0,32,23,19,11,26,20,11,534
2024-03-01 14:10:00,2,44,21,16,22,15,13,7,43,25,10,10,27,22,10,13,25,24,15,10,22,19,10,0,48,30,11,18,30,19,12,593
2024-03-01 14:20:00,7,43,28,30,21,14,13,13,37,28,15,11,22,23,11,17,26,19,17,9,16,16,13,0,38,32,18,8,19,23,15,602
2024-03-01 14:30:00,7,38,23,24,16,21,21,17,29,24,13,16,21,28,14,10,30,19,19,6,15,15,14,0,37,29,11,17,21,22,6,583
2024-03-01 14:40:00,7,45,25,27,18,17,13,12,37,17,12,11,22,22,10,15,25,32,23,14,16,22,15,0,40,24,14,10,21,16,15,597
2024-03-01 14:50:00,3,62,29,28,16,18,12,14,39,24,16,12,23,17,11,14,27,30,28,8,18,21,10,0,43,25,13,5,17,19,11,613
2024-03-01 15:00:00,10,43,28,25,16,12,16,7,42,29,19,9,20,18,12,17,30,29,17,14,15,15,10,0,26,28,10,14,18,17,5,571
