datetime,D11Z,D12Z,D21Z,D22Z,D23Z,D31Z,D32Z,Total
2024-03-02 18:20:00,36,35,58,31,0,31,45,236
2024-03-02 18:30:00,28,37,64,30,0,51,52,262
2024-03-02 18:40:00,29,38,43,30,0,55,51,246
2024-03-02 18:50:00,31,31,42,31,0,64,54,253
2024-03-02 19:00:00,29,24,46,23,0,41,37,200
2024-03-02 19:10:00,24,33,41,23,0,35,37,193
2024-03-02 19:20:00,30,32,37,22,0,33,30,184
2024-03-02 19:30:00,9,34,28,20,0,54,39,184
2024-03-02 19:40:00,14,47,31,16,0,35,30,173
2024-03-02 19:50:00,15,47,36,5,0,32,30,165
2024-03-02 20:00:00,11,37,30,16,0,42,36,172
2024-03-02 20:10:00,6,28,32,14,0,30,23,133
2024-03-02 20:20:00,9,34,22,16,0,27,25,133
2024-03-02 20:30:00,8,36,18,10,0,34,20,126
2024-03-02 20:40:00,13,42,20,11,0,20,25,131
2024-03-02 20:50:00,9,28,19,17,0,29,22,124
2024-03-02 21:00:00,9,28,27,15,0,32,30,141
2024-03-02 21:10:00,16,28,16,10,0,20,16,106
2024-03-02 21:20:00,8,35,21,18,0,24,35,141
2024-03-02 21:30:00,18,31,18,12,0,22,17,118
2024-03-02 21:40:00,8,29,17,15,0,17,23,109
2024-03-02 21:50:00,10,34,18,9,0,24,14,109
2024-03-02 22:00:00,11,30,20,12,0,25,23,121
2024-03-02 22:10:00,9,32,30,14,0,23,21,129
2024-03-02 22:20:00,20,37,21,15,0,17,26,136
2024-03-02 22:30:00,11,34,15,15,0,20,31,126
2024-03-02 22:40:00,18,33,19,19,0,19,13,121
2024-03-02 22:50:00,10,24,14,10,0,21,19,98
2024-03-02 23:00:00,19,28,12,9,0,15,15,98
2024-03-02 23:10:00,10,21,14,17,0,17,16,95
2024-03-02 23:20:00,12,23,23,9,0,6,5,78
2024-03-02 23:30:00,12,20,15,10,0,15,7,79
2024-03-02 23:40:00,18,27,18,11,0,14,13,101
2024-03-02 23:50:00,13,23,9,7,0,14,15,81
2024-03-03 00:00:00,11,22,12,9,0,12,13,79
2024-03-03 00:10:00,16,30,11,7,0,6,13,83
2024-03-03 00:20:00,11,15,4,3,0,10,7,50
2024-03-03 00:30:00,10,24,9,9,0,14,12,78
2024-03-03 00:40:00,9,14,4,3,0,7,2,39
2024-03-03 00:50:00,5,6,6,2,0,7,8,34
2024-03-03 01:00:00,13,20,4,5,0,8,3,53
2024-03-03 01:10:00,12,20,15,5,0,7,4,63
2024-03-03 01:20:00,6,16,8,8,0,8,6,52
2024-03-03 01:30:00,6,14,5,4,0,5,4,38
2024-03-03 01:40:00,6,9,5,2,0,7,2,31
2024-03-03 01:50:00,6,15,2,1,0,8,7,39
2024-03-03 02:00:00,7,12,5,3,0,3,2,32
2024-03-03 02:10:00,8,9,6,2,0,5,5,35
2024-03-03 02:20:00,8,12,3,0,0,3,4,30
2024-03-03 02:30:00,12,10,4,7,0,5,6,44
2024-03-03 02:40:00,2,4,3,0,0,1,0,10
2024-03-03 02:50:00,10,5,5,3,0,1,3,27
2024-03-03 03:00:00,1,8,3,1,0,3,3,19
2024-03-03 03:10:00,5,8,2,0,0,4,1,20
2024-03-03 03:20:00,5,9,3,2,0,2,0,21
2024-03-03 03:30:00,4,9,3,2,0,2,3,23
2024-03-03 03:40:00,3,5,0,0,0,3,1,12
2024-03-03 03:50:00,4,5,3,1,0,3,2,18
2024-03-03 04:00:00,0,0,2,2,0,3,1,8
2024-03-03 04:10:00,6,5,3,3,0,1,1,19
2024-03-03 04:20:00,6,7,4,0,0,2,1,20
2024-03-03 04:30:00,3,5,1,0,0,1,0,10
2024-03-03 04:40:00,4,5,2,1,0,7,2,21
2024-03-03 04:50:00,4,3,6,0,0,6,0,19
2024-03-03 05:00:00,4,5,4,0,0,3,0,16
2024-03-03 05:10:00,4,5,4,2,0,3,2,20
2024-03-03 05:20:00,6,4,5,0,0,10,2,27
2024-03-03 05:30:00,7,12,3,1,0,10,4,37
2024-03-03 05:40:00,5,9,1,4,0,9,2,30
2024-03-03 05:50:00,6,8,3,0,0,4,2,23
2024-03-03 06:00:00,5,8,1,3,0,9,5,31
2024-03-03 06:10:00,4,14,2,0,0,6,3,29
2024-03-03 06:20:00,0,2,6,2,0,4,1,15
2024-03-03 06:30:00,2,6,2,3,0,7,2,22
2024-03-03 06:40:00,2,12,1,0,0,7,3,25
2024-03-03 06:50:00,3,9,5,1,0,3,5,26
2024-03-03 07:00:00,1,10,4,0,0,4,8,27
2024-03-03 07:10:00,1,8,3,1,0,1,4,18
2024-03-03 07:20:00,0,3,5,1,0,1,3,13
2024-03-03 07:30:00,1,11,1,2,0,8,11,34
2024-03-03 07:40:00,0,4,6,2,0,4,5,21
2024-03-03 07:50:00,1,10,4,2,0,7,12,36
2024-03-03 08:00:00,3,9,6,2,0,9,14,43
2024-03-03 08:10:00,4,11,8,5,0,7,12,47
2024-03-03 08:20:00,3,12,13,0,0,7,4,39
2024-03-03 08:30:00,2,5,13,5,0,10,7,42
2024-03-03 08:40:00,1,11,13,3,0,7,12,47
2024-03-03 08:50:00,1,14,16,5,0,16,16,68
2024-03-03 09:00:00,1,15,14,7,0,14,17,68
2024-03-03 09:10:00,5,19,13,8,0,13,19,77
2024-03-03 09:20:00,8,34,20,9,0,15,34,120
