datetime,V21Z,V22Z,V81Z,V321Z,Total
2024-03-02 23:10:00,34,22,24,1,81
2024-03-02 23:20:00,19,27,22,0,68
2024-03-02 23:30:00,22,31,18,0,71
2024-03-02 23:40:00,27,27,28,0,82
2024-03-02 23:50:00,44,28,25,0,97
2024-03-03 00:00:00,30,25,29,0,84
2024-03-03 00:10:00,25,22,19,0,66
2024-03-03 00:20:00,31,20,17,0,68
2024-03-03 00:30:00,19,19,16,0,54
2024-03-03 00:40:00,17,31,29,0,77
2024-03-03 00:50:00,9,27,27,0,63
2024-03-03 01:00:00,24,13,18,0,55
2024-03-03 01:10:00,18,19,15,0,52
2024-03-03 01:20:00,22,11,10,0,43
2024-03-03 01:30:00,6,19,16,0,41
2024-03-03 01:40:00,16,8,2,0,26
2024-03-03 01:50:00,19,4,5,0,28
2024-03-03 02:00:00,12,18,14,0,44
2024-03-03 02:10:00,3,3,3,0,9
2024-03-03 02:20:00,9,16,10,0,35
2024-03-03 02:30:00,6,6,6,1,19
2024-03-03 02:40:00,8,8,7,0,23
2024-03-03 02:50:00,6,10,10,0,26
2024-03-03 03:00:00,12,8,7,0,27
2024-03-03 03:10:00,4,13,13,0,30
2024-03-03 03:20:00,10,4,4,0,18
2024-03-03 03:30:00,7,5,4,0,16
2024-03-03 03:40:00,5,9,7,0,21
2024-03-03 03:50:00,4,6,4,0,14
2024-03-03 04:00:00,10,5,3,0,18
2024-03-03 04:10:00,9,4,4,0,17
2024-03-03 04:20:00,8,5,5,0,18
2024-03-03 04:30:00,4,8,7,0,19
2024-03-03 04:40:00,5,4,5,0,14
2024-03-03 04:50:00,2,8,6,0,16
2024-03-03 05:00:00,1,7,7,0,15
2024-03-03 05:10:00,8,5,6,0,19
2024-03-03 05:20:00,10,10,8,0,28
2024-03-03 05:30:00,22,9,7,0,38
2024-03-03 05:40:00,17,6,6,0,29
2024-03-03 05:50:00,5,5,4,0,14
2024-03-03 06:00:00,6,6,3,0,15
2024-03-03 06:10:00,9,17,15,0,41
2024-03-03 06:20:00,3,7,9,0,19
2024-03-03 06:30:00,7,10,12,0,29
2024-03-03 06:40:00,15,3,2,0,20
2024-03-03 06:50:00,7,6,5,0,18
2024-03-03 07:00:00,8,10,9,0,27
2024-03-03 07:10:00,3,7,6,0,16
2024-03-03 07:20:00,6,6,6,0,18
2024-03-03 07:30:00,5,13,11,0,29
2024-03-03 07:40:00,4,12,12,0,28
2024-03-03 07:50:00,9,12,12,0,33
2024-03-03 08:00:00,6,12,12,0,30
2024-03-03 08:10:00,16,11,11,0,38
2024-03-03 08:20:00,16,15,16,0,47
2024-03-03 08:30:00,8,18,17,0,43
2024-03-03 08:40:00,10,17,17,0,44
2024-03-03 08:50:00,18,23,28,0,69
2024-03-03 09:00:00,13,22,24,0,59
2024-03-03 09:10:00,15,28,36,1,80
2024-03-03 09:20:00,20,25,32,0,77
2024-03-03 09:30:00,33,28,37,0,98
2024-03-03 09:40:00,25,42,68,0,135
2024-03-03 09:50:00,29,41,57,0,127
2024-03-03 10:00:00,24,42,49,0,115
2024-03-03 10:10:00,19,40,56,1,116
2024-03-03 10:20:00,21,35,51,1,108
2024-03-03 10:30:00,26,45,59,0,130
2024-03-03 10:40:00,34,41,64,0,139
2024-03-03 10:50:00,32,35,52,0,119
2024-03-03 11:00:00,34,38,46,0,118
2024-03-03 11:10:00,25,33,42,0,100
2024-03-03 11:20:00,31,41,59,0,131
2024-03-03 11:30:00,27,39,60,0,126
2024-03-03 11:40:00,28,38,65,0,131
2024-03-03 11:50:00,39,41,65,2,147
2024-03-03 12:00:00,38,47,59,3,147
2024-03-03 12:10:00,35,57,97,0,189
2024-03-03 12:20:00,41,45,69,0,155
2024-03-03 12:30:00,46,52,77,0,175
2024-03-03 12:40:00,36,44,65,1,146
2024-03-03 12:50:00,40,36,72,3,151
2024-03-03 13:00:00,47,45,81,0,173
2024-03-03 13:10:00,39,55,100,1,195
2024-03-03 13:20:00,39,36,76,1,152
2024-03-03 13:30:00,46,36,59,2,143
2024-03-03 13:40:00,39,50,62,1,152
2024-03-03 13:50:00,39,40,70,1,150
2024-03-03 14:00:00,43,43,81,1,168
2024-03-03 14:10:00,41,45,71,0,157
2024-03-03 14:20:00,38,50,76,1,165
2024-03-03 14:30:00,40,40,75,0,155
2024-03-03 14:40:00,41,42,89,1,173
2024-03-03 14:50:00,38,40,76,2,156
2024-03-03 15:00:00,33,44,68,1,146
2024-03-03 15:10:00,34,55,95,0,184
2024-03-03 15:20:00,37,35,66,2,140
2024-03-03 15:30:00,42,41,56,1,140
2024-03-03 15:40:00,38,37,77,1,153
2024-03-03 15:50:00,39,47,73,2,161
2024-03-03 16:00:00,43,40,58,1,142
2024-03-03 16:10:00,39,36,62,1,138
2024-03-03 16:20:00,30,35,57,3,125
2024-03-03 16:30:00,36,35,64,0,135
2024-03-03 16:40:00,34,46,79,1,160
2024-03-03 16:50:00,43,39,60,1,143
2024-03-03 17:00:00,37,57,88,0,182
2024-03-03 17:10:00,30,40,62,2,134
2024-03-03 17:20:00,46,45,71,4,166
2024-03-03 17:30:00,37,36,67,0,140
2024-03-03 17:40:00,42,45,85,1,173
2024-03-03 17:50:00,30,43,82,0,155
2024-03-03 18:00:00,45,35,68,3,151
2024-03-03 18:10:00,41,37,82,1,161
2024-03-03 18:20:00,37,44,92,1,174
2024-03-03 18:30:00,58,34,65,2,159
2024-03-03 18:40:00,43,48,80,1,172
2024-03-03 18:50:00,47,56,84,1,188
2024-03-03 19:00:00,54,50,59,1,164
2024-03-03 19:10:00,42,42,75,1,160
2024-03-03 19:20:00,62,54,82,0,198
2024-03-03 19:30:00,33,57,67,1,158
2024-03-03 19:40:00,49,49,57,1,156
2024-03-03 19:50:00,43,45,49,0,137
2024-03-03 20:00:00,59,47,50,2,158
2024-03-03 20:10:00,44,42,41,0,127
2024-03-03 20:20:00,33,37,58,0,128
2024-03-03 20:30:00,52,56,48,1,157
2024-03-03 20:40:00,34,30,41,0,105
2024-03-03 20:50:00,33,40,42,0,115
2024-03-03 21:00:00,31,37,39,0,107
2024-03-03 21:10:00,44,41,43,1,129
2024-03-03 21:20:00,30,31,28,1,90
2024-03-03 21:30:00,41,27,29,0,97
2024-03-03 21:40:00,37,24,26,1,88
2024-03-03 21:50:00,24,22,18,0,64
2024-03-03 22:00:00,31,23,19,0,73
2024-03-03 22:10:00,32,26,39,0,97
2024-03-03 22:20:00,24,20,21,0,65
2024-03-03 22:30:00,15,32,30,0,77
2024-03-03 22:40:00,35,17,17,0,69
2024-03-03 22:50:00,28,25,24,0,77
2024-03-03 23:00:00,25,14,22,0,61
2024-03-03 23:10:00,23,11,14,0,48
2024-03-03 23:20:00,18,24,13,0,55
