datetime,D21Z,D22Z,V23Z,V24Z,V51Z,D81Z,V82Z,V111Z,V112Z,Total
2024-03-02 05:20:00,2,0,1,1,9,1,1,0,1,16
2024-03-02 05:30:00,1,0,0,1,14,2,1,0,1,20
2024-03-02 05:40:00,0,1,0,1,11,0,0,0,0,13
2024-03-02 05:50:00,2,1,2,4,16,2,1,0,1,29
2024-03-02 06:00:00,0,5,0,4,24,3,2,0,4,42
2024-03-02 06:10:00,1,1,1,4,17,1,1,0,1,27
2024-03-02 06:20:00,1,0,2,1,16,0,0,0,3,23
2024-03-02 06:30:00,1,2,1,5,16,4,5,0,0,34
2024-03-02 06:40:00,1,0,2,3,20,1,0,0,12,39
2024-03-02 06:50:00,1,2,1,5,19,3,2,0,10,43
2024-03-02 07:00:00,4,2,2,2,14,3,5,0,2,34
2024-03-02 07:10:00,1,1,1,3,15,1,1,0,0,23
2024-03-02 07:20:00,2,2,2,4,22,3,4,0,0,39
2024-03-02 07:30:00,3,3,2,4,15,4,7,0,1,39
2024-03-02 07:40:00,2,2,2,4,15,1,2,0,0,28
2024-03-02 07:50:00,1,4,1,7,15,4,3,0,3,38
2024-03-02 08:00:00,1,4,1,4,22,6,12,0,7,57
2024-03-02 08:10:00,2,1,3,4,22,1,1,0,6,40
2024-03-02 08:20:00,3,2,4,5,27,2,3,0,8,54
2024-03-02 08:30:00,8,4,7,13,28,10,8,0,1,79
2024-03-02 08:40:00,5,7,4,9,15,5,9,0,6,60
2024-03-02 08:50:00,5,4,5,7,20,9,7,0,16,73
2024-03-02 09:00:00,3,7,3,8,30,6,7,0,2,66
2024-03-02 09:10:00,4,9,4,13,25,2,3,0,6,66
2024-03-02 09:20:00,5,10,4,14,30,5,7,3,8,86
2024-03-02 09:30:00,5,8,4,9,26,7,6,1,1,67
2024-03-02 09:40:00,6,16,7,18,30,7,6,0,11,101
2024-03-02 09:50:00,16,13,8,16,30,10,10,0,9,112
2024-03-02 10:00:00,11,17,11,16,26,3,3,0,5,92
2024-03-02 10:10:00,11,10,11,14,23,8,10,14,11,112
2024-03-02 10:20:00,15,14,9,21,22,9,9,5,6,110
2024-03-02 10:30:00,5,14,6,14,28,12,8,12,5,104
2024-03-02 10:40:00,11,9,8,19,21,7,8,8,5,96
2024-03-02 10:50:00,7,11,5,18,25,5,4,21,10,106
2024-03-02 11:00:00,18,11,14,21,26,5,5,26,9,135
2024-03-02 11:10:00,15,15,12,21,23,8,6,12,4,116
2024-03-02 11:20:00,13,12,11,19,22,7,10,14,4,112
2024-03-02 11:30:00,9,15,14,21,32,9,8,6,6,120
2024-03-02 11:40:00,6,25,5,8,17,9,7,1,3,81
2024-03-02 11:50:00,19,20,10,21,15,10,13,4,6,118
2024-03-02 12:00:00,12,16,12,13,28,11,14,3,8,117
2024-03-02 12:10:00,16,27,8,6,32,7,13,0,5,114
2024-03-02 12:20:00,20,27,10,3,28,10,11,0,6,115
2024-03-02 12:30:00,5,22,9,16,30,9,9,1,5,106
2024-03-02 12:40:00,13,21,12,22,25,3,5,0,4,105
2024-03-02 12:50:00,10,21,10,13,25,13,12,0,3,107
2024-03-02 13:00:00,9,10,8,12,30,7,5,0,4,85
2024-03-02 13:10:00,11,14,15,19,31,9,12,0,9,120
2024-03-02 13:20:00,13,27,10,12,21,6,7,0,10,106
2024-03-02 13:30:00,12,19,4,20,23,4,6,0,4,92
2024-03-02 13:40:00,17,22,15,15,21,11,8,0,8,117
2024-03-02 13:50:00,16,26,15,16,29,8,10,0,9,129
2024-03-02 14:00:00,18,26,20,12,31,10,11,0,4,132
2024-03-02 14:10:00,13,17,12,24,25,18,10,0,1,120
2024-03-02 14:20:00,8,19,9,11,27,12,9,0,10,105
2024-03-02 14:30:00,22,49,13,19,22,30,10,0,6,171
2024-03-02 14:40:00,11,20,10,9,23,10,7,0,3,93
