datetime,V21Z,V22Z,D51Z,D81Z,D82Z,D91Z,D41Z,V83Z,V84Z,V92Z,V43Z,V44Z,Total
2024-03-01 22:20:00,0,0,0,25,35,5,0,42,57,28,8,7,207
2024-03-01 22:30:00,0,0,2,28,25,7,0,45,37,15,14,12,185
2024-03-01 22:40:00,0,0,1,24,31,4,0,38,37,21,4,11,171
2024-03-01 22:50:00,0,0,0,40,29,4,0,40,28,18,5,7,171
2024-03-01 23:00:00,0,0,1,25,27,9,0,41,47,29,6,2,187
2024-03-01 23:10:00,0,0,3,28,37,2,0,27,47,23,0,6,173
2024-03-01 23:20:00,0,0,1,26,26,6,0,41,44,21,8,5,178
2024-03-01 23:30:00,0,0,1,26,19,12,0,33,36,24,6,6,163
2024-03-01 23:40:00,0,0,3,25,23,8,0,34,32,25,0,4,154
2024-03-01 23:50:00,0,0,1,21,14,5,0,29,14,21,5,7,117
2024-03-02 00:00:00,0,0,2,16,17,7,0,30,32,16,4,1,125
2024-03-02 00:10:00,0,0,3,18,26,5,0,40,38,23,0,4,157
2024-03-02 00:20:00,0,0,1,14,13,2,0,24,29,16,1,3,103
2024-03-02 00:30:00,0,0,1,17,11,1,0,22,23,10,1,2,88
2024-03-02 00:40:00,0,0,0,6,10,2,0,28,22,10,4,5,87
2024-03-02 00:50:00,0,0,0,8,16,0,0,22,36,16,3,2,103
2024-03-02 01:00:00,0,0,1,14,19,5,0,29,23,15,2,1,109
2024-03-02 01:10:00,0,0,1,3,12,0,0,19,18,12,2,0,67
2024-03-02 01:20:00,0,0,1,12,8,0,0,24,13,9,0,1,68
2024-03-02 01:30:00,0,0,0,9,15,0,0,32,24,21,0,2,103
2024-03-02 01:40:00,0,0,0,6,13,0,0,13,25,12,2,4,75
2024-03-02 01:50:00,0,0,1,2,8,0,0,17,13,9,0,3,53
2024-03-02 02:00:00,0,0,1,8,8,2,0,18,13,6,3,4,63
2024-03-02 02:10:00,0,0,0,5,6,1,0,11,9,5,3,4,44
2024-03-02 02:20:00,0,0,0,4,9,0,0,15,11,7,1,0,47
2024-03-02 02:30:00,0,0,0,7,5,0,0,19,14,5,0,2,52
2024-03-02 02:40:00,0,0,0,7,5,0,0,17,11,7,0,1,48
2024-03-02 02:50:00,0,0,1,11,7,0,0,23,12,8,2,2,66
2024-03-02 03:00:00,0,0,2,7,6,0,0,12,8,6,0,0,41
2024-03-02 03:10:00,0,0,0,7,6,2,0,18,9,8,0,1,51
2024-03-02 03:20:00,0,0,0,5,5,3,0,8,12,6,2,0,41
2024-03-02 03:30:00,0,0,0,2,4,1,0,7,7,5,2,0,28
2024-03-02 03:40:00,0,0,1,2,4,0,0,12,8,5,0,0,32
2024-03-02 03:50:00,0,0,0,4,5,0,0,6,7,5,1,3,31
2024-03-02 04:00:00,0,0,0,5,2,0,0,10,2,4,0,1,24
2024-03-02 04:10:00,0,0,1,6,7,1,0,19,11,8,0,0,53
2024-03-02 04:20:00,0,0,0,2,1,4,0,4,3,2,1,0,17
2024-03-02 04:30:00,0,0,0,2,3,0,0,5,7,3,0,0,20
2024-03-02 04:40:00,0,0,0,5,3,0,0,5,8,3,1,0,25
2024-03-02 04:50:00,0,0,0,6,4,0,0,14,5,3,0,0,32
2024-03-02 05:00:00,0,0,0,6,6,0,0,12,10,6,1,1,42
2024-03-02 05:10:00,0,0,0,9,7,2,0,21,16,12,0,1,68
2024-03-02 05:20:00,0,0,0,3,10,4,0,14,18,14,0,3,66
