datetime,V21Z,V22Z,V51Z,V52Z,V61Z,V62Z,V81Z,V82Z,D53Z,D54Z,D55Z,D63Z,D64Z,Total
2024-03-02 05:10:00,1,11,1,9,10,1,3,4,1,4,1,8,2,56
2024-03-02 05:20:00,6,3,5,12,10,1,5,8,6,1,5,14,3,79
2024-03-02 05:30:00,3,3,9,13,16,2,6,6,7,5,7,11,2,90
2024-03-02 05:40:00,6,16,4,12,19,5,6,4,4,4,4,14,5,103
2024-03-02 05:50:00,7,12,4,8,5,0,3,3,3,3,3,8,1,60
2024-03-02 06:00:00,3,10,9,19,9,0,5,6,6,7,7,7,1,89
2024-03-02 06:10:00,12,9,3,23,14,3,2,4,4,6,3,16,2,101
2024-03-02 06:20:00,5,10,12,16,23,5,7,1,12,2,12,16,2,123
2024-03-02 06:30:00,11,9,15,22,19,3,4,4,12,7,12,16,4,138
2024-03-02 06:40:00,7,12,11,24,26,2,6,5,10,7,10,21,3,144
2024-03-02 06:50:00,11,12,24,20,18,1,4,4,15,12,14,20,1,156
2024-03-02 07:00:00,4,8,4,8,12,5,8,6,4,6,4,24,3,96
2024-03-02 07:10:00,8,7,6,6,13,0,5,8,7,5,6,17,1,89
2024-03-02 07:20:00,6,6,7,5,16,30,7,4,7,5,7,19,0,119
2024-03-02 07:30:00,8,5,4,5,21,3,4,4,5,5,5,34,7,110
2024-03-02 07:40:00,9,13,4,8,15,0,9,11,4,9,4,27,6,119
2024-03-02 07:50:00,7,13,7,9,14,2,6,10,8,9,8,21,4,118
2024-03-02 08:00:00,6,12,6,6,15,3,4,8,6,6,6,26,2,106
2024-03-02 08:10:00,9,9,11,10,17,2,7,5,11,12,11,24,5,133
2024-03-02 08:20:00,4,17,8,11,11,0,7,8,8,12,7,15,0,108
2024-03-02 08:30:00,8,16,12,10,15,3,12,18,13,9,13,24,3,156
2024-03-02 08:40:00,16,13,7,15,23,2,10,11,12,12,9,35,7,172
2024-03-02 08:50:00,7,22,10,17,19,1,14,13,13,20,11,22,5,174
2024-03-02 09:00:00,9,13,15,19,24,4,11,14,17,18,17,31,7,199
2024-03-02 09:10:00,18,21,9,25,26,3,7,13,13,29,12,33,6,215
2024-03-02 09:20:00,28,23,14,22,30,1,13,12,26,24,21,44,11,269
2024-03-02 09:30:00,23,27,17,21,24,2,16,15,21,20,21,35,8,250
2024-03-02 09:40:00,27,22,14,21,32,5,16,11,18,22,17,54,7,266
2024-03-02 09:50:00,24,21,13,23,38,4,16,17,25,26,24,50,10,291
2024-03-02 10:00:00,24,26,18,17,23,2,17,16,25,17,23,43,5,256
2024-03-02 10:10:00,23,25,23,10,27,1,19,14,28,12,27,33,8,250
2024-03-02 10:20:00,22,27,13,24,27,3,13,16,26,23,22,36,7,259
2024-03-02 10:30:00,20,20,18,23,23,0,14,12,32,23,32,47,5,269
2024-03-02 10:40:00,31,26,13,14,29,2,17,13,24,15,22,44,10,260
2024-03-02 10:50:00,21,27,24,27,43,3,14,15,32,29,31,53,7,326
2024-03-02 11:00:00,23,27,14,24,29,1,19,18,19,24,19,41,4,262
2024-03-02 11:10:00,27,25,19,19,38,0,22,12,22,22,20,59,9,294
2024-03-02 11:20:00,23,26,27,26,28,2,20,15,42,31,36,44,3,323
2024-03-02 11:30:00,24,26,24,12,30,2,16,12,29,16,25,45,8,269
2024-03-02 11:40:00,25,25,33,19,42,3,17,17,38,23,37,52,12,343
2024-03-02 11:50:00,25,28,22,25,36,2,18,16,35,24,33,54,16,334
2024-03-02 12:00:00,24,26,22,32,27,0,22,15,30,35,27,44,5,309
2024-03-02 12:10:00,23,33,26,28,34,3,22,18,34,31,32,50,4,338
2024-03-02 12:20:00,16,17,27,27,31,6,21,15,42,30,40,41,7,320
2024-03-02 12:30:00,22,30,24,20,26,2,17,15,31,28,30,47,6,298
2024-03-02 12:40:00,25,24,28,23,36,2,23,17,34,25,33,48,14,332
2024-03-02 12:50:00,21,23,24,34,37,0,22,19,35,40,31,53,12,351
2024-03-02 13:00:00,28,34,27,18,33,2,16,22,31,20,32,49,18,330
2024-03-02 13:10:00,32,13,42,25,28,5,25,21,52,27,48,61,14,393
2024-03-02 13:20:00,28,9,29,26,23,2,18,21,39,29,38,42,13,317
2024-03-02 13:30:00,17,12,22,24,17,2,18,23,39,26,34,43,3,280
2024-03-02 13:40:00,24,13,29,30,15,1,19,20,31,38,27,49,0,296
2024-03-02 13:50:00,24,24,19,24,34,3,14,14,24,27,22,55,12,296
2024-03-02 14:00:00,27,28,24,29,21,4,19,14,38,36,35,59,12,346
2024-03-02 14:10:00,30,18,26,31,10,1,20,17,24,34,23,62,3,299
2024-03-02 14:20:00,20,27,24,31,18,2,19,19,59,41,55,69,13,397
2024-03-02 14:30:00,28,9,27,32,25,3,17,17,37,42,35,52,3,327
2024-03-02 14:40:00,32,26,23,32,25,1,22,16,28,45,26,63,9,348
2024-03-02 14:50:00,34,17,23,36,20,1,19,17,28,40,25,54,9,323
2024-03-02 15:00:00,24,20,24,24,24,1,18,15,29,38,28,54,10,309
2024-03-02 15:10:00,26,23,25,32,32,1,20,18,33,33,33,41,11,328
2024-03-02 15:20:00,27,14,30,26,29,0,21,15,43,28,36,55,10,334
2024-03-02 15:30:00,32,24,32,23,26,2,21,19,44,31,43,46,5,348
2024-03-02 15:40:00,29,15,28,26,13,0,24,17,32,31,31,50,3,299
2024-03-02 15:50:00,29,13,27,34,12,1,22,18,41,36,36,53,10,332
2024-03-02 16:00:00,23,24,22,24,38,0,20,13,26,26,24,39,5,284
2024-03-02 16:10:00,28,17,22,33,24,7,20,16,30,43,30,51,9,330
2024-03-02 16:20:00,15,19,27,25,31,1,17,21,28,26,28,58,10,306
2024-03-02 16:30:00,23,11,26,20,19,1,20,17,31,21,30,41,5,265
2024-03-02 16:40:00,22,10,26,27,22,2,15,20,38,29,37,48,6,302
2024-03-02 16:50:00,21,26,24,20,28,3,25,17,40,24,35,52,12,327
2024-03-02 17:00:00,20,24,22,22,40,0,20,19,31,30,29,62,10,329
2024-03-02 17:10:00,30,30,24,27,24,0,26,21,43,29,44,68,11,377
2024-03-02 17:20:00,34,21,24,28,23,1,23,17,38,35,37,58,8,347
2024-03-02 17:30:00,24,13,52,25,30,1,17,22,39,28,36,60,10,357
2024-03-02 17:40:00,26,22,26,31,29,2,17,17,38,29,33,49,11,330
2024-03-02 17:50:00,22,28,28,30,29,17,20,18,39,35,31,52,14,363
2024-03-02 18:00:00,24,25,24,27,27,3,17,17,38,39,36,77,16,370
2024-03-02 18:10:00,24,20,20,34,37,2,18,23,34,40,29,71,20,372
2024-03-02 18:20:00,27,8,26,40,22,2,20,24,40,29,37,68,9,352
2024-03-02 18:30:00,43,17,27,47,26,0,19,21,36,28,34,57,5,360
2024-03-02 18:40:00,29,19,38,40,34,0,23,24,47,31,44,59,10,398
2024-03-02 18:50:00,44,63,21,39,39,2,29,32,36,27,34,62,9,437
2024-03-02 19:00:00,45,52,28,45,51,0,25,25,36,29,34,63,10,443
2024-03-02 19:10:00,48,39,22,29,39,1,33,17,31,21,31,55,11,377
2024-03-02 19:20:00,45,47,26,37,29,0,22,19,33,33,33,50,9,383
2024-03-02 19:30:00,53,43,27,47,33,1,23,24,19,32,19,40,16,377
2024-03-02 19:40:00,24,56,21,33,27,1,9,22,22,26,22,49,7,319
2024-03-02 19:50:00,34,64,21,29,31,1,24,25,25,33,22,48,11,368
2024-03-02 20:00:00,32,34,23,21,31,0,16,21,24,30,24,42,10,308
2024-03-02 20:10:00,26,45,24,32,22,1,10,15,29,30,29,47,9,319
2024-03-02 20:20:00,33,33,22,34,36,0,16,11,22,22,18,53,7,307
2024-03-02 20:30:00,21,34,22,41,28,0,17,25,28,25,27,37,5,310
2024-03-02 20:40:00,30,25,13,30,29,0,18,13,14,11,14,45,3,245
