datetime,D21Z,D22Z,V23Z,D51Z,D52Z,V53Z,V54Z,D81Z,D82Z,V83Z,Total
2024-03-03 07:00:00,3,0,3,1,1,3,0,3,0,0,14
2024-03-03 07:10:00,3,0,4,1,1,5,0,4,0,0,18
2024-03-03 07:20:00,6,0,5,6,6,0,0,0,0,0,23
2024-03-03 07:30:00,4,0,4,0,0,4,0,3,0,0,15
2024-03-03 07:40:00,6,0,7,2,1,4,0,3,0,0,23
2024-03-03 07:50:00,3,0,3,1,2,3,0,3,0,0,15
2024-03-03 08:00:00,8,0,8,0,0,2,0,2,0,0,20
2024-03-03 08:10:00,9,0,9,2,2,10,0,10,0,0,42
2024-03-03 08:20:00,14,0,12,3,3,12,0,12,0,0,56
2024-03-03 08:30:00,16,0,15,9,7,10,0,10,0,0,67
2024-03-03 08:40:00,17,0,16,7,8,15,0,12,0,0,75
2024-03-03 08:50:00,11,0,10,6,6,14,0,13,0,0,60
2024-03-03 09:00:00,9,0,9,3,3,13,0,12,0,0,49
2024-03-03 09:10:00,21,0,21,12,5,23,0,22,0,0,104
2024-03-03 09:20:00,21,0,20,10,9,37,0,31,0,0,128
2024-03-03 09:30:00,35,0,28,15,12,27,0,20,0,0,137
2024-03-03 09:40:00,38,0,29,20,18,34,0,30,2,0,171
2024-03-03 09:50:00,26,0,22,10,11,23,0,20,3,0,115
2024-03-03 10:00:00,35,0,23,16,10,24,0,21,2,0,131
2024-03-03 10:10:00,31,0,26,15,6,28,0,27,0,0,133
2024-03-03 10:20:00,22,0,23,9,11,20,0,16,0,0,101
2024-03-03 10:30:00,28,0,23,13,11,27,0,21,0,0,123
2024-03-03 10:40:00,37,0,34,10,10,22,0,18,0,0,131
2024-03-03 10:50:00,33,0,31,12,12,25,0,24,0,2,139
2024-03-03 11:00:00,42,0,31,6,7,30,0,25,1,3,145
2024-03-03 11:10:00,36,0,30,10,11,12,0,12,1,1,113
2024-03-03 11:20:00,33,0,26,17,13,29,0,20,1,2,141
2024-03-03 11:30:00,34,0,26,15,13,20,0,18,0,1,127
2024-03-03 11:40:00,30,0,25,18,10,29,0,25,0,0,137
2024-03-03 11:50:00,38,0,29,14,14,25,0,21,0,3,144
2024-03-03 12:00:00,48,0,34,9,12,28,0,21,2,1,155
2024-03-03 12:10:00,31,0,29,11,10,33,0,25,0,1,140
2024-03-03 12:20:00,38,0,31,13,12,31,0,27,0,1,153
2024-03-03 12:30:00,45,0,32,14,13,37,0,31,3,1,176
2024-03-03 12:40:00,49,0,32,10,8,30,0,26,1,3,159
2024-03-03 12:50:00,51,0,41,9,9,32,0,30,4,0,176
2024-03-03 13:00:00,39,0,28,11,11,21,0,16,0,1,127
2024-03-03 13:10:00,47,0,33,14,14,47,0,34,0,2,191
2024-03-03 13:20:00,43,0,34,11,10,34,0,27,1,2,162
2024-03-03 13:30:00,61,0,38,21,18,24,0,24,2,0,188
2024-03-03 13:40:00,40,0,37,6,5,30,0,27,0,1,146
2024-03-03 13:50:00,57,0,44,9,10,35,0,24,1,0,180
2024-03-03 14:00:00,48,0,42,12,13,38,0,30,0,0,183
2024-03-03 14:10:00,47,0,36,16,13,26,0,20,1,0,159
2024-03-03 14:20:00,53,0,33,17,14,27,0,22,1,0,167
2024-03-03 14:30:00,35,0,31,21,21,49,0,32,0,2,191
2024-03-03 14:40:00,43,0,31,14,15,25,0,19,0,3,150
2024-03-03 14:50:00,49,0,39,18,14,48,0,33,2,2,205
2024-03-03 15:00:00,37,0,27,16,17,37,0,26,0,3,163
2024-03-03 15:10:00,48,0,36,14,11,27,0,22,1,0,159
2024-03-03 15:20:00,52,0,37,13,14,43,0,30,1,0,190
2024-03-03 15:30:00,38,0,28,17,17,30,0,24,0,0,154
2024-03-03 15:40:00,36,0,30,19,17,32,0,26,1,2,163
2024-03-03 15:50:00,46,0,32,28,16,27,0,22,1,5,177
2024-03-03 16:00:00,34,0,31,21,16,29,0,22,1,1,155
2024-03-03 16:10:00,55,0,35,25,18,53,0,29,1,1,217
2024-03-03 16:20:00,36,0,28,17,13,35,0,26,3,1,159
2024-03-03 16:30:00,28,0,24,12,13,41,0,36,0,0,154
2024-03-03 16:40:00,35,0,28,12,15,25,0,18,3,1,137
2024-03-03 16:50:00,48,0,37,12,16,28,0,25,1,2,169
2024-03-03 17:00:00,37,0,27,20,16,30,0,20,1,0,151
2024-03-03 17:10:00,40,0,28,20,12,49,0,40,7,1,197
2024-03-03 17:20:00,41,0,29,14,12,41,0,30,1,0,168
2024-03-03 17:30:00,45,0,30,17,12,40,0,34,0,0,178
2024-03-03 17:40:00,49,0,34,24,18,38,0,31,1,0,195
2024-03-03 17:50:00,34,0,25,22,14,33,0,27,3,6,164
2024-03-03 18:00:00,25,0,23,21,15,31,0,19,0,0,134
2024-03-03 18:10:00,46,0,33,12,10,38,0,30,0,1,170
2024-03-03 18:20:00,30,0,22,13,13,24,0,25,1,0,128
2024-03-03 18:30:00,23,0,32,10,16,34,0,59,2,0,176
2024-03-03 18:40:00,39,0,45,6,7,30,0,46,0,0,173
