datetime,D11Z,V13Z,V15Z,D12Z,V14Z,V16Z,D31Z,V33Z,D32Z,V34Z,D41Z,D42Z,V43Z,V44Z,V45Z,V1Z,V2Z,V3Z,V4Z,V5Z,V6Z,Total
2024-03-01 14:40:00,69,26,130,66,153,100,60,23,20,20,128,127,11,14,19,0,0,0,0,0,0,966
2024-03-01 14:50:00,69,22,102,57,114,79,61,22,25,11,120,121,11,26,13,0,0,0,0,0,0,853
2024-03-01 15:00:00,61,34,107,54,113,90,43,18,26,5,116,116,14,33,8,0,0,0,0,0,0,838
2024-03-01 15:10:00,70,42,121,46,157,83,48,20,19,4,129,128,13,17,18,0,0,0,0,0,0,915
2024-03-01 15:20:00,70,29,112,46,123,79,48,20,12,7,132,130,11,21,14,0,0,0,0,0,0,854
2024-03-01 15:30:00,77,28,129,42,108,67,55,20,24,5,137,137,10,18,16,0,0,0,0,0,0,873
2024-03-01 15:40:00,65,40,117,62,138,88,55,18,35,5,124,124,9,16,12,0,0,0,0,0,0,908
2024-03-01 15:50:00,60,24,99,39,123,58,48,16,23,8,84,83,17,27,7,0,0,0,0,0,0,716
2024-03-01 16:00:00,46,31,89,34,131,65,47,18,28,6,82,79,19,25,10,0,0,0,0,0,0,710
2024-03-01 16:10:00,76,18,121,52,115,79,35,21,20,5,141,141,21,21,12,0,0,0,0,0,0,878
2024-03-01 16:20:00,64,29,108,61,156,81,55,26,23,10,130,131,13,12,15,0,0,0,0,0,0,914
2024-03-01 16:30:00,73,28,121,56,175,92,50,18,15,7,139,139,17,29,17,0,0,0,0,0,0,976
2024-03-01 16:40:00,59,33,101,49,124,78,55,16,19,11,119,122,20,35,13,0,0,0,0,0,0,854
2024-03-01 16:50:00,76,36,132,56,132,89,44,16,20,9,113,112,15,30,14,0,0,0,0,0,0,894
2024-03-01 17:00:00,74,22,106,64,152,87,52,17,18,6,143,143,12,29,18,0,0,0,0,0,0,943
2024-03-01 17:10:00,65,37,115,40,132,75,56,22,20,7,125,124,27,37,19,0,0,0,0,0,0,901
2024-03-01 17:20:00,48,21,74,43,114,73,33,19,19,9,102,102,10,14,9,0,0,0,0,0,0,690
2024-03-01 17:30:00,69,27,112,55,116,86,44,19,22,10,105,107,14,19,8,0,0,0,0,0,0,813
2024-03-01 17:40:00,74,33,126,59,142,97,49,15,17,8,113,113,16,23,12,0,0,0,0,0,0,897
2024-03-01 17:50:00,72,23,116,59,152,88,48,23,17,5,119,117,7,14,10,0,0,0,0,0,0,870
2024-03-01 18:00:00,66,23,115,51,126,75,38,14,18,12,119,118,19,22,12,0,0,0,0,0,0,828
2024-03-01 18:10:00,60,65,111,29,128,60,50,20,15,11,100,100,20,30,17,0,0,0,0,0,0,816
2024-03-01 18:20:00,57,58,103,45,78,82,44,27,14,7,104,105,11,17,21,0,0,0,0,0,0,773
2024-03-01 18:30:00,89,42,142,47,71,89,38,28,20,12,107,107,13,27,17,0,0,0,0,0,0,849
2024-03-01 18:40:00,57,36,109,47,54,81,46,19,11,10,123,126,24,30,10,0,0,0,0,0,0,783
2024-03-01 18:50:00,56,31,96,62,68,92,39,25,15,21,106,103,16,17,13,0,0,0,0,0,0,760
2024-03-01 19:00:00,51,34,89,46,66,78,47,29,18,9,78,78,31,37,10,0,0,0,0,0,0,701
2024-03-01 19:10:00,47,31,88,38,52,67,33,20,19,22,80,82,38,45,9,0,0,0,0,0,0,671
2024-03-01 19:20:00,51,57,88,30,58,53,31,26,18,14,66,67,30,33,6,0,0,0,0,0,0,628
2024-03-01 19:30:00,63,60,110,31,48,56,36,27,16,15,74,70,23,27,5,0,0,0,0,0,0,661
2024-03-01 19:40:00,40,50,77,39,63,67,31,21,14,7,82,82,33,35,10,0,0,0,0,0,0,651
2024-03-01 19:50:00,38,48,72,24,58,41,29,24,8,6,71,72,34,38,6,0,0,0,0,0,0,569
2024-03-01 20:00:00,26,35,56,25,42,43,15,17,12,10,67,67,30,42,7,0,0,0,0,0,0,494
2024-03-01 20:10:00,25,39,53,19,44,34,21,21,17,8,56,55,31,30,6,0,0,0,0,0,0,459
2024-03-01 20:20:00,24,35,43,23,45,35,25,21,8,3,52,53,24,29,11,0,0,0,0,0,0,431
2024-03-01 20:30:00,19,30,37,21,43,36,20,16,13,12,59,58,18,23,8,0,0,0,0,0,0,413
2024-03-01 20:40:00,33,43,60,31,43,53,19,16,18,11,44,45,18,32,8,0,0,0,0,0,0,474
2024-03-01 20:50:00,21,34,45,17,38,32,16,16,12,8,42,43,25,26,3,0,0,0,0,0,0,378
2024-03-01 21:00:00,28,38,52,18,42,36,26,21,9,8,55,64,24,31,4,0,0,0,0,0,0,456
2024-03-01 21:10:00,34,57,66,30,53,48,33,30,9,3,42,42,21,31,3,0,0,0,0,0,0,502
2024-03-01 21:20:00,38,50,74,20,44,35,21,20,8,2,46,47,26,28,8,0,0,0,0,0,0,467
2024-03-01 21:30:00,20,26,37,18,38,31,13,15,8,3,49,48,28,39,2,0,0,0,0,0,0,375
2024-03-01 21:40:00,18,30,38,16,41,34,23,20,6,6,42,42,36,39,3,0,0,0,0,0,0,394
2024-03-01 21:50:00,19,28,38,16,35,26,15,10,3,1,36,36,27,32,2,0,0,0,0,0,0,324
2024-03-01 22:00:00,32,45,64,21,28,35,17,14,4,2,33,33,26,30,4,0,0,0,0,0,0,388
2024-03-01 22:10:00,16,30,29,19,37,32,22,16,11,7,44,44,23,29,2,0,0,0,0,0,0,361
2024-03-01 22:20:00,28,41,50,17,34,29,19,21,7,8,37,38,29,26,3,0,0,0,0,0,0,387
2024-03-01 22:30:00,22,37,40,17,41,32,15,15,8,3,38,37,23,30,5,0,0,0,0,0,0,363
2024-03-01 22:40:00,13,30,25,13,26,24,22,22,8,6,32,32,20,26,1,0,0,0,0,0,0,300
2024-03-01 22:50:00,16,30,29,13,27,20,15,19,8,1,36,37,19,22,2,0,0,0,0,0,0,294
2024-03-01 23:00:00,23,30,44,12,25,20,17,17,3,2,28,27,20,22,3,0,0,0,0,0,0,293
2024-03-01 23:10:00,13,30,26,12,16,26,7,10,5,3,31,31,28,26,1,0,0,0,0,0,0,265
2024-03-01 23:20:00,10,12,21,4,20,4,14,16,5,2,26,26,18,21,3,0,0,0,0,0,0,202
2024-03-01 23:30:00,13,30,28,15,21,28,11,12,3,2,23,23,16,22,1,0,0,0,0,0,0,248
2024-03-01 23:40:00,9,19,18,7,23,14,14,15,3,0,29,29,25,28,0,0,0,0,0,0,0,233
2024-03-01 23:50:00,17,26,32,12,17,16,8,9,3,3,22,22,19,18,2,0,0,0,0,0,0,226
2024-03-02 00:00:00,14,24,28,11,14,20,4,7,4,1,17,17,13,15,2,0,0,0,0,0,0,191
2024-03-02 00:10:00,9,16,17,4,8,9,7,10,5,0,21,21,13,17,2,0,0,0,0,0,0,159
2024-03-02 00:20:00,6,12,13,8,16,17,11,9,5,1,21,20,16,16,0,0,0,0,0,0,0,171
2024-03-02 00:30:00,3,10,6,6,13,12,6,7,3,2,20,20,14,17,2,0,0,0,0,0,0,141
2024-03-02 00:40:00,5,11,10,5,17,9,8,10,0,0,13,13,13,13,0,0,0,0,0,0,0,127
2024-03-02 00:50:00,9,16,15,11,16,14,9,11,4,0,11,11,11,11,0,0,0,0,0,0,0,149
2024-03-02 01:00:00,4,9,10,6,17,10,9,12,2,0,21,21,12,10,4,0,0,0,0,0,0,147
2024-03-02 01:10:00,9,18,18,2,8,5,2,2,2,0,13,13,16,17,0,0,0,0,0,0,0,125
2024-03-02 01:20:00,9,15,17,5,7,4,7,7,3,0,11,11,9,10,0,0,0,0,0,0,0,115
2024-03-02 01:30:00,3,7,4,3,14,6,4,5,3,3,9,9,9,9,0,0,0,0,0,0,0,88
2024-03-02 01:40:00,3,8,5,5,10,10,6,5,2,2,10,10,9,12,0,0,0,0,0,0,0,97
2024-03-02 01:50:00,8,19,14,7,10,11,2,3,2,2,13,13,12,14,0,0,0,0,0,0,0,130
2024-03-02 02:00:00,2,8,4,6,9,12,2,3,2,0,6,6,6,5,0,0,0,0,0,0,0,71
2024-03-02 02:10:00,0,1,0,2,7,3,3,4,3,2,8,8,8,8,0,0,0,0,0,0,0,57
2024-03-02 02:20:00,4,8,9,8,7,9,7,6,4,0,5,5,9,6,1,0,0,0,0,0,0,88
2024-03-02 02:30:00,1,7,3,6,11,11,6,6,3,0,6,6,6,6,0,0,0,0,0,0,0,78
2024-03-02 02:40:00,5,6,9,2,5,4,3,6,1,0,3,3,3,3,0,0,0,0,0,0,0,53
2024-03-02 02:50:00,2,8,7,7,8,7,4,4,1,0,9,9,7,10,0,0,0,0,0,0,0,83
2024-03-02 03:00:00,3,6,5,5,5,6,2,2,1,0,7,7,10,7,0,0,0,0,0,0,0,66
2024-03-02 03:10:00,3,7,6,6,9,8,4,4,2,0,4,4,4,4,0,0,0,0,0,0,0,65
2024-03-02 03:20:00,3,4,6,3,8,4,2,2,0,0,7,8,8,7,0,0,0,0,0,0,0,62
2024-03-02 03:30:00,4,7,6,3,3,6,0,0,2,1,4,3,3,3,0,0,0,0,0,0,0,45
2024-03-02 03:40:00,2,3,4,2,3,3,2,2,3,2,1,1,1,1,0,0,0,0,0,0,0,30
2024-03-02 03:50:00,6,9,13,2,6,4,3,2,1,1,7,6,6,6,0,0,0,0,0,0,0,72
2024-03-02 04:00:00,4,12,10,3,11,4,5,6,2,0,9,9,8,7,0,0,0,0,0,0,0,90
2024-03-02 04:10:00,4,8,8,8,3,8,3,4,3,1,2,2,3,2,0,0,0,0,0,0,0,59
2024-03-02 04:20:00,6,13,11,5,8,11,3,3,2,0,7,7,7,7,0,0,0,0,0,0,0,90
2024-03-02 04:30:00,1,5,3,3,4,6,0,0,1,2,5,5,4,4,0,0,0,0,0,0,0,43
2024-03-02 04:40:00,5,9,10,3,4,6,3,4,4,1,0,0,0,0,0,0,0,0,0,0,0,49
2024-03-02 04:50:00,6,7,10,3,6,2,2,2,1,0,7,6,6,8,0,0,0,0,0,0,0,66
2024-03-02 05:00:00,10,14,16,3,7,6,2,2,1,1,6,6,6,6,0,0,0,0,0,0,0,86
2024-03-02 05:10:00,12,19,25,7,11,8,6,7,6,4,7,7,7,8,0,0,0,0,0,0,0,134
2024-03-02 05:20:00,14,16,27,7,7,5,6,5,3,0,6,6,6,6,0,0,0,0,0,0,0,114
2024-03-02 05:30:00,20,30,38,13,16,23,4,4,7,1,6,6,6,6,0,0,0,0,0,0,0,180
2024-03-02 05:40:00,14,24,29,9,12,20,4,6,4,1,5,5,7,5,0,0,0,0,0,0,0,145
2024-03-02 05:50:00,8,11,15,4,8,7,7,7,3,3,6,6,6,6,0,0,0,0,0,0,0,97
2024-03-02 06:00:00,9,12,16,3,12,6,2,3,4,2,13,13,13,13,0,0,0,0,0,0,0,121
2024-03-02 06:10:00,13,18,26,6,7,9,4,6,5,4,15,15,18,16,0,0,0,0,0,0,0,162
2024-03-02 06:20:00,22,24,39,7,13,8,5,6,5,3,8,8,8,7,0,0,0,0,0,0,0,163
2024-03-02 06:30:00,17,23,32,15,18,21,5,6,7,1,7,7,11,8,0,0,0,0,0,0,0,178
2024-03-02 06:40:00,16,17,30,5,9,6,3,3,5,3,10,9,5,7,1,0,0,0,0,0,0,129
2024-03-02 06:50:00,16,19,31,9,9,13,8,7,7,5,15,15,19,16,0,0,0,0,0,0,0,189
2024-03-02 07:00:00,20,31,35,12,22,17,9,9,8,5,10,9,8,8,0,0,0,0,0,0,0,203
2024-03-02 07:10:00,31,32,61,12,22,23,5,4,10,1,15,14,11,12,0,0,0,0,0,0,0,253
2024-03-02 07:20:00,25,32,51,17,24,31,12,12,8,2,14,15,19,15,0,0,0,0,0,0,0,277
2024-03-02 07:30:00,24,29,45,15,30,28,9,8,9,4,24,24,13,20,0,0,0,0,0,0,0,282
2024-03-02 07:40:00,44,32,72,14,24,28,10,8,12,4,18,19,14,13,0,0,0,0,0,0,0,312
2024-03-02 07:50:00,39,36,69,13,29,21,10,12,14,7,22,22,18,17,0,0,0,0,0,0,0,329
2024-03-02 08:00:00,27,26,48,16,32,19,19,17,8,2,19,19,7,12,1,0,0,0,0,0,0,272
2024-03-02 08:10:00,38,47,78,30,27,55,9,10,11,8,25,25,13,18,0,0,0,0,0,0,0,394
2024-03-02 08:20:00,32,31,65,24,34,45,15,12,13,6,30,30,11,15,1,0,0,0,0,0,0,364
2024-03-02 08:30:00,44,36,69,23,47,42,12,8,13,8,34,35,18,23,1,0,0,0,0,0,0,413
2024-03-02 08:40:00,54,38,90,21,35,39,20,12,15,12,35,34,19,24,0,0,0,0,0,0,0,448
2024-03-02 08:50:00,49,35,92,26,52,45,18,15,19,15,38,38,18,29,1,0,0,0,0,0,0,490
2024-03-02 09:00:00,42,41,75,28,48,51,12,12,14,11,43,42,24,25,2,0,0,0,0,0,0,470
2024-03-02 09:10:00,49,36,79,32,42,59,16,10,16,12,33,34,18,21,2,0,0,0,0,0,0,459
2024-03-02 09:20:00,55,46,93,36,49,72,25,17,15,10,46,45,22,28,2,0,0,0,0,0,0,561
2024-03-02 09:30:00,54,47,101,43,59,69,28,21,18,12,45,48,25,30,2,0,0,0,0,0,0,602
