datetime,V11Z,V12Z,V13Z,D21Z,V31Z,V32Z,V33Z,V41Z,V42Z,V43Z,V14Z,V40Z,Total
2024-03-01 20:50:00,3,31,8,0,0,14,25,23,12,19,8,3,146
2024-03-01 21:00:00,4,36,12,0,0,18,30,27,7,16,12,5,167
2024-03-01 21:10:00,7,32,15,0,0,19,26,11,13,9,8,3,143
2024-03-01 21:20:00,1,28,6,0,0,20,36,21,4,8,9,1,134
2024-03-01 21:30:00,5,33,10,0,1,20,28,23,7,7,15,6,155
2024-03-01 21:40:00,2,59,13,0,0,17,31,18,15,15,12,5,187
2024-03-01 21:50:00,5,38,11,0,0,21,34,20,8,5,8,3,153
2024-03-01 22:00:00,5,32,9,0,0,20,38,21,11,10,16,2,164
2024-03-01 22:10:00,6,32,16,0,0,21,29,24,10,4,12,3,157
2024-03-01 22:20:00,3,39,20,0,0,16,25,33,12,10,12,3,173
2024-03-01 22:30:00,2,32,9,0,0,17,25,23,8,8,9,4,137
2024-03-01 22:40:00,3,29,15,0,0,15,24,20,10,8,11,1,136
2024-03-01 22:50:00,1,29,11,0,0,15,28,19,8,8,9,2,130
2024-03-01 23:00:00,3,24,13,0,0,18,26,24,10,4,10,1,133
2024-03-01 23:10:00,2,41,18,0,0,21,34,16,7,6,8,0,153
2024-03-01 23:20:00,3,31,17,0,0,13,14,15,5,3,10,1,112
2024-03-01 23:30:00,2,17,9,0,2,17,17,16,5,7,4,1,97
2024-03-01 23:40:00,1,22,10,0,0,15,21,15,2,1,4,0,91
2024-03-01 23:50:00,1,17,8,0,0,10,17,10,3,3,4,4,77
2024-03-02 00:00:00,3,19,10,0,1,11,19,13,4,4,5,4,93
2024-03-02 00:10:00,0,16,5,0,0,9,17,11,7,4,6,0,75
2024-03-02 00:20:00,1,8,0,0,0,13,19,16,3,5,7,1,73
2024-03-02 00:30:00,3,12,5,0,0,14,18,7,3,4,6,1,73
2024-03-02 00:40:00,1,11,7,0,0,7,15,9,5,3,0,0,58
2024-03-02 00:50:00,1,9,6,0,0,6,10,8,0,2,1,2,45
2024-03-02 01:00:00,0,11,2,0,0,5,5,4,1,3,5,2,38
2024-03-02 01:10:00,2,7,2,0,2,7,11,7,2,3,1,1,45
2024-03-02 01:20:00,0,9,5,0,0,7,13,6,1,1,2,0,44
2024-03-02 01:30:00,0,7,3,0,0,7,12,4,3,2,1,0,39
2024-03-02 01:40:00,1,5,1,0,0,3,4,10,3,1,2,0,30
2024-03-02 01:50:00,1,11,4,0,0,1,2,5,4,2,3,1,34
2024-03-02 02:00:00,1,5,4,0,0,3,4,4,2,6,4,0,33
2024-03-02 02:10:00,0,7,4,0,0,2,2,8,3,2,1,2,31
2024-03-02 02:20:00,1,5,2,0,0,4,4,5,1,1,4,0,27
2024-03-02 02:30:00,0,5,1,0,0,3,7,2,2,1,3,0,24
2024-03-02 02:40:00,1,5,1,0,0,2,3,2,2,3,2,0,21
2024-03-02 02:50:00,0,5,5,0,0,2,4,3,2,4,1,0,26
2024-03-02 03:00:00,0,1,1,0,0,3,5,7,4,2,0,0,23
2024-03-02 03:10:00,0,7,4,0,0,3,8,4,3,0,1,0,30
2024-03-02 03:20:00,3,8,6,0,1,1,2,3,2,0,0,2,28
2024-03-02 03:30:00,0,5,5,0,0,3,4,2,4,1,0,0,24
2024-03-02 03:40:00,4,6,1,0,0,2,4,2,1,1,0,0,21
2024-03-02 03:50:00,1,2,2,0,0,3,4,6,1,1,2,1,23
2024-03-02 04:00:00,0,3,2,0,0,1,3,3,3,2,1,0,18
2024-03-02 04:10:00,1,5,3,0,0,4,7,4,2,1,1,0,28
2024-03-02 04:20:00,0,5,2,0,0,3,4,1,0,0,0,0,15
2024-03-02 04:30:00,0,1,1,0,0,4,6,5,0,0,0,0,17
2024-03-02 04:40:00,0,4,3,0,0,1,5,1,1,1,2,1,19
2024-03-02 04:50:00,0,3,0,0,0,4,9,4,0,1,3,0,24
2024-03-02 05:00:00,0,4,3,0,0,8,6,0,3,1,1,0,26
2024-03-02 05:10:00,0,4,1,0,0,5,8,4,2,3,4,0,31
2024-03-02 05:20:00,1,6,5,0,0,4,9,8,4,5,1,1,44
