datetime,V12Z,V22Z,V51Z,V52Z,V111Z,V121Z,V122Z,Total
2024-03-02 03:50:00,2,3,7,7,2,5,0,26
2024-03-02 04:00:00,3,10,5,3,2,1,0,24
2024-03-02 04:10:00,3,3,6,3,1,1,0,17
2024-03-02 04:20:00,2,7,6,7,0,3,0,25
2024-03-02 04:30:00,2,4,9,5,2,5,0,27
2024-03-02 04:40:00,2,10,10,0,0,0,0,22
2024-03-02 04:50:00,4,11,10,2,1,2,0,30
2024-03-02 05:00:00,0,11,9,1,0,0,0,21
2024-03-02 05:10:00,4,13,9,3,2,5,0,36
2024-03-02 05:20:00,6,11,16,11,3,5,0,52
2024-03-02 05:30:00,2,14,22,9,4,5,0,56
2024-03-02 05:40:00,6,20,20,7,4,3,0,60
2024-03-02 05:50:00,2,12,13,4,2,2,0,35
2024-03-02 06:00:00,4,12,15,5,1,1,0,38
2024-03-02 06:10:00,7,8,19,5,2,1,0,42
2024-03-02 06:20:00,0,12,18,7,3,5,0,45
2024-03-02 06:30:00,6,22,14,8,2,1,0,53
2024-03-02 06:40:00,6,20,22,11,5,8,0,72
2024-03-02 06:50:00,5,11,19,11,1,3,0,50
2024-03-02 07:00:00,13,13,12,10,0,1,0,49
2024-03-02 07:10:00,10,16,17,13,4,6,0,66
2024-03-02 07:20:00,17,21,15,8,2,4,0,67
2024-03-02 07:30:00,20,19,18,7,25,4,0,93
2024-03-02 07:40:00,22,22,23,11,7,7,0,92
2024-03-02 07:50:00,27,19,24,8,3,5,0,86
2024-03-02 08:00:00,12,15,21,14,4,9,0,75
2024-03-02 08:10:00,19,24,22,14,6,7,0,92
2024-03-02 08:20:00,21,20,25,12,7,7,0,92
2024-03-02 08:30:00,25,23,23,19,5,4,0,99
2024-03-02 08:40:00,30,28,31,14,10,13,0,126
2024-03-02 08:50:00,29,29,26,9,7,10,1,111
2024-03-02 09:00:00,22,25,30,11,9,10,0,107
2024-03-02 09:10:00,22,26,29,17,8,5,0,107
2024-03-02 09:20:00,37,30,28,20,12,16,1,144
2024-03-02 09:30:00,28,21,25,22,8,10,0,114
2024-03-02 09:40:00,38,28,23,14,15,17,2,137
2024-03-02 09:50:00,39,15,18,25,17,22,4,140
2024-03-02 10:00:00,38,27,30,17,7,9,0,128
2024-03-02 10:10:00,45,28,24,23,13,19,3,155
2024-03-02 10:20:00,40,19,11,16,13,14,1,114
2024-03-02 10:30:00,41,22,35,23,17,15,1,154
2024-03-02 10:40:00,36,22,38,23,9,15,0,143
2024-03-02 10:50:00,33,23,23,27,18,17,0,141
2024-03-02 11:00:00,35,23,26,23,34,22,0,163
2024-03-02 11:10:00,28,30,23,22,13,18,0,134
2024-03-02 11:20:00,36,23,25,33,12,20,1,150
2024-03-02 11:30:00,37,22,21,27,13,16,0,136
2024-03-02 11:40:00,43,23,33,31,11,13,0,154
2024-03-02 11:50:00,43,21,26,32,14,25,0,161
2024-03-02 12:00:00,36,32,31,32,13,14,1,159
2024-03-02 12:10:00,21,23,29,40,12,14,0,139
2024-03-02 12:20:00,37,33,29,27,14,29,0,169
2024-03-02 12:30:00,41,28,31,50,12,16,0,178
2024-03-02 12:40:00,42,22,22,40,20,22,1,169
2024-03-02 12:50:00,40,9,24,33,11,16,1,134
2024-03-02 13:00:00,45,19,21,39,15,17,0,156
2024-03-02 13:10:00,44,28,29,45,16,26,1,189
2024-03-02 13:20:00,44,16,23,34,16,21,0,154
2024-03-02 13:30:00,51,28,29,38,16,19,1,182
2024-03-02 13:40:00,55,31,23,38,19,24,0,190
2024-03-02 13:50:00,51,28,12,30,15,18,7,161
2024-03-02 14:00:00,46,17,18,24,12,23,1,141
2024-03-02 14:10:00,19,19,15,48,22,20,1,144
2024-03-02 14:20:00,24,32,4,41,17,27,1,146
2024-03-02 14:30:00,18,22,13,48,14,24,4,143
2024-03-02 14:40:00,38,23,20,41,14,19,0,155
2024-03-02 14:50:00,45,28,18,48,18,22,2,181
2024-03-02 15:00:00,45,26,11,40,11,20,2,155
2024-03-02 15:10:00,47,19,24,45,18,17,1,171
2024-03-02 15:20:00,40,15,22,33,9,19,0,138
2024-03-02 15:30:00,32,18,22,35,14,19,2,142
2024-03-02 15:40:00,39,26,18,31,14,23,0,151
2024-03-02 15:50:00,39,23,18,34,7,18,0,139
2024-03-02 16:00:00,37,35,29,32,13,14,1,161
2024-03-02 16:10:00,41,27,29,45,17,20,1,180
2024-03-02 16:20:00,30,24,28,36,12,18,1,149
2024-03-02 16:30:00,39,21,28,29,11,17,2,147
2024-03-02 16:40:00,45,20,22,29,19,27,2,164
2024-03-02 16:50:00,43,23,26,37,11,15,2,157
2024-03-02 17:00:00,35,20,27,41,10,17,1,151
2024-03-02 17:10:00,29,22,27,48,8,14,2,150
2024-03-02 17:20:00,38,20,28,43,15,17,2,163
2024-03-02 17:30:00,37,25,21,32,11,14,0,140
2024-03-02 17:40:00,36,21,23,26,7,8,0,121
2024-03-02 17:50:00,26,21,23,47,13,30,2,162
2024-03-02 18:00:00,20,20,17,21,14,19,1,112
2024-03-02 18:10:00,34,22,18,30,14,29,1,148
2024-03-02 18:20:00,20,20,31,34,16,19,0,140
2024-03-02 18:30:00,25,25,33,21,27,28,1,160
2024-03-02 18:40:00,23,29,30,32,16,23,1,154
2024-03-02 18:50:00,12,33,24,29,30,31,1,160
2024-03-02 19:00:00,25,26,33,31,13,17,0,145
2024-03-02 19:10:00,19,18,36,30,18,20,1,142
2024-03-02 19:20:00,27,23,32,30,10,11,0,133
2024-03-02 19:30:00,25,23,24,26,16,12,0,126
2024-03-02 19:40:00,26,24,40,25,14,14,0,143
2024-03-02 19:50:00,18,30,26,26,6,11,1,118
2024-03-02 20:00:00,22,20,26,19,10,9,0,106
2024-03-02 20:10:00,27,17,29,23,11,12,1,120
2024-03-02 20:20:00,29,21,25,31,12,15,0,133
2024-03-02 20:30:00,17,22,33,26,12,14,0,124
2024-03-02 20:40:00,24,20,20,22,11,17,1,115
2024-03-02 20:50:00,14,21,27,25,6,10,0,103
2024-03-02 21:00:00,19,15,29,20,7,7,0,97
2024-03-02 21:10:00,14,22,19,16,10,11,3,95
2024-03-02 21:20:00,22,24,19,22,11,9,1,108
2024-03-02 21:30:00,15,10,17,25,5,6,0,78
2024-03-02 21:40:00,21,16,17,22,8,12,1,97
2024-03-02 21:50:00,16,14,24,25,5,7,0,91
2024-03-02 22:00:00,18,17,25,20,3,8,0,91
2024-03-02 22:10:00,13,14,27,28,4,8,0,94
2024-03-02 22:20:00,21,11,23,25,10,11,0,101
2024-03-02 22:30:00,12,12,15,17,14,13,0,83
2024-03-02 22:40:00,16,15,21,25,3,5,0,85
2024-03-02 22:50:00,9,16,15,20,4,7,0,71
2024-03-02 23:00:00,15,14,15,26,9,10,0,89
2024-03-02 23:10:00,16,11,18,17,3,9,0,74
2024-03-02 23:20:00,7,13,25,17,6,12,1,81
2024-03-02 23:30:00,18,9,15,19,4,7,0,72
2024-03-02 23:40:00,4,8,13,22,4,8,0,59
2024-03-02 23:50:00,12,17,16,18,4,6,1,74
2024-03-03 00:00:00,19,7,16,23,3,8,1,77
2024-03-03 00:10:00,5,10,13,21,7,6,0,62
2024-03-03 00:20:00,5,10,8,9,2,4,0,38
2024-03-03 00:30:00,4,7,9,11,3,4,0,38
2024-03-03 00:40:00,7,10,10,17,1,7,0,52
2024-03-03 00:50:00,7,11,14,18,4,8,0,62
2024-03-03 01:00:00,6,8,12,19,1,5,0,51
2024-03-03 01:10:00,6,6,6,11,0,0,0,29
2024-03-03 01:20:00,9,4,11,11,1,3,0,39
2024-03-03 01:30:00,7,10,7,9,0,1,0,34
2024-03-03 01:40:00,4,5,11,12,4,5,0,41
2024-03-03 01:50:00,4,6,8,14,3,5,0,40
2024-03-03 02:00:00,1,4,6,9,5,3,0,28
