datetime,D23Z,V24Z,D81Z,D82Z,D83Z,V84Z,Total
2024-03-02 10:20:00,32,30,28,33,32,26,181
2024-03-02 10:30:00,29,30,16,37,34,23,169
2024-03-02 10:40:00,34,23,11,38,40,21,167
2024-03-02 10:50:00,42,28,19,39,38,25,191
2024-03-02 11:00:00,28,28,12,35,32,25,160
2024-03-02 11:10:00,31,23,29,67,52,33,235
2024-03-02 11:20:00,27,20,13,28,30,21,139
2024-03-02 11:30:00,39,23,23,38,37,30,190
2024-03-02 11:40:00,47,31,38,51,48,30,245
2024-03-02 11:50:00,56,33,19,31,32,25,196
2024-03-02 12:00:00,38,22,15,38,38,22,173
2024-03-02 12:10:00,41,26,28,35,36,33,199
2024-03-02 12:20:00,37,25,24,44,44,28,202
2024-03-02 12:30:00,44,23,22,39,38,34,200
2024-03-02 12:40:00,56,29,26,44,46,35,236
2024-03-02 12:50:00,48,28,17,34,30,23,180
2024-03-02 13:00:00,48,25,26,46,44,33,222
2024-03-02 13:10:00,42,38,11,39,36,27,193
2024-03-02 13:20:00,53,30,23,48,47,28,229
2024-03-02 13:30:00,34,39,33,49,47,28,230
2024-03-02 13:40:00,49,33,36,53,45,30,246
2024-03-02 13:50:00,47,35,186,38,28,26,360
2024-03-02 14:00:00,47,39,1033,36,36,28,1219
2024-03-02 14:10:00,49,41,1003,38,36,25,1192
2024-03-02 14:20:00,43,32,690,45,44,30,884
2024-03-02 14:30:00,45,33,53,35,33,29,228
2024-03-02 14:40:00,46,30,429,51,49,29,634
2024-03-02 14:50:00,34,22,17,45,41,34,193
2024-03-02 15:00:00,34,24,22,44,42,26,192
2024-03-02 15:10:00,37,25,13,23,23,26,147
2024-03-02 15:20:00,38,26,14,36,38,23,175
2024-03-02 15:30:00,31,25,10,30,27,25,148
2024-03-02 15:40:00,27,23,88,32,31,28,229
2024-03-02 15:50:00,36,29,147,29,29,23,293
2024-03-02 16:00:00,49,30,72,32,31,21,235
2024-03-02 16:10:00,33,26,63,33,33,25,213
2024-03-02 16:20:00,24,18,50,46,46,27,211
2024-03-02 16:30:00,35,26,51,33,32,24,201
2024-03-02 16:40:00,26,24,56,40,42,31,219
2024-03-02 16:50:00,29,23,38,26,26,19,161
2024-03-02 17:00:00,30,21,21,40,40,28,180
2024-03-02 17:10:00,40,22,20,45,44,33,204
2024-03-02 17:20:00,32,17,14,43,42,29,177
2024-03-02 17:30:00,35,19,18,34,35,26,167
2024-03-02 17:40:00,43,26,53,55,54,28,259
2024-03-02 17:50:00,38,26,74,58,57,29,282
2024-03-02 18:00:00,30,22,37,46,49,29,213
2024-03-02 18:10:00,27,26,34,48,49,32,216
2024-03-02 18:20:00,40,25,36,33,32,24,190
2024-03-02 18:30:00,30,19,36,50,52,31,218
2024-03-02 18:40:00,29,20,35,36,38,18,176
2024-03-02 18:50:00,36,18,17,46,44,37,198
2024-03-02 19:00:00,37,20,18,34,31,21,161
2024-03-02 19:10:00,35,27,10,21,21,17,131
2024-03-02 19:20:00,36,24,16,39,39,32,186
2024-03-02 19:30:00,26,23,5,22,23,17,116
2024-03-02 19:40:00,27,23,8,22,25,25,130
2024-03-02 19:50:00,32,22,7,23,26,20,130
2024-03-02 20:00:00,32,24,10,26,27,16,135
2024-03-02 20:10:00,44,28,6,18,17,17,130
2024-03-02 20:20:00,28,18,11,21,22,20,120
2024-03-02 20:30:00,22,18,19,25,24,16,124
2024-03-02 20:40:00,17,13,14,23,23,27,117
2024-03-02 20:50:00,25,14,11,22,22,18,112
2024-03-02 21:00:00,26,19,9,23,23,18,118
2024-03-02 21:10:00,22,17,9,24,23,10,105
2024-03-02 21:20:00,22,20,14,24,30,25,135
2024-03-02 21:30:00,15,11,5,18,15,11,75
2024-03-02 21:40:00,19,16,5,15,14,15,84
2024-03-02 21:50:00,25,15,1,14,13,14,82
2024-03-02 22:00:00,22,16,7,19,19,19,102
2024-03-02 22:10:00,17,13,4,23,21,18,96
2024-03-02 22:20:00,21,15,10,22,20,21,109
2024-03-02 22:30:00,13,11,3,17,18,12,74
2024-03-02 22:40:00,18,13,3,10,11,9,64
2024-03-02 22:50:00,21,19,3,9,8,10,70
2024-03-02 23:00:00,16,14,6,23,22,17,98
2024-03-02 23:10:00,15,10,2,11,12,11,61
2024-03-02 23:20:00,8,8,8,9,10,8,51
2024-03-02 23:30:00,14,11,2,8,8,7,50
2024-03-02 23:40:00,7,7,2,16,14,13,59
2024-03-02 23:50:00,20,16,3,8,6,6,59
2024-03-03 00:00:00,12,9,6,11,10,13,61
2024-03-03 00:10:00,16,10,6,9,7,5,53
2024-03-03 00:20:00,9,10,5,5,4,4,37
2024-03-03 00:30:00,8,6,2,6,5,6,33
2024-03-03 00:40:00,15,12,6,8,7,4,52
2024-03-03 00:50:00,6,6,1,6,5,4,28
2024-03-03 01:00:00,11,12,6,12,8,9,58
2024-03-03 01:10:00,7,7,3,7,6,6,36
2024-03-03 01:20:00,5,5,3,9,7,8,37
2024-03-03 01:30:00,10,9,3,7,6,6,41
2024-03-03 01:40:00,4,3,8,9,8,9,41
2024-03-03 01:50:00,4,4,3,3,3,4,21
2024-03-03 02:00:00,4,4,4,8,7,5,32
2024-03-03 02:10:00,4,4,13,7,5,5,38
2024-03-03 02:20:00,6,4,1,6,5,5,27
2024-03-03 02:30:00,8,7,15,8,8,5,51
2024-03-03 02:40:00,5,5,4,3,3,3,23
2024-03-03 02:50:00,3,3,6,0,0,0,12
2024-03-03 03:00:00,6,8,13,9,6,6,48
2024-03-03 03:10:00,6,4,10,3,2,2,27
2024-03-03 03:20:00,5,5,12,10,9,10,51
2024-03-03 03:30:00,0,0,1,3,3,3,10
2024-03-03 03:40:00,6,6,1,2,4,2,21
2024-03-03 03:50:00,5,3,5,2,1,3,19
2024-03-03 04:00:00,3,3,0,3,2,2,13
2024-03-03 04:10:00,0,0,0,4,5,4,13
2024-03-03 04:20:00,4,3,0,2,2,1,12
2024-03-03 04:30:00,1,1,0,1,1,1,5
2024-03-03 04:40:00,4,5,0,6,5,5,25
2024-03-03 04:50:00,7,5,0,6,4,4,26
2024-03-03 05:00:00,1,1,2,5,4,6,19
2024-03-03 05:10:00,6,5,2,2,2,4,21
2024-03-03 05:20:00,6,6,5,6,5,4,32
2024-03-03 05:30:00,11,7,5,4,5,5,37
2024-03-03 05:40:00,4,3,2,5,4,4,22
2024-03-03 05:50:00,3,1,0,4,4,3,15
2024-03-03 06:00:00,5,4,1,1,1,2,14
2024-03-03 06:10:00,3,3,6,7,5,6,30
2024-03-03 06:20:00,3,2,1,3,3,3,15
2024-03-03 06:30:00,3,2,0,4,3,7,19
2024-03-03 06:40:00,5,7,3,4,4,4,27
2024-03-03 06:50:00,2,2,0,3,3,4,14
2024-03-03 07:00:00,2,2,0,0,0,0,4
2024-03-03 07:10:00,5,5,1,7,6,6,30
2024-03-03 07:20:00,4,7,0,2,2,2,17
2024-03-03 07:30:00,7,4,6,7,7,7,38
2024-03-03 07:40:00,6,7,4,5,4,5,31
2024-03-03 07:50:00,7,5,7,9,10,10,48
2024-03-03 08:00:00,6,8,4,9,8,7,42
2024-03-03 08:10:00,8,8,7,11,11,8,53
2024-03-03 08:20:00,5,6,5,4,5,3,28
2024-03-03 08:30:00,12,11,4,13,12,15,67
2024-03-03 08:40:00,11,14,4,10,9,11,59
2024-03-03 08:50:00,7,8,4,13,11,12,55
2024-03-03 09:00:00,14,11,9,15,14,15,78
2024-03-03 09:10:00,20,22,13,12,10,13,90
2024-03-03 09:20:00,22,16,8,16,14,17,93
2024-03-03 09:30:00,21,21,13,28,25,21,129
2024-03-03 09:40:00,22,17,18,26,26,17,126
