datetime,D21Z,V22Z,D51Z,V52Z,D81Z,V82Z,D111Z,V112Z,Total
2024-03-02 06:00:00,0,0,3,18,4,3,6,5,39
2024-03-02 06:10:00,2,2,6,25,1,1,4,5,46
2024-03-02 06:20:00,4,3,5,23,3,1,8,7,54
2024-03-02 06:30:00,2,2,7,21,1,1,11,10,55
2024-03-02 06:40:00,4,4,7,22,0,0,9,14,60
2024-03-02 06:50:00,5,5,6,20,2,1,12,13,64
2024-03-02 07:00:00,2,2,7,12,1,1,7,9,41
2024-03-02 07:10:00,2,1,5,17,4,5,9,11,54
2024-03-02 07:20:00,0,0,10,18,2,2,9,9,50
2024-03-02 07:30:00,1,0,17,27,8,6,10,9,78
2024-03-02 07:40:00,5,1,12,28,8,4,10,10,78
2024-03-02 07:50:00,6,1,12,27,2,4,7,7,66
2024-03-02 08:00:00,1,1,15,19,6,6,16,15,79
2024-03-02 08:10:00,3,1,16,28,3,3,13,11,78
2024-03-02 08:20:00,3,2,11,20,11,8,14,12,81
2024-03-02 08:30:00,2,2,22,25,8,11,21,17,108
2024-03-02 08:40:00,6,6,16,36,6,6,23,20,119
2024-03-02 08:50:00,5,2,18,38,6,6,17,16,108
2024-03-02 09:00:00,5,3,20,37,7,8,15,15,110
2024-03-02 09:10:00,11,2,19,51,10,5,27,19,144
2024-03-02 09:20:00,5,1,28,45,7,8,25,22,141
2024-03-02 09:30:00,12,4,26,38,12,7,30,25,154
2024-03-02 09:40:00,2,1,27,65,17,12,33,26,183
2024-03-02 09:50:00,17,11,27,43,12,9,37,31,187
2024-03-02 10:00:00,9,3,33,44,20,10,24,21,164
2024-03-02 10:10:00,11,4,32,51,13,7,38,33,189
2024-03-02 10:20:00,1,1,30,48,10,6,35,29,160
2024-03-02 10:30:00,2,2,29,46,12,8,34,30,163
2024-03-02 10:40:00,12,4,24,51,14,9,39,30,183
2024-03-02 10:50:00,7,3,29,45,16,11,37,27,175
2024-03-02 11:00:00,5,1,25,46,17,12,44,36,186
2024-03-02 11:10:00,7,6,32,58,9,6,35,27,180
2024-03-02 11:20:00,3,1,31,61,16,15,39,31,197
2024-03-02 11:30:00,11,6,33,59,23,13,34,25,204
2024-03-02 11:40:00,10,8,31,57,9,11,43,32,201
2024-03-02 11:50:00,7,4,35,64,17,31,64,41,263
2024-03-02 12:00:00,8,5,24,55,21,16,44,38,211
2024-03-02 12:10:00,14,6,33,52,15,8,58,34,220
2024-03-02 12:20:00,6,3,33,62,25,15,74,29,247
2024-03-02 12:30:00,11,7,29,63,8,10,61,39,228
2024-03-02 12:40:00,6,4,30,56,16,10,76,49,247
2024-03-02 12:50:00,9,3,30,65,17,10,63,30,227
2024-03-02 13:00:00,9,4,32,68,20,11,57,31,232
2024-03-02 13:10:00,13,8,26,60,23,13,70,35,248
2024-03-02 13:20:00,11,5,26,63,20,9,68,33,235
2024-03-02 13:30:00,16,10,44,73,25,17,60,42,287
2024-03-02 13:40:00,11,5,27,51,19,12,66,38,229
2024-03-02 13:50:00,8,2,26,38,23,15,64,29,205
2024-03-02 14:00:00,23,13,41,64,20,12,77,35,285
2024-03-02 14:10:00,16,6,24,17,19,14,87,30,213
2024-03-02 14:20:00,17,6,41,59,20,14,70,36,263
2024-03-02 14:30:00,16,6,34,50,20,12,76,34,248
2024-03-02 14:40:00,13,10,26,77,21,10,77,25,259
2024-03-02 14:50:00,15,5,35,59,21,17,73,32,257
2024-03-02 15:00:00,10,4,35,80,23,14,73,26,265
2024-03-02 15:10:00,7,3,30,56,14,11,68,33,222
2024-03-02 15:20:00,10,5,35,52,14,12,91,27,246
2024-03-02 15:30:00,8,3,22,59,13,10,64,28,207
2024-03-02 15:40:00,8,2,32,63,17,14,60,28,224
2024-03-02 15:50:00,15,9,38,52,20,10,70,33,247
2024-03-02 16:00:00,11,4,22,42,17,23,62,39,220
2024-03-02 16:10:00,12,3,21,45,14,12,57,25,189
2024-03-02 16:20:00,10,4,19,48,19,9,66,33,208
2024-03-02 16:30:00,12,5,15,49,10,8,60,33,192
2024-03-02 16:40:00,15,5,27,55,20,12,79,26,239
2024-03-02 16:50:00,6,4,18,77,11,11,65,35,227
2024-03-02 17:00:00,15,6,32,52,17,10,70,40,242
2024-03-02 17:10:00,12,7,20,62,19,10,104,30,264
2024-03-02 17:20:00,12,9,19,49,17,11,72,20,209
2024-03-02 17:30:00,11,5,19,56,27,10,61,29,218
2024-03-02 17:40:00,7,3,22,45,32,16,73,32,230
2024-03-02 17:50:00,13,6,22,68,31,10,100,23,273
2024-03-02 18:00:00,8,7,28,47,23,15,88,30,246
2024-03-02 18:10:00,10,6,22,53,16,11,93,34,245
2024-03-02 18:20:00,12,6,16,57,15,8,74,21,209
2024-03-02 18:30:00,15,4,32,49,8,8,91,35,242
2024-03-02 18:40:00,33,7,30,71,12,10,59,30,252
2024-03-02 18:50:00,5,3,29,65,14,13,80,25,234
2024-03-02 19:00:00,12,6,12,76,10,13,57,31,217
2024-03-02 19:10:00,7,6,23,56,14,14,62,31,213
2024-03-02 19:20:00,8,4,19,66,10,13,55,29,204
2024-03-02 19:30:00,5,4,8,59,7,12,59,28,182
2024-03-02 19:40:00,2,2,16,45,10,10,53,19,157
2024-03-02 19:50:00,4,1,13,40,8,9,50,34,159
2024-03-02 20:00:00,2,1,13,39,13,11,49,19,147
2024-03-02 20:10:00,3,0,11,43,9,9,44,29,148
2024-03-02 20:20:00,12,2,13,41,8,8,44,31,159
2024-03-02 20:30:00,4,0,11,44,10,10,53,20,152
2024-03-02 20:40:00,6,1,11,31,11,7,42,28,137
2024-03-02 20:50:00,5,5,15,35,8,6,36,24,134
2024-03-02 21:00:00,4,2,22,31,8,4,30,18,119
2024-03-02 21:10:00,1,1,6,25,11,12,37,23,116
2024-03-02 21:20:00,5,3,5,27,4,6,47,25,122
2024-03-02 21:30:00,2,1,9,22,5,6,37,27,109
2024-03-02 21:40:00,1,1,5,31,8,9,38,41,134
2024-03-02 21:50:00,5,4,8,28,8,6,42,32,133
2024-03-02 22:00:00,5,4,6,18,4,2,37,21,97
2024-03-02 22:10:00,2,1,9,30,5,7,40,30,124
2024-03-02 22:20:00,2,0,5,27,7,7,47,23,118
2024-03-02 22:30:00,1,1,5,20,4,7,34,24,96
2024-03-02 22:40:00,3,1,3,20,6,4,42,23,102
2024-03-02 22:50:00,0,0,5,28,3,3,36,25,100
2024-03-02 23:00:00,1,1,4,22,4,2,48,20,102
2024-03-02 23:10:00,5,6,3,28,3,3,34,29,111
2024-03-02 23:20:00,3,2,9,35,3,4,28,27,111
2024-03-02 23:30:00,1,1,5,17,5,8,28,26,91
2024-03-02 23:40:00,2,0,5,21,2,2,31,27,90
