datetime,D1Z,D2Z,D3Z,D4Z,D5Z,D6Z,D7Z,D8Z,D9Z,D10Z,D11Z,D12Z,D13Z,D14Z,D15Z,D16Z,D17Z,D18Z,D19Z,D20Z,D21Z,D22Z,D23Z,D24Z,Total
2024-03-01 08:40:00,0,52,3,67,41,44,44,40,54,55,0,0,0,0,23,0,78,79,0,0,16,16,77,78,767
2024-03-01 08:50:00,0,42,1,68,34,33,32,32,52,55,0,0,0,0,22,0,74,73,0,0,19,19,61,60,677
2024-03-01 09:00:00,0,43,0,58,30,36,37,36,49,53,0,0,1,1,29,0,63,63,0,0,25,25,57,58,664
2024-03-01 09:10:00,1,49,1,65,36,39,39,37,57,59,0,0,0,0,30,0,67,67,0,0,24,24,61,61,717
2024-03-01 09:20:00,1,38,3,66,40,43,42,39,53,54,0,0,2,2,30,0,73,73,0,0,22,22,72,71,746
2024-03-01 09:30:00,0,49,1,74,38,37,37,33,58,59,0,0,1,1,29,0,69,69,0,0,23,23,71,70,742
2024-03-01 09:40:00,0,70,0,100,34,38,39,38,76,76,0,0,1,1,36,0,79,78,0,0,33,33,60,60,852
2024-03-01 09:50:00,1,66,1,94,46,48,46,42,79,88,0,0,1,1,40,0,96,98,0,0,31,30,93,91,992
2024-03-01 10:00:00,0,42,1,72,36,41,39,36,60,67,0,0,2,2,30,0,83,83,0,0,30,30,76,76,806
2024-03-01 10:10:00,0,54,2,81,55,56,54,51,60,61,0,0,0,0,27,0,90,93,0,0,24,22,88,89,907
2024-03-01 10:20:00,0,47,2,67,40,50,52,44,56,60,0,0,0,0,35,0,87,86,0,0,26,25,88,88,853
2024-03-01 10:30:00,0,53,3,78,39,33,33,31,57,62,0,0,1,1,28,0,74,72,0,0,21,20,68,67,741
2024-03-01 10:40:00,1,48,2,80,38,46,44,40,58,61,0,0,1,1,30,0,80,81,0,0,26,26,78,77,818
2024-03-01 10:50:00,1,51,3,76,42,43,43,38,61,64,0,0,0,0,30,0,80,77,0,0,29,28,64,64,794
2024-03-01 11:00:00,0,57,4,80,41,44,43,40,66,66,0,0,0,0,29,0,95,96,0,0,26,26,94,94,901
2024-03-01 11:10:00,0,56,1,89,41,45,44,39,69,70,0,0,3,5,45,0,83,82,0,0,37,37,77,75,898
2024-03-01 11:20:00,1,59,0,89,69,39,38,37,78,78,0,0,2,1,36,0,90,92,0,0,31,31,85,85,941
2024-03-01 11:30:00,0,67,0,88,53,54,51,49,73,78,0,0,0,0,30,0,109,110,0,0,23,23,104,101,1013
2024-03-01 11:40:00,2,63,2,90,60,63,64,53,79,80,0,0,0,0,42,0,109,108,0,0,31,30,105,105,1086
2024-03-01 11:50:00,0,69,7,91,38,35,36,34,71,74,0,0,1,1,30,0,92,92,0,0,28,27,85,85,896
2024-03-01 12:00:00,0,71,1,100,62,45,45,40,83,87,0,0,0,0,35,0,109,108,0,0,31,31,93,92,1033
2024-03-01 12:10:00,1,66,2,89,65,39,38,37,86,89,0,0,0,0,42,0,108,107,0,0,38,38,106,106,1057
2024-03-01 12:20:00,0,59,2,95,36,40,39,36,87,92,0,0,0,0,40,0,104,104,0,0,32,31,105,105,1007
2024-03-01 12:30:00,1,66,0,100,39,39,40,36,85,88,0,0,1,1,36,0,107,106,0,0,32,32,99,99,1007
2024-03-01 12:40:00,2,80,1,106,44,44,42,41,95,102,0,0,0,0,43,0,111,111,0,0,41,41,104,104,1112
2024-03-01 12:50:00,0,71,0,101,78,46,42,34,85,90,0,0,0,0,48,0,98,98,0,0,41,41,102,102,1077
2024-03-01 13:00:00,0,64,1,109,54,57,58,50,98,99,0,0,2,3,38,0,139,141,0,0,34,34,128,128,1237
2024-03-01 13:10:00,0,67,0,97,79,77,74,67,88,91,0,0,2,3,47,0,127,126,0,0,40,40,121,121,1267
2024-03-01 13:20:00,0,74,1,100,65,71,72,68,83,88,0,0,0,0,42,0,131,131,0,0,36,36,130,130,1258
2024-03-01 13:30:00,0,77,0,96,130,77,80,73,87,87,0,0,1,1,47,0,128,129,0,0,41,41,120,122,1337
2024-03-01 13:40:00,0,66,2,100,47,54,53,49,83,87,0,0,0,0,37,0,121,119,0,0,34,33,112,113,1110
2024-03-01 13:50:00,1,57,1,88,60,63,64,60,83,87,0,0,0,0,29,0,136,136,0,0,25,25,128,128,1171
2024-03-01 14:00:00,1,75,0,105,67,67,66,62,93,96,0,0,0,0,33,0,133,133,0,0,26,26,128,126,1237
2024-03-01 14:10:00,0,73,0,109,78,74,73,67,94,99,0,0,0,0,52,0,135,135,0,0,50,48,127,126,1340
2024-03-01 14:20:00,2,72,3,99,65,66,67,61,87,90,0,0,0,0,32,0,135,135,0,0,24,23,134,134,1229
2024-03-01 14:30:00,2,67,2,120,128,66,64,58,99,107,0,0,0,0,46,0,131,130,0,0,40,40,123,124,1347
2024-03-01 14:40:00,0,64,0,104,62,64,65,62,95,96,0,0,0,0,46,0,129,127,0,0,43,43,120,118,1238
2024-03-01 14:50:00,1,64,0,106,66,66,66,63,89,95,0,0,0,0,47,0,130,130,0,0,38,38,128,128,1255
2024-03-01 15:00:00,1,55,2,90,62,71,69,68,88,90,0,0,0,0,31,0,139,137,0,0,29,28,124,123,1207
2024-03-01 15:10:00,0,63,1,95,91,77,74,71,80,84,0,0,0,0,42,0,117,117,0,0,30,28,119,121,1210
2024-03-01 15:20:00,1,59,1,95,69,75,75,66,81,87,0,0,1,1,37,0,147,148,0,0,26,27,136,137,1269
2024-03-01 15:30:00,0,80,1,97,67,75,77,71,89,90,0,0,0,0,38,0,138,139,0,0,33,34,132,132,1293
2024-03-01 15:40:00,1,60,0,99,119,63,62,58,84,86,0,0,0,0,46,0,109,109,0,0,35,34,106,107,1178
2024-03-01 15:50:00,0,73,0,107,63,68,69,63,95,100,0,0,0,0,40,0,139,140,0,0,34,34,138,135,1298
2024-03-01 16:00:00,0,62,1,84,64,66,65,63,70,72,0,0,0,0,32,0,113,113,0,0,25,25,108,108,1071
2024-03-01 16:10:00,0,65,0,90,46,50,51,47,87,88,0,0,0,0,35,0,117,118,0,0,28,28,109,109,1068
2024-03-01 16:20:00,0,69,1,92,98,72,71,67,84,85,0,0,0,0,38,0,119,121,0,0,32,32,123,124,1228
2024-03-01 16:30:00,1,48,2,80,73,50,49,44,70,75,0,0,1,2,35,0,101,104,0,0,27,27,101,101,991
2024-03-01 16:40:00,1,54,0,83,66,75,77,75,76,76,0,0,0,0,34,0,142,139,0,0,35,35,126,124,1218
2024-03-01 16:50:00,0,60,0,92,69,68,67,63,88,89,0,0,0,0,30,0,129,128,0,0,27,27,123,122,1182
2024-03-01 17:00:00,0,56,1,85,61,63,63,60,77,81,0,0,0,0,31,0,125,128,0,0,28,27,110,109,1105
2024-03-01 17:10:00,0,67,1,104,69,66,66,63,92,93,0,0,0,0,50,0,125,125,0,0,36,36,124,124,1241
2024-03-01 17:20:00,0,69,1,93,67,66,65,61,85,90,0,0,0,0,40,0,124,124,0,0,38,37,114,114,1188
2024-03-01 17:30:00,1,66,1,103,57,67,67,62,91,93,0,0,1,1,48,0,127,127,0,0,40,40,126,126,1244
2024-03-01 17:40:00,0,72,0,102,66,72,72,65,98,98,0,0,0,0,39,0,136,139,0,0,34,33,135,135,1296
2024-03-01 17:50:00,0,72,2,103,56,57,57,55,97,98,0,0,0,0,35,0,132,134,0,0,32,33,118,118,1199
2024-03-01 18:00:00,0,74,2,106,67,75,73,63,97,101,0,0,0,0,45,0,140,141,0,0,38,37,137,136,1332
2024-03-01 18:10:00,0,64,2,86,58,58,59,58,76,79,0,0,0,0,39,0,107,106,0,0,31,31,107,106,1067
2024-03-01 18:20:00,0,72,0,94,54,57,56,52,79,85,0,0,0,0,42,0,107,109,0,0,31,31,108,108,1085
2024-03-01 18:30:00,0,55,0,85,59,55,56,56,81,82,0,0,0,0,42,0,103,104,0,0,39,39,101,101,1058
2024-03-01 18:40:00,1,64,1,97,68,49,48,48,85,89,0,0,0,0,44,0,91,91,0,0,35,35,93,93,1032
2024-03-01 18:50:00,0,80,0,106,40,44,45,40,94,95,0,0,0,0,44,0,103,105,0,0,39,39,97,97,1068
2024-03-01 19:00:00,0,78,1,104,46,47,47,44,96,99,0,0,0,0,41,0,107,107,0,0,35,35,106,106,1099
2024-03-01 19:10:00,0,49,0,63,53,48,49,44,56,56,0,0,1,1,21,0,93,92,0,0,18,18,87,87,836
2024-03-01 19:20:00,0,49,0,72,47,48,47,46,65,66,0,0,0,0,34,0,96,97,0,0,29,29,89,88,902
2024-03-01 19:30:00,0,59,1,75,46,49,50,46,64,66,0,0,0,0,32,0,87,87,0,0,27,27,83,82,881
2024-03-01 19:40:00,4,41,0,56,46,46,46,45,50,51,0,0,0,0,28,0,79,80,0,0,23,23,80,80,778
2024-03-01 19:50:00,0,30,0,52,53,53,53,52,47,49,0,0,0,0,25,0,81,79,0,0,23,23,77,77,774
2024-03-01 20:00:00,0,36,0,45,39,37,37,37,40,41,0,0,0,0,22,0,59,59,0,0,16,16,61,62,607
2024-03-01 20:10:00,0,34,3,54,38,39,38,35,52,51,0,0,0,0,25,0,70,69,0,0,20,20,66,65,679
2024-03-01 20:20:00,0,27,0,29,35,40,38,33,29,29,0,0,0,0,16,0,54,54,0,0,12,12,59,59,526
2024-03-01 20:30:00,0,26,1,38,25,28,30,28,37,39,0,0,0,0,11,0,62,61,0,0,8,8,60,60,522
2024-03-01 20:40:00,1,20,1,31,35,35,34,32,28,28,0,0,0,0,17,0,46,46,0,0,12,11,52,52,481
2024-03-01 20:50:00,0,19,0,27,38,39,39,37,25,27,0,0,0,0,19,0,53,52,0,0,12,12,56,55,510
2024-03-01 21:00:00,0,22,0,28,32,32,31,29,27,28,0,0,0,0,21,0,40,40,0,0,17,17,41,40,445
2024-03-01 21:10:00,0,24,0,32,23,25,25,24,31,33,0,0,0,0,13,0,47,46,0,0,11,12,52,52,450
2024-03-01 21:20:00,0,19,0,33,31,31,30,29,32,33,0,0,0,0,23,0,38,37,0,0,17,17,40,41,451
2024-03-01 21:30:00,0,21,0,34,21,23,24,25,32,33,0,0,0,0,19,0,41,41,0,0,16,15,42,42,429
2024-03-01 21:40:00,0,24,1,40,17,22,21,19,39,40,0,0,0,0,19,0,42,42,0,0,14,14,50,50,454
