datetime,V21Z,V22Z,V81Z,V82Z,V321Z,Total
2024-03-03 00:10:00,0,22,5,8,1,36
2024-03-03 00:20:00,1,13,5,15,0,34
2024-03-03 00:30:00,1,18,5,14,0,38
2024-03-03 00:40:00,0,21,4,10,0,35
2024-03-03 00:50:00,2,11,2,5,1,21
2024-03-03 01:00:00,2,21,0,7,0,30
2024-03-03 01:10:00,0,11,2,9,0,22
2024-03-03 01:20:00,0,18,2,8,0,28
2024-03-03 01:30:00,1,14,2,12,0,29
2024-03-03 01:40:00,1,14,0,4,0,19
2024-03-03 01:50:00,0,6,2,7,0,15
2024-03-03 02:00:00,1,13,4,10,0,28
2024-03-03 02:10:00,0,7,6,9,0,22
2024-03-03 02:20:00,0,7,1,2,0,10
2024-03-03 02:30:00,2,4,3,7,0,16
2024-03-03 02:40:00,0,5,5,7,0,17
2024-03-03 02:50:00,0,3,1,1,0,5
2024-03-03 03:00:00,1,13,1,4,0,19
2024-03-03 03:10:00,0,3,1,3,0,7
2024-03-03 03:20:00,0,10,2,6,0,18
2024-03-03 03:30:00,0,7,0,4,0,11
2024-03-03 03:40:00,0,6,0,4,0,10
2024-03-03 03:50:00,0,5,0,3,0,8
2024-03-03 04:00:00,0,1,5,5,0,11
2024-03-03 04:10:00,0,6,1,2,0,9
2024-03-03 04:20:00,0,7,1,7,0,15
2024-03-03 04:30:00,0,8,1,6,0,15
2024-03-03 04:40:00,0,3,3,4,0,10
2024-03-03 04:50:00,0,4,7,8,0,19
2024-03-03 05:00:00,0,6,6,8,0,20
2024-03-03 05:10:00,0,8,4,7,0,19
2024-03-03 05:20:00,0,3,4,7,0,14
2024-03-03 05:30:00,0,13,2,10,0,25
2024-03-03 05:40:00,0,12,8,9,0,29
2024-03-03 05:50:00,0,7,4,9,0,20
2024-03-03 06:00:00,0,12,2,5,0,19
2024-03-03 06:10:00,0,16,2,5,0,23
2024-03-03 06:20:00,0,3,5,7,0,15
2024-03-03 06:30:00,0,6,2,5,0,13
2024-03-03 06:40:00,0,12,3,6,0,21
2024-03-03 06:50:00,0,8,5,5,0,18
2024-03-03 07:00:00,0,10,4,2,0,16
2024-03-03 07:10:00,0,3,0,1,0,4
2024-03-03 07:20:00,0,2,3,5,0,10
2024-03-03 07:30:00,0,10,7,2,0,19
2024-03-03 07:40:00,0,6,9,7,1,23
2024-03-03 07:50:00,0,9,10,6,0,25
2024-03-03 08:00:00,0,9,3,6,0,18
2024-03-03 08:10:00,0,7,4,8,3,22
2024-03-03 08:20:00,0,6,2,9,2,19
2024-03-03 08:30:00,0,4,8,11,0,23
2024-03-03 08:40:00,1,6,4,9,2,22
2024-03-03 08:50:00,0,13,12,14,3,42
2024-03-03 09:00:00,0,18,14,7,1,40
2024-03-03 09:10:00,1,18,14,20,4,57
2024-03-03 09:20:00,1,21,14,18,4,58
2024-03-03 09:30:00,0,16,14,18,3,51
2024-03-03 09:40:00,1,23,14,17,2,57
2024-03-03 09:50:00,4,28,16,26,3,77
2024-03-03 10:00:00,2,29,16,23,3,73
2024-03-03 10:10:00,0,22,24,31,2,79
2024-03-03 10:20:00,2,27,11,18,3,61
2024-03-03 10:30:00,0,25,14,24,3,66
2024-03-03 10:40:00,0,34,12,32,4,82
2024-03-03 10:50:00,0,25,20,31,3,79
2024-03-03 11:00:00,1,33,11,25,5,75
2024-03-03 11:10:00,0,19,6,30,5,60
2024-03-03 11:20:00,3,29,13,22,5,72
2024-03-03 11:30:00,6,34,12,27,3,82
2024-03-03 11:40:00,3,31,7,32,4,77
2024-03-03 11:50:00,0,31,15,38,5,89
2024-03-03 12:00:00,0,35,19,19,4,77
2024-03-03 12:10:00,1,32,15,17,10,75
2024-03-03 12:20:00,1,33,18,33,5,90
2024-03-03 12:30:00,2,37,24,32,2,97
2024-03-03 12:40:00,0,30,19,21,5,75
2024-03-03 12:50:00,0,40,33,23,1,97
2024-03-03 13:00:00,2,51,20,20,5,98
