datetime,V11Z,V12Z,D21Z,D22Z,V23Z,V24Z,V33Z,V31Z,V32Z,V41Z,D51Z,V52Z,V101Z,D111Z,V112Z,V122Z,Total
2024-03-01 16:00:00,41,23,52,19,34,18,0,13,1,33,14,29,55,25,36,13,406
2024-03-01 16:10:00,49,31,64,20,36,9,0,11,8,61,20,45,49,35,42,10,490
2024-03-01 16:20:00,52,36,65,22,37,17,0,18,6,49,21,30,48,31,39,13,484
2024-03-01 16:30:00,41,24,64,25,26,15,0,15,2,49,24,25,62,25,41,10,448
2024-03-01 16:40:00,39,31,64,25,19,26,0,18,5,59,31,37,62,31,54,20,521
2024-03-01 16:50:00,44,31,52,28,32,19,0,18,7,50,21,40,51,28,39,12,472
2024-03-01 17:00:00,42,27,56,26,35,20,0,17,7,48,12,23,62,39,52,11,477
2024-03-01 17:10:00,48,35,73,30,39,19,0,12,4,50,27,39,64,35,49,18,542
2024-03-01 17:20:00,32,18,47,20,19,12,0,11,4,37,16,26,48,26,35,5,356
2024-03-01 17:30:00,43,36,51,24,30,18,0,11,4,61,23,35,59,30,46,16,487
2024-03-01 17:40:00,46,52,63,23,37,23,0,28,1,37,22,30,65,32,55,16,530
2024-03-01 17:50:00,48,51,60,28,38,17,0,19,6,58,21,26,46,23,36,8,485
2024-03-01 18:00:00,28,29,39,18,25,14,0,23,7,38,24,34,40,25,29,18,391
2024-03-01 18:10:00,43,41,53,15,29,12,0,20,4,54,20,44,59,24,41,17,476
2024-03-01 18:20:00,47,64,54,16,28,16,0,27,2,58,20,42,54,32,39,14,513
2024-03-01 18:30:00,37,49,44,21,32,18,0,30,0,42,31,50,51,24,34,13,476
2024-03-01 18:40:00,48,62,50,25,34,22,0,25,0,44,25,44,48,17,30,16,490
2024-03-01 18:50:00,51,63,59,17,45,13,0,23,0,49,35,57,38,23,31,25,529
2024-03-01 19:00:00,44,53,53,22,36,23,0,30,1,59,24,58,49,22,33,25,532
2024-03-01 19:10:00,37,53,34,24,26,21,0,33,0,42,25,45,48,23,33,22,466
2024-03-01 19:20:00,49,59,50,20,45,19,0,30,2,30,23,49,38,16,31,12,473
2024-03-01 19:30:00,28,40,30,17,32,16,0,28,3,35,25,37,39,18,33,45,426
2024-03-01 19:40:00,22,29,25,18,16,13,0,18,4,23,22,33,44,17,35,25,344
2024-03-01 19:50:00,45,59,45,18,35,15,0,27,9,26,19,46,42,18,29,21,454
2024-03-01 20:00:00,37,53,36,16,29,9,0,18,10,31,22,43,28,25,33,22,412
2024-03-01 20:10:00,25,40,30,12,23,13,0,22,2,28,21,33,22,25,25,25,346
2024-03-01 20:20:00,31,44,31,14,30,18,0,16,2,43,27,48,30,29,28,24,415
2024-03-01 20:30:00,36,52,35,6,38,5,0,12,4,40,28,44,50,28,32,32,442
2024-03-01 20:40:00,35,88,33,16,34,18,0,22,1,33,21,30,33,24,31,29,448
2024-03-01 20:50:00,29,52,35,8,25,5,0,8,3,17,25,28,21,17,15,21,309
2024-03-01 21:00:00,14,26,14,9,14,6,0,13,3,31,21,29,25,22,22,25,274
2024-03-01 21:10:00,15,25,13,11,15,11,0,19,3,23,21,25,25,20,19,22,267
2024-03-01 21:20:00,29,39,27,7,27,6,0,9,1,44,32,47,21,15,20,26,350
2024-03-01 21:30:00,33,50,50,7,30,7,0,7,3,17,19,25,23,14,22,13,320
2024-03-01 21:40:00,27,43,28,10,28,11,0,13,2,20,24,30,21,21,17,32,327
2024-03-01 21:50:00,20,38,24,11,24,9,0,12,3,33,26,38,18,20,21,28,325
2024-03-01 22:00:00,28,42,23,13,23,11,0,19,3,16,16,26,24,22,30,23,319
2024-03-01 22:10:00,34,44,31,10,28,8,0,14,3,24,17,28,20,23,21,19,324
2024-03-01 22:20:00,26,38,24,11,22,8,0,15,5,21,18,24,24,25,26,23,310
2024-03-01 22:30:00,25,38,24,5,28,3,0,6,0,16,23,23,31,26,22,20,290
2024-03-01 22:40:00,21,40,23,5,25,3,0,7,0,22,24,21,23,18,15,23,270
2024-03-01 22:50:00,16,24,17,13,18,14,0,29,0,16,14,20,25,27,27,17,277
2024-03-01 23:00:00,19,30,21,8,25,10,0,14,0,18,21,23,11,19,16,19,254
2024-03-01 23:10:00,16,24,13,9,13,9,0,13,0,20,24,25,21,19,19,13,238
2024-03-01 23:20:00,24,30,21,6,17,5,0,11,2,44,20,36,12,17,13,11,269
2024-03-01 23:30:00,10,15,9,5,7,4,0,7,0,23,16,21,23,25,17,18,200
2024-03-01 23:40:00,16,28,14,4,15,4,0,6,1,18,17,24,19,24,18,22,230
2024-03-01 23:50:00,17,28,20,5,17,5,0,10,7,10,19,21,13,27,16,23,238
2024-03-02 00:00:00,14,20,11,10,13,6,0,14,0,19,16,21,11,17,16,14,202
2024-03-02 00:10:00,11,18,10,11,14,6,0,8,1,7,9,15,23,27,18,18,196
2024-03-02 00:20:00,13,20,15,3,13,1,0,2,1,17,12,19,14,16,10,18,174
2024-03-02 00:30:00,7,12,6,3,8,2,0,4,0,7,8,8,12,14,10,8,109
2024-03-02 00:40:00,12,17,13,5,9,3,0,6,0,6,7,8,10,11,9,12,128
2024-03-02 00:50:00,9,8,6,4,6,1,0,2,5,11,14,17,13,15,13,11,135
2024-03-02 01:00:00,13,16,9,1,9,1,0,2,3,8,10,12,10,12,11,5,122
2024-03-02 01:10:00,14,16,13,6,14,1,0,4,2,6,8,8,7,15,4,11,129
2024-03-02 01:20:00,14,28,13,8,15,3,0,4,2,12,13,16,11,9,8,12,168
2024-03-02 01:30:00,9,13,10,3,13,4,0,6,0,10,12,17,6,7,5,4,119
2024-03-02 01:40:00,6,13,7,6,9,2,0,4,3,7,10,8,8,13,5,14,115
2024-03-02 01:50:00,5,12,7,2,7,2,0,4,3,4,4,7,14,12,10,5,98
2024-03-02 02:00:00,3,2,2,4,3,3,0,5,2,9,9,10,1,2,4,3,62
2024-03-02 02:10:00,5,11,5,5,7,3,0,9,2,6,10,9,8,11,8,12,111
2024-03-02 02:20:00,6,10,5,4,6,0,0,0,0,3,3,5,3,8,2,10,65
2024-03-02 02:30:00,9,17,7,1,7,1,0,3,2,5,5,6,4,4,7,3,81
2024-03-02 02:40:00,7,13,6,1,7,1,0,2,0,4,3,5,2,4,1,5,61
2024-03-02 02:50:00,4,9,5,2,5,2,0,5,2,4,5,5,2,2,6,1,59
2024-03-02 03:00:00,8,12,6,3,8,1,0,2,3,4,3,2,5,13,10,6,86
2024-03-02 03:10:00,3,6,2,3,3,1,0,3,1,3,4,4,7,8,6,7,61
2024-03-02 03:20:00,5,6,3,4,4,0,0,2,3,9,14,13,4,6,5,6,84
2024-03-02 03:30:00,2,2,1,5,1,4,0,10,0,2,1,1,5,8,9,6,57
2024-03-02 03:40:00,2,8,4,5,4,5,0,8,2,5,8,7,3,5,9,6,81
