datetime,V22Z,V51Z,V52Z,V83Z,V111Z,V112Z,Total
2024-03-02 12:20:00,13,18,9,11,0,2,53
2024-03-02 12:30:00,6,11,16,26,4,2,65
2024-03-02 12:40:00,15,11,9,21,0,3,59
2024-03-02 12:50:00,12,15,12,21,0,2,62
2024-03-02 13:00:00,14,23,7,24,0,3,71
2024-03-02 13:10:00,9,14,6,30,1,1,61
2024-03-02 13:20:00,8,14,6,22,1,1,52
2024-03-02 13:30:00,10,8,6,31,1,2,58
2024-03-02 13:40:00,10,15,6,18,2,4,55
2024-03-02 13:50:00,11,14,6,29,0,3,63
2024-03-02 14:00:00,11,10,11,22,0,5,59
2024-03-02 14:10:00,12,9,12,17,1,3,54
2024-03-02 14:20:00,6,17,6,29,0,3,61
2024-03-02 14:30:00,13,9,9,18,0,3,52
2024-03-02 14:40:00,14,11,3,17,0,1,46
2024-03-02 14:50:00,9,7,8,16,0,0,40
2024-03-02 15:00:00,11,10,8,14,0,1,44
2024-03-02 15:10:00,5,14,9,16,0,1,45
2024-03-02 15:20:00,8,12,8,16,0,1,45
2024-03-02 15:30:00,10,10,7,18,0,1,46
2024-03-02 15:40:00,10,8,9,19,1,1,48
2024-03-02 15:50:00,5,12,6,20,1,10,54
2024-03-02 16:00:00,8,18,3,14,0,0,43
2024-03-02 16:10:00,7,18,10,32,0,5,72
2024-03-02 16:20:00,9,13,9,27,1,2,61
2024-03-02 16:30:00,3,10,9,22,1,1,46
2024-03-02 16:40:00,7,5,9,20,1,2,44
2024-03-02 16:50:00,9,11,7,25,0,2,54
2024-03-02 17:00:00,6,7,6,19,0,1,39
2024-03-02 17:10:00,10,13,7,24,0,2,56
2024-03-02 17:20:00,13,8,6,21,0,3,51
2024-03-02 17:30:00,7,8,11,13,0,3,42
2024-03-02 17:40:00,9,15,11,23,0,2,60
2024-03-02 17:50:00,10,9,12,19,1,2,53
2024-03-02 18:00:00,17,10,9,20,1,1,58
2024-03-02 18:10:00,10,6,13,21,0,2,52
2024-03-02 18:20:00,4,9,12,22,0,1,48
2024-03-02 18:30:00,10,9,11,33,0,1,64
2024-03-02 18:40:00,14,6,14,19,1,1,55
2024-03-02 18:50:00,13,5,9,23,1,4,55
2024-03-02 19:00:00,9,13,8,25,1,2,58
2024-03-02 19:10:00,3,10,8,24,0,3,48
2024-03-02 19:20:00,6,9,6,21,0,2,44
2024-03-02 19:30:00,9,9,7,21,1,1,48
2024-03-02 19:40:00,6,5,8,23,0,3,45
2024-03-02 19:50:00,7,7,10,24,0,1,49
2024-03-02 20:00:00,10,8,8,14,0,1,41
2024-03-02 20:10:00,14,9,6,22,0,1,52
2024-03-02 20:20:00,6,9,2,22,0,1,40
2024-03-02 20:30:00,7,3,6,18,0,1,35
2024-03-02 20:40:00,5,7,10,26,0,2,50
2024-03-02 20:50:00,4,8,5,25,0,0,42
2024-03-02 21:00:00,6,4,8,21,0,0,39
2024-03-02 21:10:00,2,3,10,11,0,1,27
2024-03-02 21:20:00,6,5,6,18,0,0,35
2024-03-02 21:30:00,4,3,8,18,0,1,34
2024-03-02 21:40:00,5,4,8,14,0,0,31
2024-03-02 21:50:00,5,3,4,16,0,0,28
2024-03-02 22:00:00,4,0,5,13,1,0,23
2024-03-02 22:10:00,4,8,6,18,0,0,36
2024-03-02 22:20:00,3,3,4,20,1,0,31
2024-03-02 22:30:00,1,1,4,20,0,0,26
2024-03-02 22:40:00,5,2,5,20,0,1,33
2024-03-02 22:50:00,6,15,2,16,0,2,41
2024-03-02 23:00:00,4,8,3,19,0,2,36
2024-03-02 23:10:00,2,4,3,17,0,0,26
2024-03-02 23:20:00,2,7,9,12,1,0,31
2024-03-02 23:30:00,1,6,5,17,0,1,30
2024-03-02 23:40:00,5,3,0,14,0,0,22
2024-03-02 23:50:00,0,7,3,10,0,1,21
2024-03-03 00:00:00,3,4,2,7,0,0,16
2024-03-03 00:10:00,3,7,5,10,0,0,25
2024-03-03 00:20:00,3,0,4,15,0,0,22
2024-03-03 00:30:00,1,2,6,14,0,0,23
2024-03-03 00:40:00,3,4,3,20,0,0,30
2024-03-03 00:50:00,3,5,4,11,0,0,23
2024-03-03 01:00:00,2,0,1,12,0,0,15
2024-03-03 01:10:00,1,2,5,12,0,0,20
2024-03-03 01:20:00,3,1,0,12,0,0,16
2024-03-03 01:30:00,2,0,4,10,0,0,16
2024-03-03 01:40:00,3,1,1,13,0,0,18
2024-03-03 01:50:00,1,0,2,7,0,0,10
2024-03-03 02:00:00,1,6,1,6,0,0,14
2024-03-03 02:10:00,1,1,1,8,0,0,11
2024-03-03 02:20:00,2,1,1,7,0,0,11
2024-03-03 02:30:00,1,0,2,7,0,0,10
2024-03-03 02:40:00,0,1,3,11,0,0,15
2024-03-03 02:50:00,0,2,1,5,0,0,8
2024-03-03 03:00:00,1,0,1,7,0,0,9
2024-03-03 03:10:00,0,4,1,6,0,0,11
2024-03-03 03:20:00,1,0,1,7,0,0,9
2024-03-03 03:30:00,2,0,4,9,0,0,15
2024-03-03 03:40:00,2,3,3,5,0,0,13
2024-03-03 03:50:00,0,2,1,3,0,0,6
2024-03-03 04:00:00,2,0,0,2,0,0,4
2024-03-03 04:10:00,0,2,2,4,0,0,8
2024-03-03 04:20:00,0,1,0,3,0,0,4
2024-03-03 04:30:00,1,0,3,4,0,0,8
2024-03-03 04:40:00,0,2,0,7,0,0,9
2024-03-03 04:50:00,1,0,0,9,0,0,10
2024-03-03 05:00:00,3,1,3,5,0,0,12
2024-03-03 05:10:00,0,2,3,7,0,0,12
2024-03-03 05:20:00,0,2,1,11,0,0,14
2024-03-03 05:30:00,0,1,4,17,0,0,22
2024-03-03 05:40:00,5,1,2,14,0,0,22
2024-03-03 05:50:00,2,1,3,14,0,0,20
2024-03-03 06:00:00,1,1,0,8,0,0,10
2024-03-03 06:10:00,5,8,5,10,0,1,29
2024-03-03 06:20:00,0,4,3,6,0,0,13
2024-03-03 06:30:00,1,1,1,10,0,0,13
2024-03-03 06:40:00,1,4,3,8,0,0,16
2024-03-03 06:50:00,0,2,3,6,0,1,12
2024-03-03 07:00:00,2,0,2,8,0,0,12
2024-03-03 07:10:00,3,8,3,10,0,0,24
2024-03-03 07:20:00,1,1,0,8,0,3,13
2024-03-03 07:30:00,0,3,1,8,0,0,12
2024-03-03 07:40:00,4,2,2,16,0,1,25
2024-03-03 07:50:00,0,3,5,6,0,1,15
2024-03-03 08:00:00,3,2,1,6,0,0,12
2024-03-03 08:10:00,1,4,3,15,0,1,24
2024-03-03 08:20:00,0,1,3,6,0,0,10
2024-03-03 08:30:00,3,3,2,14,1,0,23
2024-03-03 08:40:00,6,3,6,18,0,0,33
2024-03-03 08:50:00,4,2,4,20,0,2,32
2024-03-03 09:00:00,7,6,2,15,0,0,30
2024-03-03 09:10:00,10,1,1,17,1,1,31
2024-03-03 09:20:00,7,6,3,14,0,0,30
2024-03-03 09:30:00,5,1,2,18,0,0,26
2024-03-03 09:40:00,17,6,1,20,0,0,44
2024-03-03 09:50:00,4,8,3,21,1,4,41
2024-03-03 10:00:00,10,2,1,21,0,0,34
2024-03-03 10:10:00,5,5,7,13,2,1,33
2024-03-03 10:20:00,10,4,1,22,1,0,38
2024-03-03 10:30:00,9,8,10,13,0,0,40
2024-03-03 10:40:00,4,5,8,22,0,0,39
2024-03-03 10:50:00,7,14,4,19,0,3,47
2024-03-03 11:00:00,7,9,5,23,0,2,46
2024-03-03 11:10:00,10,9,2,19,0,1,41
2024-03-03 11:20:00,10,4,5,26,0,2,47
2024-03-03 11:30:00,11,8,8,20,0,0,47
2024-03-03 11:40:00,5,14,8,23,0,0,50
2024-03-03 11:50:00,8,11,8,22,0,0,49
2024-03-03 12:00:00,6,10,5,26,1,1,49
2024-03-03 12:10:00,9,10,6,26,0,2,53
2024-03-03 12:20:00,12,8,5,28,3,0,56
2024-03-03 12:30:00,6,10,4,25,1,1,47
2024-03-03 12:40:00,6,17,2,26,0,1,52
2024-03-03 12:50:00,9,13,5,35,0,2,64
2024-03-03 13:00:00,8,13,3,45,0,3,72
2024-03-03 13:10:00,15,18,7,36,0,1,77
2024-03-03 13:20:00,11,12,2,34,0,0,59
2024-03-03 13:30:00,8,17,8,29,1,2,65
2024-03-03 13:40:00,10,11,9,19,0,0,49
2024-03-03 13:50:00,5,8,7,26,0,1,47
2024-03-03 14:00:00,10,3,7,19,0,2,41
2024-03-03 14:10:00,8,9,7,22,0,4,50
2024-03-03 14:20:00,12,14,7,27,1,1,62
2024-03-03 14:30:00,10,12,5,17,0,2,46
2024-03-03 14:40:00,6,6,7,25,0,1,45
2024-03-03 14:50:00,12,10,8,24,1,0,55
2024-03-03 15:00:00,3,15,7,26,0,1,52
2024-03-03 15:10:00,10,11,10,19,2,3,55
2024-03-03 15:20:00,8,10,12,26,1,2,59
2024-03-03 15:30:00,9,14,8,21,0,3,55
2024-03-03 15:40:00,6,8,5,24,0,1,44
2024-03-03 15:50:00,11,13,8,18,3,1,54
2024-03-03 16:00:00,5,14,9,21,0,1,50
2024-03-03 16:10:00,11,9,14,18,3,1,56
2024-03-03 16:20:00,7,16,9,25,0,2,59
2024-03-03 16:30:00,3,7,8,21,2,2,43
2024-03-03 16:40:00,9,12,6,22,0,0,49
