datetime,D21Z,D22Z,D41Z,D42Z,D11Z,D12Z,D31Z,D32Z,Total
2024-03-02 20:20:00,29,24,14,2,0,0,0,0,69
2024-03-02 20:30:00,72,31,11,4,0,0,0,0,118
2024-03-02 20:40:00,33,26,14,3,0,0,1,0,77
2024-03-02 20:50:00,34,33,17,1,0,0,0,0,85
2024-03-02 21:00:00,31,25,8,1,0,0,0,0,65
2024-03-02 21:10:00,37,29,6,3,0,0,1,0,76
2024-03-02 21:20:00,21,16,10,7,0,0,1,0,55
2024-03-02 21:30:00,29,26,6,1,0,0,0,0,62
2024-03-02 21:40:00,26,24,11,8,0,0,0,0,69
2024-03-02 21:50:00,15,13,9,4,0,0,0,0,41
2024-03-02 22:00:00,22,21,15,2,0,0,0,0,60
2024-03-02 22:10:00,26,20,7,3,0,0,0,0,56
2024-03-02 22:20:00,29,25,18,3,0,0,1,0,76
2024-03-02 22:30:00,24,13,7,0,0,0,0,0,44
2024-03-02 22:40:00,28,27,11,0,0,0,0,0,66
2024-03-02 22:50:00,28,21,10,1,0,0,0,0,60
2024-03-02 23:00:00,22,16,8,2,0,0,0,0,48
2024-03-02 23:10:00,21,20,9,2,0,0,1,0,53
2024-03-02 23:20:00,22,18,13,2,0,0,0,0,55
2024-03-02 23:30:00,16,14,7,3,0,0,0,0,40
2024-03-02 23:40:00,14,14,7,3,0,0,0,0,38
2024-03-02 23:50:00,11,11,7,2,0,0,0,0,31
2024-03-03 00:00:00,28,23,6,3,0,0,1,0,61
2024-03-03 00:10:00,8,8,13,2,0,0,0,0,31
2024-03-03 00:20:00,16,16,5,0,0,0,1,0,38
2024-03-03 00:30:00,12,12,6,4,0,0,0,0,34
2024-03-03 00:40:00,14,15,7,1,0,0,0,0,37
2024-03-03 00:50:00,20,19,10,5,0,0,1,0,55
2024-03-03 01:00:00,5,6,3,1,0,0,0,0,15
2024-03-03 01:10:00,12,12,5,0,0,0,0,0,29
2024-03-03 01:20:00,11,11,5,2,0,0,0,0,29
2024-03-03 01:30:00,8,8,3,1,0,0,0,0,20
2024-03-03 01:40:00,11,14,5,0,0,0,0,0,30
2024-03-03 01:50:00,15,14,3,1,0,0,0,0,33
2024-03-03 02:00:00,12,10,6,1,0,0,0,0,29
2024-03-03 02:10:00,10,11,4,1,0,0,0,0,26
2024-03-03 02:20:00,7,9,6,3,0,0,0,0,25
2024-03-03 02:30:00,3,3,4,2,0,0,0,0,12
2024-03-03 02:40:00,3,4,6,0,0,0,0,0,13
