datetime,D21Z,D22Z,V23Z,V24Z,D51Z,V52Z,D81Z,D82Z,V83Z,V84Z,D111Z,V112Z,D95Z,D911Z,Total
2024-03-02 01:30:00,4,1,4,0,1,2,11,0,10,0,4,5,7,1,50
2024-03-02 01:40:00,5,0,6,0,1,1,2,0,2,0,1,1,3,1,23
2024-03-02 01:50:00,8,3,7,1,6,7,9,0,9,0,5,6,5,5,71
2024-03-02 02:00:00,3,1,3,1,0,0,6,0,8,0,2,3,10,0,37
2024-03-02 02:10:00,9,1,9,3,3,3,4,0,2,0,2,2,3,3,44
2024-03-02 02:20:00,13,0,11,0,0,0,6,0,6,0,1,1,4,0,42
2024-03-02 02:30:00,3,2,3,0,1,1,7,2,6,0,3,2,5,1,36
2024-03-02 02:40:00,8,2,9,1,0,0,2,0,2,0,2,2,3,2,33
2024-03-02 02:50:00,9,1,9,1,0,0,4,1,4,0,1,2,2,0,34
2024-03-02 03:00:00,5,0,7,2,0,0,6,0,5,0,2,2,6,0,35
2024-03-02 03:10:00,5,1,4,1,0,0,6,0,6,0,3,4,3,0,33
2024-03-02 03:20:00,9,2,9,1,0,0,2,2,2,0,0,0,0,0,27
2024-03-02 03:30:00,8,0,6,0,0,0,6,0,6,0,0,1,0,0,27
2024-03-02 03:40:00,6,0,7,0,2,3,5,1,6,0,3,3,4,1,41
2024-03-02 03:50:00,4,0,6,0,1,1,4,0,4,0,0,0,1,1,22
2024-03-02 04:00:00,3,2,3,0,0,0,6,0,7,0,1,1,1,0,24
2024-03-02 04:10:00,4,1,4,0,0,0,2,0,2,0,1,1,0,0,15
2024-03-02 04:20:00,3,1,5,0,0,0,3,0,3,0,0,0,1,0,16
2024-03-02 04:30:00,4,1,4,1,1,1,3,0,3,0,1,2,22,2,45
2024-03-02 04:40:00,4,0,5,0,0,0,5,0,4,0,0,0,15,0,33
2024-03-02 04:50:00,3,6,2,0,1,1,5,0,3,0,1,1,19,1,43
2024-03-02 05:00:00,2,1,2,0,1,0,6,0,9,0,0,0,0,1,22
2024-03-02 05:10:00,3,1,3,1,0,0,9,0,9,0,0,0,1,1,28
2024-03-02 05:20:00,6,0,6,1,0,0,5,0,5,0,0,0,2,0,25
2024-03-02 05:30:00,3,0,5,1,0,0,14,0,10,0,0,0,0,0,33
2024-03-02 05:40:00,7,0,5,0,0,0,8,0,8,0,2,2,2,0,34
2024-03-02 05:50:00,9,1,8,0,1,2,9,0,6,0,0,0,3,1,40
2024-03-02 06:00:00,8,0,6,0,0,0,11,0,13,0,1,1,2,0,42
2024-03-02 06:10:00,11,1,12,1,0,0,10,0,7,0,0,1,0,1,44
2024-03-02 06:20:00,10,0,10,1,0,0,9,0,9,0,0,0,0,0,39
2024-03-02 06:30:00,8,0,9,1,0,0,9,0,9,0,0,0,3,0,39
2024-03-02 06:40:00,9,0,9,1,3,2,9,0,8,0,1,1,3,1,47
2024-03-02 06:50:00,10,0,10,1,1,1,16,2,10,1,3,5,12,1,73
2024-03-02 07:00:00,8,0,7,0,0,0,13,0,12,0,1,1,3,0,45
2024-03-02 07:10:00,5,0,5,0,0,0,7,1,8,1,1,2,3,0,33
2024-03-02 07:20:00,7,0,7,8,2,2,12,0,12,0,0,1,0,2,53
2024-03-02 07:30:00,17,1,17,3,1,0,21,0,20,0,4,2,4,1,91
2024-03-02 07:40:00,4,2,5,1,3,2,9,0,9,0,2,3,4,2,46
2024-03-02 07:50:00,21,2,15,6,26,1,19,1,10,0,1,0,1,3,106
2024-03-02 08:00:00,10,2,9,2,2,3,23,1,25,0,2,2,4,2,87
