datetime,D21Z,V22Z,D31Z,D32Z,V33Z,D51Z,D52Z,D53Z,D54Z,V55Z,V56Z,V57Z,V58Z,V71Z,D81Z,V82Z,D91Z,D92Z,V93Z,D111Z,D112Z,D113Z,V114Z,V115Z,V116Z,Total
2024-03-01 14:40:00,83,7,30,22,11,15,41,48,15,14,23,28,17,12,50,13,26,15,9,58,36,18,19,22,14,646
2024-03-01 14:50:00,84,7,12,30,9,16,41,47,14,20,21,26,10,15,50,20,26,13,10,58,43,18,16,12,16,634
2024-03-01 15:00:00,88,8,21,17,10,11,34,39,10,23,23,25,12,11,53,20,17,16,8,54,47,13,16,19,11,606
2024-03-01 15:10:00,85,8,22,23,12,10,32,53,11,13,12,20,12,21,58,16,29,21,8,70,63,78,16,21,21,735
2024-03-01 15:20:00,94,9,12,14,10,10,48,55,13,11,9,13,25,15,61,16,27,33,10,125,57,19,19,14,16,735
2024-03-01 15:30:00,80,12,26,27,15,5,26,48,12,13,23,22,16,19,47,20,26,16,4,50,45,14,20,26,15,627
2024-03-01 15:40:00,77,5,16,15,11,14,38,47,13,16,21,16,12,20,56,9,15,13,5,75,59,18,19,21,18,629
2024-03-01 15:50:00,80,15,15,12,8,5,40,49,13,8,18,19,11,13,50,18,27,14,12,60,56,17,22,18,15,615
2024-03-01 16:00:00,90,10,20,18,11,9,32,45,12,10,16,20,16,22,50,16,19,25,10,56,45,10,16,16,12,606
2024-03-01 16:10:00,77,15,22,22,13,12,35,56,12,15,26,18,17,14,55,14,24,15,3,87,44,16,15,20,16,663
2024-03-01 16:20:00,70,14,25,23,11,7,41,57,9,9,9,19,12,22,56,20,23,21,10,60,52,39,18,16,13,656
2024-03-01 16:30:00,69,5,21,21,10,8,36,46,7,10,14,22,6,18,50,20,31,18,12,44,49,10,15,23,6,571
2024-03-01 16:40:00,75,11,29,31,15,8,33,51,12,9,20,18,15,16,36,13,18,11,8,46,52,20,14,16,11,588
2024-03-01 16:50:00,73,10,16,16,12,12,36,52,8,11,14,21,13,19,62,16,19,14,6,64,56,15,20,23,18,626
2024-03-01 17:00:00,80,19,16,41,11,9,44,53,10,10,16,13,17,20,59,21,19,19,6,52,46,16,20,23,17,657
2024-03-01 17:10:00,73,13,17,44,12,17,36,53,15,12,14,20,13,21,50,17,21,20,7,46,40,17,20,14,10,622
2024-03-01 17:20:00,81,11,28,20,11,10,39,51,20,9,13,20,17,16,45,21,19,18,7,49,50,16,16,16,6,609
2024-03-01 17:30:00,146,7,27,30,11,7,38,58,9,13,13,19,14,10,60,22,24,15,12,58,61,17,13,19,15,718
2024-03-01 17:40:00,85,5,19,21,8,14,40,56,15,9,12,19,14,13,54,21,16,19,15,103,58,14,25,27,7,689
2024-03-01 17:50:00,92,10,19,21,10,16,28,53,14,21,18,18,3,18,42,15,19,23,9,41,42,15,15,14,14,590
2024-03-01 18:00:00,70,9,27,22,11,13,33,52,12,27,18,21,14,9,33,16,16,16,12,43,37,9,21,13,10,564
2024-03-01 18:10:00,87,8,29,11,8,12,33,61,19,17,11,24,14,23,62,30,19,19,15,90,47,19,26,27,16,727
2024-03-01 18:20:00,69,7,27,16,11,6,36,51,9,21,17,23,15,12,38,15,15,19,12,40,52,16,19,23,15,584
2024-03-01 18:30:00,115,11,35,23,8,5,40,43,8,22,19,27,9,16,39,39,15,15,12,33,49,24,30,32,17,686
2024-03-01 18:40:00,83,8,25,23,9,11,28,54,15,20,12,32,21,16,51,27,20,23,13,53,47,23,21,37,18,690
2024-03-01 18:50:00,82,10,20,16,11,10,27,49,21,17,26,42,29,23,39,33,13,16,11,66,44,20,20,27,7,679
2024-03-01 19:00:00,64,12,10,11,7,12,21,43,12,24,33,38,15,9,33,20,14,13,9,42,45,14,14,25,11,551
2024-03-01 19:10:00,65,14,13,15,5,7,22,43,10,24,27,26,15,13,23,37,11,16,13,33,44,15,23,30,21,565
2024-03-01 19:20:00,54,12,14,13,8,6,19,31,11,15,18,28,14,9,35,20,17,18,12,39,45,13,18,29,11,509
2024-03-01 19:30:00,51,13,10,14,11,3,21,39,13,18,23,23,9,8,33,24,16,8,4,38,34,16,19,23,10,481
2024-03-01 19:40:00,46,11,13,11,4,7,8,22,7,20,31,27,8,10,30,31,7,8,11,26,29,12,11,31,15,436
2024-03-01 19:50:00,50,18,12,10,8,6,10,30,6,17,24,16,6,9,34,37,18,15,11,31,28,10,20,24,12,462
2024-03-01 20:00:00,54,16,12,11,8,9,14,27,6,22,26,25,7,5,19,20,16,13,6,39,22,9,12,25,10,433
2024-03-01 20:10:00,37,17,9,11,4,5,9,18,10,11,21,26,15,9,21,27,13,10,7,30,25,11,25,27,10,408
2024-03-01 20:20:00,42,13,12,13,7,2,15,20,1,11,22,21,1,5,18,20,11,11,12,27,26,11,25,33,10,389
2024-03-01 20:30:00,51,17,12,7,6,4,12,25,8,13,26,26,9,6,20,23,8,8,6,17,25,7,22,29,9,396
2024-03-01 20:40:00,49,12,11,9,4,3,12,25,8,14,20,15,14,7,16,18,9,4,1,26,23,9,20,25,10,364
2024-03-01 20:50:00,51,17,9,11,5,3,13,22,10,13,22,34,17,6,23,28,7,5,2,33,21,10,20,25,11,418
2024-03-01 21:00:00,39,18,9,6,4,3,9,22,10,19,30,28,15,4,18,29,10,10,4,96,18,6,22,24,9,462
2024-03-01 21:10:00,35,15,12,9,2,4,8,25,7,21,17,19,11,5,21,30,6,5,5,22,22,9,22,31,15,378
2024-03-01 21:20:00,36,11,6,12,6,5,10,18,4,14,21,21,5,5,16,17,8,7,3,13,18,9,18,27,9,319
2024-03-01 21:30:00,32,20,14,5,3,4,8,27,6,13,22,17,9,7,14,19,5,3,6,19,26,10,25,28,18,360
2024-03-01 21:40:00,44,15,7,7,7,5,9,21,6,10,26,16,10,6,24,27,16,10,5,26,33,9,24,37,9,409
2024-03-01 21:50:00,41,18,16,15,6,1,11,28,5,18,25,28,6,8,20,30,11,7,8,21,28,9,18,27,7,412
2024-03-01 22:00:00,47,15,9,7,6,2,5,12,10,4,19,23,10,6,9,24,10,9,8,31,24,11,20,25,14,360
2024-03-01 22:10:00,32,16,9,9,7,2,11,25,7,17,29,19,7,3,17,33,8,4,5,86,30,6,20,32,10,444
