datetime,D21Z,D22Z,V23Z,V24Z,D51Z,D52Z,V53Z,V54Z,D81Z,D82Z,V83Z,V84Z,D111Z,D112Z,V113Z,V114Z,Total
2024-03-01 15:20:00,48,10,22,9,0,0,23,20,24,15,16,14,15,12,6,5,239
2024-03-01 15:30:00,75,7,22,5,0,0,22,19,26,11,20,8,9,5,2,1,232
2024-03-01 15:40:00,60,6,25,4,0,0,19,10,18,10,13,5,7,5,2,1,185
2024-03-01 15:50:00,63,11,25,6,0,0,20,11,21,11,14,7,7,5,3,1,205
2024-03-01 16:00:00,67,9,30,4,0,0,16,12,22,10,16,7,1,4,1,0,199
2024-03-01 16:10:00,62,8,24,7,0,0,26,9,25,13,16,9,7,6,5,2,219
2024-03-01 16:20:00,57,7,33,5,0,0,23,14,21,16,18,12,3,2,0,1,212
2024-03-01 16:30:00,58,8,27,9,0,0,21,9,23,17,20,15,10,6,4,1,228
2024-03-01 16:40:00,52,7,27,8,0,0,19,10,17,12,17,9,14,5,6,4,207
2024-03-01 16:50:00,63,4,28,4,0,0,12,19,22,15,17,14,9,5,4,2,218
2024-03-01 17:00:00,67,4,28,5,0,0,28,11,16,11,16,7,9,6,4,0,212
2024-03-01 17:10:00,61,6,27,6,0,0,21,9,25,11,15,5,4,4,3,2,199
2024-03-01 17:20:00,59,7,19,6,0,0,11,20,17,11,13,7,7,2,7,0,186
2024-03-01 17:30:00,59,11,32,8,0,0,19,25,23,19,17,14,6,2,4,1,240
2024-03-01 17:40:00,45,11,24,5,0,0,21,7,15,11,17,8,5,7,6,3,185
2024-03-01 17:50:00,64,10,28,8,0,0,18,15,18,8,18,8,12,9,2,3,221
2024-03-01 18:00:00,58,10,30,9,0,0,12,13,17,14,16,8,6,3,2,1,199
2024-03-01 18:10:00,66,10,27,6,0,0,19,15,26,16,22,12,3,4,3,3,232
2024-03-01 18:20:00,44,10,17,8,0,0,16,16,20,12,20,11,1,4,0,0,179
2024-03-01 18:30:00,52,13,23,10,0,0,15,9,19,15,23,6,7,2,6,0,200
2024-03-01 18:40:00,61,11,26,8,0,0,27,11,25,14,23,9,185,2,8,2,412
2024-03-01 18:50:00,57,11,29,5,0,0,22,7,25,10,20,8,10,8,5,2,219
2024-03-01 19:00:00,43,9,22,5,0,0,22,11,16,12,18,12,2,2,0,0,174
2024-03-01 19:10:00,51,6,23,5,0,0,22,8,21,6,20,3,7,5,6,0,183
2024-03-01 19:20:00,58,8,26,2,0,0,23,12,20,12,18,9,8,0,7,0,203
2024-03-01 19:30:00,32,5,17,6,0,0,29,8,21,11,25,7,3,4,1,0,169
2024-03-01 19:40:00,38,12,17,7,0,0,17,6,19,8,22,6,4,5,6,1,168
2024-03-01 19:50:00,42,16,27,8,0,0,15,10,16,8,17,5,3,5,2,2,176
2024-03-01 20:00:00,31,5,14,1,0,0,28,6,8,8,7,4,2,2,2,0,118
2024-03-01 20:10:00,27,6,22,5,0,0,23,6,10,9,12,6,2,1,2,0,131
2024-03-01 20:20:00,37,9,18,3,0,0,21,3,21,7,24,5,0,3,0,0,151
2024-03-01 20:30:00,40,5,20,3,0,0,28,3,12,10,16,5,2,2,1,0,147
2024-03-01 20:40:00,30,5,24,3,0,0,25,4,13,7,11,2,1,2,2,0,129
2024-03-01 20:50:00,28,4,22,4,0,0,19,5,11,6,13,3,2,5,0,0,122
2024-03-01 21:00:00,21,5,15,1,0,0,20,4,9,15,15,10,6,5,2,2,130
2024-03-01 21:10:00,20,4,25,3,0,0,23,2,7,4,10,4,0,0,0,0,102
2024-03-01 21:20:00,22,2,15,6,0,0,22,7,12,4,12,2,1,2,0,0,107
2024-03-01 21:30:00,27,5,17,2,0,0,22,1,12,6,12,4,4,1,5,0,118
2024-03-01 21:40:00,31,6,20,4,0,0,18,5,10,7,13,2,1,0,1,0,118
2024-03-01 21:50:00,17,4,18,4,0,0,25,7,7,6,12,3,6,7,9,2,127
2024-03-01 22:00:00,24,6,22,2,0,0,23,6,8,5,7,0,1,3,1,1,109
2024-03-01 22:10:00,21,5,20,5,0,0,23,1,9,6,14,5,2,2,0,0,113
2024-03-01 22:20:00,31,5,25,4,0,0,18,3,10,4,14,2,7,3,3,1,130
2024-03-01 22:30:00,14,9,9,5,0,0,19,4,6,4,7,2,6,3,4,0,92
2024-03-01 22:40:00,28,4,21,1,0,0,14,3,8,7,7,4,1,0,2,0,100
2024-03-01 22:50:00,27,2,20,2,0,0,23,3,6,7,13,6,1,4,2,0,116
2024-03-01 23:00:00,20,6,16,2,0,0,12,1,4,8,8,4,0,2,0,0,83
2024-03-01 23:10:00,15,1,15,1,0,0,18,2,8,1,9,0,1,1,0,0,72
2024-03-01 23:20:00,16,2,14,2,0,0,12,4,5,1,7,1,0,0,0,0,64
2024-03-01 23:30:00,19,4,14,0,0,0,10,1,4,3,2,1,0,1,0,0,59
2024-03-01 23:40:00,24,4,15,5,0,0,12,2,3,5,5,1,1,3,1,0,81
2024-03-01 23:50:00,13,3,12,1,0,0,19,2,2,0,2,0,1,2,1,0,58
2024-03-02 00:00:00,6,3,5,1,0,0,13,1,3,1,5,1,1,0,1,1,42
