datetime,D51Z,D52Z,V51Z,D111Z,V111Z,D112Z,Total
2024-03-02 03:50:00,2,2,2,4,4,3,17
2024-03-02 04:00:00,2,3,3,2,3,2,15
2024-03-02 04:10:00,1,1,1,2,4,3,12
2024-03-02 04:20:00,4,3,4,8,8,7,34
2024-03-02 04:30:00,7,7,7,8,6,6,41
2024-03-02 04:40:00,8,9,9,5,6,5,42
2024-03-02 04:50:00,6,5,6,3,4,3,27
2024-03-02 05:00:00,3,5,2,7,6,4,27
2024-03-02 05:10:00,6,7,7,4,7,4,35
2024-03-02 05:20:00,3,3,5,8,10,8,37
2024-03-02 05:30:00,10,10,10,15,17,14,76
2024-03-02 05:40:00,10,10,9,10,10,9,58
2024-03-02 05:50:00,8,9,4,11,14,11,57
2024-03-02 06:00:00,8,7,7,9,11,7,49
2024-03-02 06:10:00,11,8,4,12,12,13,60
2024-03-02 06:20:00,11,5,5,10,12,9,52
2024-03-02 06:30:00,12,11,11,14,15,16,79
2024-03-02 06:40:00,13,14,14,10,10,10,71
2024-03-02 06:50:00,11,11,6,9,6,7,50
2024-03-02 07:00:00,10,8,8,11,10,11,58
2024-03-02 07:10:00,12,14,9,11,10,11,67
2024-03-02 07:20:00,10,9,6,12,11,10,58
2024-03-02 07:30:00,19,17,14,16,16,15,97
2024-03-02 07:40:00,15,11,7,26,21,29,109
2024-03-02 07:50:00,13,16,13,17,12,15,86
2024-03-02 08:00:00,12,10,9,15,14,15,75
2024-03-02 08:10:00,15,17,11,24,19,25,111
2024-03-02 08:20:00,10,13,10,13,12,12,70
2024-03-02 08:30:00,16,16,12,29,20,31,124
2024-03-02 08:40:00,34,33,27,31,22,28,175
2024-03-02 08:50:00,21,26,16,23,22,24,132
2024-03-02 09:00:00,18,17,18,28,24,29,134
2024-03-02 09:10:00,27,29,21,26,22,30,155
2024-03-02 09:20:00,28,26,23,39,28,35,179
2024-03-02 09:30:00,23,24,21,36,33,35,172
2024-03-02 09:40:00,32,28,20,37,24,32,173
2024-03-02 09:50:00,38,39,22,42,30,44,215
2024-03-02 10:00:00,23,23,21,39,24,40,170
2024-03-02 10:10:00,28,24,18,35,27,39,171
2024-03-02 10:20:00,36,35,27,35,28,33,194
2024-03-02 10:30:00,19,20,18,29,30,31,147
2024-03-02 10:40:00,30,28,23,38,24,36,179
2024-03-02 10:50:00,42,40,27,47,32,48,236
2024-03-02 11:00:00,43,44,29,34,24,34,208
2024-03-02 11:10:00,32,29,23,47,28,44,203
2024-03-02 11:20:00,46,47,31,43,32,42,241
2024-03-02 11:30:00,44,46,32,47,32,44,245
2024-03-02 11:40:00,41,38,23,46,34,47,229
2024-03-02 11:50:00,31,32,23,35,29,36,186
2024-03-02 12:00:00,42,40,24,44,26,47,223
2024-03-02 12:10:00,63,63,39,49,33,45,292
2024-03-02 12:20:00,43,44,29,49,33,46,244
2024-03-02 12:30:00,41,34,22,36,29,38,200
2024-03-02 12:40:00,61,61,38,50,41,51,302
2024-03-02 12:50:00,50,52,31,55,33,54,275
2024-03-02 13:00:00,46,45,29,52,33,49,254
2024-03-02 13:10:00,45,46,28,45,29,47,240
2024-03-02 13:20:00,54,52,36,45,31,44,262
2024-03-02 13:30:00,52,53,28,49,29,50,261
2024-03-02 13:40:00,43,45,32,61,44,56,281
2024-03-02 13:50:00,41,42,31,48,32,47,241
2024-03-02 14:00:00,44,43,30,57,32,53,259
2024-03-02 14:10:00,70,67,35,47,28,50,297
2024-03-02 14:20:00,51,54,36,45,34,44,264
2024-03-02 14:30:00,53,51,27,45,24,45,245
2024-03-02 14:40:00,36,39,23,44,33,43,218
2024-03-02 14:50:00,42,40,23,36,23,36,200
2024-03-02 15:00:00,52,52,29,53,37,52,275
2024-03-02 15:10:00,39,42,22,47,26,47,223
2024-03-02 15:20:00,39,39,26,33,23,31,191
2024-03-02 15:30:00,50,57,38,40,26,41,252
2024-03-02 15:40:00,45,49,32,38,30,34,228
2024-03-02 15:50:00,37,36,18,30,23,27,171
2024-03-02 16:00:00,54,47,39,38,26,37,241
2024-03-02 16:10:00,36,41,29,55,35,52,248
2024-03-02 16:20:00,40,39,28,33,20,34,194
2024-03-02 16:30:00,28,29,23,24,16,22,142
2024-03-02 16:40:00,38,38,23,42,25,40,206
2024-03-02 16:50:00,47,45,28,33,28,32,213
2024-03-02 17:00:00,45,48,28,39,31,36,227
2024-03-02 17:10:00,48,50,31,37,24,34,224
2024-03-02 17:20:00,43,41,29,50,30,49,242
2024-03-02 17:30:00,38,39,32,32,26,30,197
2024-03-02 17:40:00,49,50,26,50,31,46,252
2024-03-02 17:50:00,33,32,26,46,29,46,212
2024-03-02 18:00:00,44,44,21,39,27,40,215
2024-03-02 18:10:00,49,53,26,44,28,45,245
2024-03-02 18:20:00,51,51,31,46,32,46,257
2024-03-02 18:30:00,61,62,23,41,44,43,274
2024-03-02 18:40:00,49,51,39,38,33,37,247
2024-03-02 18:50:00,48,46,31,56,43,56,280
2024-03-02 19:00:00,43,40,23,34,31,35,206
2024-03-02 19:10:00,42,42,22,35,33,40,214
2024-03-02 19:20:00,32,32,29,37,26,32,188
2024-03-02 19:30:00,40,40,22,38,40,39,219
2024-03-02 19:40:00,40,40,24,31,21,30,186
2024-03-02 19:50:00,35,31,24,34,25,34,183
2024-03-02 20:00:00,26,27,19,27,33,27,159
2024-03-02 20:10:00,28,26,22,37,33,35,181
2024-03-02 20:20:00,28,26,20,26,29,25,154
2024-03-02 20:30:00,31,29,26,27,29,27,169
2024-03-02 20:40:00,31,28,15,25,25,26,150
2024-03-02 20:50:00,28,26,23,24,26,23,150
2024-03-02 21:00:00,28,23,24,23,32,24,154
2024-03-02 21:10:00,26,25,17,31,28,30,157
2024-03-02 21:20:00,33,31,17,19,14,17,131
2024-03-02 21:30:00,20,22,15,21,16,21,115
2024-03-02 21:40:00,28,25,22,17,23,16,131
2024-03-02 21:50:00,37,44,26,22,19,21,169
2024-03-02 22:00:00,31,30,18,17,20,14,130
2024-03-02 22:10:00,24,23,18,17,19,17,118
2024-03-02 22:20:00,28,28,25,28,27,26,162
2024-03-02 22:30:00,28,29,22,25,22,22,148
2024-03-02 22:40:00,26,27,21,13,9,10,106
2024-03-02 22:50:00,29,28,16,14,12,13,112
2024-03-02 23:00:00,23,19,16,15,14,13,100
2024-03-02 23:10:00,20,17,18,16,19,16,106
2024-03-02 23:20:00,12,12,10,15,18,16,83
2024-03-02 23:30:00,16,13,13,18,19,17,96
2024-03-02 23:40:00,14,13,12,16,18,15,88
2024-03-02 23:50:00,14,16,14,12,10,11,77
2024-03-03 00:00:00,19,18,14,9,8,11,79
2024-03-03 00:10:00,13,12,10,11,12,11,69
2024-03-03 00:20:00,15,18,15,10,8,7,73
2024-03-03 00:30:00,14,13,13,15,15,15,85
2024-03-03 00:40:00,10,11,12,9,9,11,62
2024-03-03 00:50:00,18,21,17,7,7,7,77
2024-03-03 01:00:00,15,14,12,7,7,6,61
2024-03-03 01:10:00,8,7,6,9,6,9,45
2024-03-03 01:20:00,5,6,9,5,7,7,39
2024-03-03 01:30:00,13,10,9,5,4,4,45
2024-03-03 01:40:00,8,8,8,7,9,7,47
2024-03-03 01:50:00,7,9,7,3,2,3,31
2024-03-03 02:00:00,6,6,7,0,0,0,19
2024-03-03 02:10:00,8,8,8,4,4,4,36
2024-03-03 02:20:00,9,10,10,3,2,1,35
2024-03-03 02:30:00,5,4,4,5,7,5,30
2024-03-03 02:40:00,8,7,6,6,3,5,35
2024-03-03 02:50:00,5,5,5,4,4,3,26
2024-03-03 03:00:00,1,3,2,2,2,2,12
2024-03-03 03:10:00,6,4,5,4,6,4,29
2024-03-03 03:20:00,1,1,1,2,1,2,8
2024-03-03 03:30:00,9,9,11,5,8,5,47
