datetime,D11Z,D12Z,D13Z,D14Z,D15Z,D21Z,D22Z,D31Z,D32Z,D33Z,D34Z,D35Z,D36Z,D37Z,D41Z,D42Z,D43Z,Total
2024-03-01 20:10:00,20,22,22,34,17,24,24,23,38,23,41,18,25,19,42,30,28,450
2024-03-01 20:20:00,25,22,22,28,18,27,29,21,28,17,34,20,20,23,33,25,41,433
2024-03-01 20:30:00,18,38,20,25,27,27,34,30,35,36,32,13,27,20,29,19,40,470
2024-03-01 20:40:00,17,19,27,30,22,31,63,18,25,15,26,14,14,9,30,21,34,415
2024-03-01 20:50:00,21,24,27,29,15,35,364,21,28,23,30,14,17,14,28,25,27,742
2024-03-01 21:00:00,26,23,24,21,18,27,20,19,36,31,38,13,13,12,25,17,29,392
2024-03-01 21:10:00,15,21,23,27,11,22,56,13,29,33,34,10,26,10,28,20,28,406
2024-03-01 21:20:00,18,15,20,23,11,11,18,10,29,24,30,13,20,12,32,28,31,345
2024-03-01 21:30:00,20,19,19,29,10,19,105,13,29,30,29,10,16,10,25,15,25,423
2024-03-01 21:40:00,18,17,35,35,13,27,20,15,28,36,29,18,15,19,31,15,38,409
2024-03-01 21:50:00,22,23,25,31,18,31,19,22,14,15,16,13,15,11,31,22,28,356
2024-03-01 22:00:00,19,17,17,16,8,19,7,7,22,25,21,10,13,11,34,27,41,314
2024-03-01 22:10:00,14,18,20,22,8,16,10,10,19,22,19,12,15,11,22,19,29,286
2024-03-01 22:20:00,16,22,26,37,16,30,16,18,14,16,14,17,11,18,32,19,30,352
2024-03-01 22:30:00,27,18,23,21,3,18,3,4,24,24,25,13,21,13,30,23,36,326
2024-03-01 22:40:00,17,18,21,18,11,25,11,12,13,15,14,18,32,19,25,17,28,314
2024-03-01 22:50:00,18,20,26,22,11,27,11,15,18,20,22,27,23,25,30,11,25,351
2024-03-01 23:00:00,20,18,19,13,9,24,10,10,17,29,18,12,14,12,31,18,23,297
2024-03-01 23:10:00,17,21,25,26,6,26,5,7,22,16,26,8,19,10,18,14,25,291
2024-03-01 23:20:00,14,20,30,29,4,36,13,6,16,17,21,16,25,15,13,8,16,299
2024-03-01 23:30:00,14,17,19,22,5,30,8,8,11,25,10,12,21,11,21,7,23,264
2024-03-01 23:40:00,14,16,14,16,12,31,19,14,8,16,13,10,18,10,12,11,24,258
2024-03-01 23:50:00,16,21,16,16,15,47,19,16,5,8,5,12,15,11,15,5,48,290
2024-03-02 00:00:00,19,15,9,15,5,13,8,9,14,14,14,4,5,3,19,11,33,210
2024-03-02 00:10:00,16,17,7,18,2,14,12,5,8,13,12,9,16,9,12,8,19,197
2024-03-02 00:20:00,12,9,13,10,4,13,4,5,13,18,12,5,9,4,11,5,19,166
2024-03-02 00:30:00,15,15,9,14,4,14,7,4,4,5,5,6,17,6,17,5,26,173
2024-03-02 00:40:00,8,9,6,6,3,7,3,4,13,20,11,5,9,6,12,5,14,141
2024-03-02 00:50:00,6,12,10,6,6,11,7,6,10,26,13,5,8,5,8,2,13,154
2024-03-02 01:00:00,6,14,5,11,1,13,1,5,8,6,6,6,8,7,9,5,17,128
2024-03-02 01:10:00,5,5,4,5,1,5,1,2,2,5,5,11,22,9,8,4,11,105
2024-03-02 01:20:00,12,11,9,6,5,12,6,8,8,10,8,6,8,7,9,3,14,142
2024-03-02 01:30:00,8,7,7,4,6,14,5,6,7,10,7,4,9,3,7,2,10,116
2024-03-02 01:40:00,3,4,3,4,1,8,1,2,5,7,5,5,13,5,4,0,7,77
2024-03-02 01:50:00,8,11,6,8,2,12,2,3,5,5,5,0,0,0,5,1,6,79
2024-03-02 02:00:00,5,6,4,5,0,5,0,1,12,24,12,2,1,2,6,1,10,96
2024-03-02 02:10:00,6,9,4,6,3,16,3,3,5,7,8,3,7,2,5,0,9,96
2024-03-02 02:20:00,5,8,4,4,3,5,3,5,9,14,8,4,10,3,2,2,4,93
2024-03-02 02:30:00,2,4,2,3,1,5,1,1,2,2,3,2,3,1,3,0,4,39
2024-03-02 02:40:00,7,6,4,4,3,4,3,3,5,6,5,2,2,2,4,0,6,66
2024-03-02 02:50:00,3,5,2,2,2,8,2,2,7,7,8,3,5,2,5,1,10,74
2024-03-02 03:00:00,2,4,0,3,0,4,0,0,5,14,6,4,9,3,2,1,4,61
2024-03-02 03:10:00,3,4,3,2,1,5,1,3,7,10,7,2,4,2,4,2,5,65
2024-03-02 03:20:00,10,8,6,8,3,10,3,2,3,6,4,2,4,2,1,1,1,74
2024-03-02 03:30:00,3,6,2,3,1,12,1,2,5,10,5,1,1,1,3,1,5,62
2024-03-02 03:40:00,4,7,2,4,3,9,3,3,6,6,5,10,15,10,9,0,12,108
2024-03-02 03:50:00,2,2,1,1,1,2,1,2,5,5,5,2,4,2,5,2,8,50
2024-03-02 04:00:00,4,3,4,2,2,4,2,2,4,7,4,2,5,1,6,0,7,59
2024-03-02 04:10:00,4,2,4,2,0,4,0,2,5,9,4,3,5,4,3,1,3,55
2024-03-02 04:20:00,3,8,1,5,3,8,3,3,6,11,6,1,2,1,4,1,6,72
2024-03-02 04:30:00,6,6,3,4,1,7,1,1,7,12,7,4,2,2,3,3,5,74
2024-03-02 04:40:00,2,5,0,4,1,6,1,2,3,5,2,4,5,2,5,5,9,61
2024-03-02 04:50:00,2,2,4,2,0,2,2,3,10,10,11,0,0,0,7,2,12,69
2024-03-02 05:00:00,2,5,1,4,1,5,1,2,7,12,6,5,4,2,4,5,6,72
2024-03-02 05:10:00,5,4,3,3,1,9,1,1,10,15,9,5,6,3,6,5,8,94
2024-03-02 05:20:00,4,4,4,3,1,11,1,1,11,18,15,5,7,4,5,5,8,107
2024-03-02 05:30:00,5,3,3,3,0,2,0,1,11,7,10,5,8,3,25,9,26,121
2024-03-02 05:40:00,8,5,8,4,2,2,2,2,12,15,12,5,12,5,14,64,18,190
2024-03-02 05:50:00,7,12,7,5,7,15,7,8,7,11,8,3,9,3,9,12,16,146
2024-03-02 06:00:00,9,7,10,7,3,13,4,6,13,16,15,7,8,4,8,16,16,162
2024-03-02 06:10:00,5,9,5,6,2,3,2,2,6,13,7,6,11,5,12,6,16,116
2024-03-02 06:20:00,10,8,10,6,0,4,0,0,12,14,13,7,18,8,9,5,12,136
2024-03-02 06:30:00,3,9,2,8,2,7,2,3,11,24,11,8,8,8,12,7,20,145
2024-03-02 06:40:00,16,8,14,4,4,9,4,6,9,14,9,1,1,1,18,6,28,152
2024-03-02 06:50:00,9,12,11,8,5,8,5,5,20,19,20,10,14,11,20,4,24,205
2024-03-02 07:00:00,6,6,8,6,4,3,3,4,8,7,8,3,3,3,12,9,10,103
2024-03-02 07:10:00,6,4,5,4,4,4,4,5,14,11,17,5,6,5,9,9,10,122
2024-03-02 07:20:00,9,5,12,7,3,3,3,4,14,8,11,4,6,5,16,8,13,131
2024-03-02 07:30:00,11,9,10,10,5,6,6,7,9,7,10,6,6,5,21,15,19,162
2024-03-02 07:40:00,10,11,14,17,7,7,7,6,21,15,22,6,9,6,27,10,20,215
2024-03-02 07:50:00,12,10,14,12,9,8,9,10,20,14,19,4,4,4,21,107,18,295
2024-03-02 08:00:00,8,12,8,12,14,11,14,16,21,18,23,10,10,10,23,11,12,233
2024-03-02 08:10:00,12,13,19,19,10,11,10,12,18,14,22,15,12,13,27,27,20,274
2024-03-02 08:20:00,14,9,18,13,16,10,17,20,23,22,24,15,12,14,23,16,12,278
2024-03-02 08:30:00,12,8,13,11,11,9,10,11,36,18,35,16,14,16,33,23,16,292
2024-03-02 08:40:00,8,13,10,16,14,14,14,14,31,13,34,24,12,22,32,34,14,319
2024-03-02 08:50:00,11,14,15,15,10,9,10,10,30,14,36,9,9,9,37,41,13,292
2024-03-02 09:00:00,10,17,14,25,14,14,15,16,34,18,31,13,10,12,31,27,20,321
2024-03-02 09:10:00,14,15,20,18,16,15,15,16,51,24,52,14,8,16,41,43,11,389
2024-03-02 09:20:00,13,12,18,17,17,15,20,20,52,11,58,16,10,11,62,60,15,427
2024-03-02 09:30:00,15,13,23,20,24,13,22,23,49,14,48,13,12,16,51,47,21,424
2024-03-02 09:40:00,18,15,29,22,15,12,16,18,54,30,53,25,11,21,59,56,20,474
2024-03-02 09:50:00,20,16,25,21,26,10,27,28,50,15,56,23,9,22,68,61,15,492
2024-03-02 10:00:00,20,19,27,24,21,14,20,19,53,18,51,20,11,20,57,181,18,593
2024-03-02 10:10:00,13,15,33,29,25,13,26,27,61,17,61,23,10,25,59,54,17,508
2024-03-02 10:20:00,12,13,28,37,22,12,21,24,52,29,52,28,4,27,62,48,12,483
2024-03-02 10:30:00,19,13,34,20,27,14,25,27,55,16,53,20,8,19,64,48,12,474
2024-03-02 10:40:00,18,87,30,23,27,10,29,26,54,11,49,29,7,30,65,60,11,566
2024-03-02 10:50:00,11,15,28,37,33,14,34,33,55,10,57,20,9,17,55,57,19,504
2024-03-02 11:00:00,14,14,26,37,26,12,26,27,69,25,68,24,8,25,45,47,13,506
2024-03-02 11:10:00,12,13,36,34,36,15,36,36,55,20,52,25,11,26,59,56,13,535
2024-03-02 11:20:00,15,17,40,43,18,19,18,18,47,22,49,24,10,26,56,55,14,491
