datetime,D11Z,D12Z,D13Z,V111Z,V121Z,V131Z,D21Z,D22Z,D23Z,D24Z,D25Z,V211Z,V221Z,V231Z,V232Z,V311Z,D41Z,D42Z,D43Z,V411Z,V421Z,V431Z,D51Z,D52Z,D53Z,V511Z,V521Z,V531Z,V532Z,Total
2024-03-01 13:20:00,22,54,17,23,9,5,54,1045,19,20,13,2,55,19,10,11,14,47,40,14,14,27,19,31,34,15,10,20,3,1666
2024-03-01 13:30:00,21,55,11,27,17,15,65,501,31,22,18,13,66,48,18,6,9,34,30,8,12,29,28,40,36,23,11,18,3,1215
2024-03-01 13:40:00,17,54,15,22,20,12,49,527,20,19,25,18,49,44,19,7,11,30,39,9,12,28,28,36,34,30,10,20,5,1209
2024-03-01 13:50:00,15,37,15,21,9,7,43,524,23,21,16,13,45,33,18,8,11,43,41,2,12,41,22,33,35,11,12,24,12,1147
2024-03-01 14:00:00,21,50,15,22,22,15,51,131,32,20,18,23,47,52,19,3,6,37,28,5,10,23,19,22,31,19,17,24,13,795
2024-03-01 14:10:00,27,60,12,34,20,30,54,707,24,29,20,18,53,48,16,10,14,29,27,11,14,31,14,30,35,25,14,27,10,1443
2024-03-01 14:20:00,26,50,14,19,74,13,42,200,29,17,24,14,41,45,17,6,7,34,26,9,10,31,19,36,56,28,13,21,13,934
2024-03-01 14:30:00,23,54,19,29,22,15,47,133,13,19,13,12,48,46,12,5,6,39,36,7,10,35,18,27,35,19,12,19,10,783
2024-03-01 14:40:00,17,59,13,22,24,16,71,457,28,20,21,21,67,48,21,9,12,40,33,8,10,26,26,41,51,21,16,33,12,1243
2024-03-01 14:50:00,18,47,16,29,13,11,45,481,23,20,19,18,43,43,12,5,6,36,37,11,13,24,17,37,49,25,15,20,4,1137
2024-03-01 15:00:00,23,48,15,16,14,9,62,78,30,31,43,16,64,134,27,14,12,58,25,11,15,29,16,42,45,29,17,22,4,949
2024-03-01 15:10:00,23,47,23,28,13,12,63,36,22,23,25,18,67,49,13,12,15,36,31,12,14,27,26,34,34,22,14,22,10,771
2024-03-01 15:20:00,24,54,14,25,17,16,56,39,27,16,16,17,57,46,17,5,12,28,30,13,14,27,20,117,46,18,14,22,9,816
2024-03-01 15:30:00,15,42,8,24,25,9,58,28,21,21,18,21,55,42,16,11,13,26,27,9,12,22,26,45,40,23,13,21,7,698
2024-03-01 15:40:00,29,52,14,32,28,14,64,55,15,21,25,17,64,59,16,10,15,37,37,8,12,27,19,43,45,17,12,24,3,814
2024-03-01 15:50:00,16,51,15,28,13,8,66,31,21,18,16,14,64,41,10,9,13,25,39,16,15,16,23,48,39,28,14,24,4,725
2024-03-01 16:00:00,14,42,11,21,23,13,57,41,19,13,17,20,57,56,12,13,16,30,41,17,25,38,15,34,35,20,10,16,1,727
2024-03-01 16:10:00,21,42,14,17,12,10,68,48,28,17,20,21,63,51,21,8,14,24,31,11,15,20,24,41,48,24,12,26,1,752
2024-03-01 16:20:00,18,55,12,29,7,8,44,23,22,17,18,13,52,40,11,8,13,38,30,12,22,19,19,33,27,29,9,14,6,648
2024-03-01 16:30:00,18,53,12,28,12,9,71,51,21,26,20,20,63,55,15,3,8,26,26,12,10,30,19,38,46,24,11,22,6,755
2024-03-01 16:40:00,25,56,12,25,13,10,56,36,27,25,17,21,62,43,19,8,15,30,30,13,12,29,26,44,40,31,12,22,2,761
2024-03-01 16:50:00,12,51,10,25,11,10,62,37,27,12,21,20,66,44,22,7,9,29,34,12,13,34,15,31,40,19,15,22,8,718
2024-03-01 17:00:00,16,44,7,18,14,10,65,40,23,32,26,15,64,42,17,9,11,27,39,15,12,24,25,37,36,38,18,30,12,766
2024-03-01 17:10:00,22,49,13,21,14,12,51,32,21,24,19,19,54,44,23,9,15,29,28,10,14,25,29,46,45,33,19,24,10,754
2024-03-01 17:20:00,16,56,12,20,9,8,44,35,17,12,20,12,44,44,11,12,12,33,26,9,13,81,28,37,41,34,16,33,14,749
2024-03-01 17:30:00,24,62,18,26,16,12,45,28,19,11,6,8,48,32,9,4,9,26,30,7,14,34,21,36,37,18,17,21,10,648
2024-03-01 17:40:00,20,45,15,28,15,16,62,33,34,22,20,16,59,45,25,14,7,32,27,17,13,19,29,47,42,28,13,26,17,786
2024-03-01 17:50:00,21,53,19,23,14,10,44,24,15,11,17,10,45,34,10,7,10,33,32,14,11,29,15,37,43,21,16,18,8,644
2024-03-01 18:00:00,17,57,15,22,12,9,51,30,20,14,20,19,51,43,15,7,12,25,24,10,10,23,26,40,51,36,18,31,15,723
2024-03-01 18:10:00,62,51,12,19,19,14,33,32,24,6,9,16,36,42,17,10,9,37,26,13,10,26,17,36,23,27,16,15,8,665
2024-03-01 18:20:00,18,37,20,16,11,16,61,34,26,26,18,14,58,42,18,7,7,26,29,18,23,24,25,47,49,43,18,25,7,763
2024-03-01 18:30:00,24,36,17,26,17,18,37,33,15,24,29,15,40,38,12,6,5,31,25,18,26,23,31,44,41,25,16,18,16,706
2024-03-01 18:40:00,74,36,22,25,14,12,47,35,21,19,27,23,46,46,15,9,13,27,24,15,27,13,38,44,40,24,15,36,21,808
2024-03-01 18:50:00,15,37,9,19,18,24,44,26,25,25,23,29,49,41,13,9,11,29,32,19,22,23,51,25,34,23,23,21,25,744
2024-03-01 19:00:00,21,36,18,22,17,19,36,24,15,15,35,11,32,30,15,10,10,14,16,17,20,17,26,41,43,25,8,27,22,642
2024-03-01 19:10:00,12,37,14,32,8,20,32,24,19,16,28,26,35,32,19,2,5,29,21,30,26,20,29,32,32,20,16,31,26,673
2024-03-01 19:20:00,16,46,16,22,13,15,30,15,11,37,30,12,31,19,13,8,6,20,21,35,18,18,24,33,36,22,18,17,23,625
2024-03-01 19:30:00,13,30,12,20,35,10,29,16,13,17,23,9,32,21,8,8,6,14,12,17,15,15,29,22,32,32,12,28,24,554
2024-03-01 19:40:00,16,46,13,28,11,18,30,22,13,19,22,14,31,31,11,6,7,24,12,28,13,14,34,21,24,21,11,28,18,586
2024-03-01 19:50:00,12,17,7,17,12,13,26,15,10,21,22,5,24,15,4,6,8,20,14,19,21,37,33,17,23,20,7,21,22,488
2024-03-01 20:00:00,7,33,8,13,6,8,19,52,7,21,14,4,21,14,9,7,5,21,20,19,20,12,13,14,13,17,7,13,18,435
2024-03-01 20:10:00,13,30,14,23,15,46,25,16,15,23,16,10,27,24,15,3,8,17,11,15,14,20,22,16,18,20,16,23,18,533
2024-03-01 20:20:00,9,25,11,17,9,15,26,16,9,13,21,7,26,22,9,8,13,14,14,28,15,28,25,16,18,16,9,13,20,472
2024-03-01 20:30:00,16,35,17,27,9,13,19,36,7,23,16,3,20,19,4,3,2,14,10,17,14,15,30,14,18,14,11,25,18,469
2024-03-01 20:40:00,7,18,4,18,4,8,16,97,9,12,12,12,16,14,11,5,4,14,15,19,15,31,20,15,4,10,6,6,14,436
2024-03-01 20:50:00,14,27,15,19,5,5,19,11,9,13,10,6,20,14,5,2,1,18,13,19,8,15,20,15,11,17,15,8,24,378
2024-03-01 21:00:00,13,20,18,17,4,4,21,118,10,17,18,10,23,19,13,3,4,12,9,18,13,18,16,12,14,10,8,15,14,491
2024-03-01 21:10:00,9,27,11,27,4,6,28,56,10,20,15,10,27,16,11,3,3,12,9,13,13,10,14,13,27,12,7,16,12,441
2024-03-01 21:20:00,13,17,10,15,7,7,22,24,9,29,15,8,22,18,8,6,11,12,8,14,13,13,12,10,15,18,6,8,21,391
2024-03-01 21:30:00,6,15,6,13,7,6,18,13,11,20,15,11,20,17,11,5,7,10,8,15,6,8,24,16,88,11,8,16,9,420
2024-03-01 21:40:00,9,37,10,25,9,9,20,14,6,19,14,4,21,16,11,2,3,7,3,8,3,10,26,18,15,13,8,16,13,369
2024-03-01 21:50:00,2,24,3,14,8,11,9,11,9,10,21,3,11,16,8,3,3,8,11,10,15,9,24,14,15,11,9,21,11,324
2024-03-01 22:00:00,15,16,17,17,8,10,14,15,10,15,15,9,16,17,9,3,3,15,7,16,10,30,19,14,13,13,5,13,14,378
2024-03-01 22:10:00,7,24,8,18,9,11,16,76,6,12,8,7,14,10,5,2,3,9,7,11,8,8,14,11,11,12,7,14,10,358
2024-03-01 22:20:00,20,26,13,19,11,11,14,155,7,17,16,8,18,17,8,5,7,14,8,20,9,6,20,18,13,12,4,13,11,520
2024-03-01 22:30:00,9,27,12,24,6,18,22,39,14,34,24,13,23,20,16,4,4,11,6,17,7,9,16,22,11,11,1,10,11,441
2024-03-01 22:40:00,5,31,0,27,11,9,14,68,7,12,15,7,15,20,7,4,6,11,6,16,8,7,19,16,17,14,3,21,11,407
2024-03-01 22:50:00,6,39,2,27,6,13,18,145,3,23,20,5,20,17,8,1,2,9,5,9,4,7,10,7,9,11,2,11,14,453
2024-03-01 23:00:00,5,26,5,21,2,4,7,3,3,8,9,3,8,6,7,4,7,8,4,12,4,12,7,5,8,9,6,8,11,222
2024-03-01 23:10:00,6,23,1,15,8,15,11,370,4,8,12,2,12,10,7,3,3,14,3,14,4,11,14,10,6,3,8,3,2,602
2024-03-01 23:20:00,16,14,16,20,4,3,9,186,3,10,10,2,10,6,2,3,0,8,6,11,8,9,13,8,3,8,7,4,9,408
