datetime,D21Z,D22Z,D23Z,V24Z,V25Z,V26Z,D31Z,V32Z,D41Z,D51Z,D52Z,V53Z,V54Z,D61Z,D62Z,V63Z,V64Z,D81Z,D82Z,V83Z,V84Z,D91Z,V92Z,D101Z,D111Z,D112Z,V113Z,V114Z,D121Z,D122Z,V123Z,V124Z,Total
2024-03-01 11:10:00,18,14,30,14,23,10,10,8,29,35,9,7,12,17,8,10,30,20,18,15,42,18,25,35,12,12,561,1758,16,4,1,0,2821
2024-03-01 11:20:00,35,25,29,12,33,11,10,8,31,39,12,4,9,7,12,9,43,25,16,23,41,28,25,52,7,6,852,1243,15,15,0,1,2678
2024-03-01 11:30:00,18,15,36,13,27,14,15,10,32,48,3,3,13,8,11,10,45,40,22,11,53,15,21,48,0,12,584,1527,18,8,0,2,2682
2024-03-01 11:40:00,20,19,24,11,16,12,10,5,47,47,10,11,14,5,9,7,28,33,9,12,34,15,19,43,9,11,452,1694,13,6,0,4,2649
2024-03-01 11:50:00,27,29,34,11,23,14,13,8,31,34,11,37,17,5,15,8,78,18,15,13,46,15,25,48,7,12,496,1299,23,10,0,0,2422
2024-03-01 12:00:00,14,13,41,10,19,6,14,9,29,38,10,13,11,10,14,12,41,26,15,14,37,10,32,48,7,19,456,1265,15,5,1,0,2254
2024-03-01 12:10:00,29,25,31,11,20,12,11,9,32,51,13,18,11,4,11,5,28,20,10,14,44,16,32,46,13,26,514,1257,22,13,0,0,2348
2024-03-01 12:20:00,32,23,41,16,29,9,16,10,38,44,7,10,11,5,9,5,38,30,46,14,32,13,33,46,8,29,615,1793,21,4,0,0,3027
2024-03-01 12:30:00,18,22,26,15,27,12,14,11,32,50,15,14,13,6,7,11,51,36,15,20,41,11,28,51,14,18,333,1322,31,16,0,0,2280
2024-03-01 12:40:00,23,29,26,10,21,16,22,14,41,59,17,31,17,12,15,13,43,31,19,15,45,11,26,47,16,19,471,651,17,9,0,0,1786
2024-03-01 12:50:00,17,22,30,16,22,18,17,10,34,46,18,17,18,9,10,10,42,30,11,15,32,14,30,47,18,18,440,1518,22,9,0,0,2560
2024-03-01 13:00:00,23,22,31,11,21,14,15,11,54,63,0,1,11,6,14,9,41,40,7,19,26,15,32,65,14,18,589,1747,12,4,1,0,2936
2024-03-01 13:10:00,16,21,23,14,21,14,7,8,33,61,2,2,9,27,5,5,36,26,3,10,14,8,15,38,2,4,216,339,13,4,0,1,997
2024-03-01 13:20:00,17,22,30,14,22,10,18,9,42,62,3,7,24,13,14,18,48,38,13,23,34,19,30,45,16,21,352,1385,26,8,1,0,2384
2024-03-01 13:30:00,23,27,32,13,25,19,21,13,36,50,15,20,17,12,14,9,45,38,7,12,49,10,34,62,5,11,520,1989,16,8,0,2,3154
2024-03-01 13:40:00,22,27,33,18,25,19,14,12,27,49,4,5,9,6,10,5,41,22,12,18,40,14,28,64,5,13,458,859,14,10,0,0,1883
2024-03-01 13:50:00,28,21,32,17,28,12,19,9,41,55,10,16,19,5,18,6,38,31,10,8,36,14,21,65,0,7,147,1017,21,10,0,1,1762
2024-03-01 14:00:00,27,27,38,20,26,16,20,15,34,49,21,12,10,8,11,10,42,30,9,13,24,14,35,66,0,14,187,418,24,12,0,0,1232
2024-03-01 14:10:00,36,37,33,13,27,17,21,8,33,41,16,18,8,7,10,11,40,33,11,12,31,12,41,77,2,15,260,837,27,13,1,9,1757
2024-03-01 14:20:00,28,40,35,15,32,23,26,16,32,46,13,9,31,4,8,3,56,39,11,15,42,8,33,77,1,0,87,810,53,10,1,1,1605
2024-03-01 14:30:00,27,35,42,15,22,13,26,12,33,42,7,12,13,5,10,7,52,36,33,17,53,13,35,83,0,6,373,731,16,5,0,1,1775
2024-03-01 14:40:00,29,36,46,20,28,20,24,11,30,40,14,15,11,4,11,5,44,33,10,20,27,13,32,72,2,10,281,1041,15,8,0,0,1952
2024-03-01 14:50:00,33,37,41,20,34,15,31,11,43,53,14,8,9,5,10,5,39,40,11,18,65,10,35,37,27,21,665,1227,22,10,0,0,2596
2024-03-01 15:00:00,37,32,50,11,34,23,26,11,33,50,6,3,13,20,13,5,44,28,22,15,43,15,26,75,1,5,455,910,21,10,0,2,2039
2024-03-01 15:10:00,41,32,41,19,32,18,28,13,39,55,14,12,12,12,14,17,49,37,17,17,31,15,32,65,3,9,608,956,23,7,0,0,2268
2024-03-01 15:20:00,40,32,46,17,31,17,27,11,34,33,12,12,91,6,20,10,48,34,10,15,23,13,38,54,9,10,578,1531,14,8,2,0,2826
2024-03-01 15:30:00,41,38,30,7,38,19,27,11,43,50,7,18,12,10,16,12,33,35,15,21,39,16,35,62,6,8,250,920,27,20,0,0,1866
2024-03-01 15:40:00,40,41,34,10,33,16,28,12,41,49,13,8,306,6,11,6,40,39,8,14,46,16,39,58,14,12,523,1131,20,6,0,0,2620
2024-03-01 15:50:00,24,21,20,10,22,20,27,12,35,41,14,15,10,2,8,4,33,28,13,17,33,8,32,37,12,15,469,1197,10,2,3,0,2194
2024-03-01 16:00:00,14,19,37,15,26,18,10,6,33,32,11,10,11,2,11,2,48,30,11,13,30,13,18,45,0,1,361,941,18,8,3,0,1797
2024-03-01 16:10:00,36,26,29,22,40,20,23,12,47,52,23,17,18,6,10,4,39,31,11,19,30,17,34,91,1,9,514,1025,17,6,0,0,2229
2024-03-01 16:20:00,36,25,30,19,34,16,19,11,42,42,14,14,16,5,12,5,61,34,9,13,34,10,38,54,13,11,525,1099,10,3,0,0,2254
2024-03-01 16:30:00,32,26,36,22,25,16,17,10,25,37,16,18,12,55,10,7,52,35,9,16,49,13,39,71,12,14,221,781,20,9,0,0,1705
2024-03-01 16:40:00,27,25,34,17,32,20,14,12,37,47,10,9,11,6,14,6,44,34,13,17,37,12,35,69,18,12,691,1392,14,7,0,0,2716
2024-03-01 16:50:00,23,22,30,14,35,16,21,10,37,39,20,19,16,7,9,9,41,38,9,14,58,13,32,67,2,5,577,656,24,9,2,7,1881
2024-03-01 17:00:00,29,24,29,11,29,17,22,12,28,34,18,15,14,8,13,10,48,29,26,17,41,13,38,78,4,18,343,1503,14,6,0,3,2494
2024-03-01 17:10:00,20,24,35,15,30,19,20,11,32,41,17,20,16,10,18,9,49,34,11,16,41,8,30,63,3,16,476,1130,14,2,1,1,2232
2024-03-01 17:20:00,21,16,30,18,21,8,17,9,37,42,10,13,8,3,8,2,33,19,6,12,41,8,29,40,12,9,288,842,19,9,4,1,1635
2024-03-01 17:30:00,18,32,37,13,22,15,9,9,39,42,21,21,17,5,13,4,48,42,12,15,54,9,34,52,5,20,359,951,19,7,1,0,1945
2024-03-01 17:40:00,16,25,34,14,21,12,18,12,33,45,12,18,229,2,9,3,44,35,10,15,40,8,33,74,0,8,342,1772,14,5,0,0,2903
2024-03-01 17:50:00,17,18,40,16,28,14,13,13,31,31,20,17,16,4,15,6,30,30,13,14,54,11,30,60,1,0,421,902,15,5,0,1,1886
2024-03-01 18:00:00,23,25,34,17,22,20,13,14,29,38,21,21,13,26,13,5,34,30,10,14,36,14,36,56,18,15,598,1474,17,6,0,0,2692
2024-03-01 18:10:00,17,27,35,12,25,19,14,8,28,41,13,11,10,62,12,5,37,32,12,15,41,11,34,53,9,30,621,1665,14,7,0,0,2920
2024-03-01 18:20:00,21,14,46,19,21,31,12,8,24,33,18,17,11,2,19,9,37,34,26,27,42,12,31,55,16,26,666,1502,22,11,0,1,2813
2024-03-01 18:30:00,15,24,28,12,16,18,15,11,34,30,22,23,17,7,19,12,34,25,26,21,35,23,31,52,17,18,445,1058,27,5,0,0,2120
2024-03-01 18:40:00,15,23,42,18,21,23,12,13,32,37,29,38,12,8,11,7,35,37,25,17,39,13,38,69,20,30,289,1058,32,9,2,0,2054
2024-03-01 18:50:00,7,18,25,10,28,21,13,10,27,27,24,33,12,5,21,7,38,18,37,13,47,11,28,61,13,37,485,1267,27,14,0,0,2384
2024-03-01 19:00:00,10,15,31,12,17,15,14,13,18,25,25,25,12,4,21,9,24,13,23,15,28,13,30,47,38,32,749,1658,22,5,0,0,2963
2024-03-01 19:10:00,10,18,23,13,27,18,11,9,28,34,25,35,12,5,25,9,39,27,17,18,20,12,29,44,55,29,642,1462,18,7,0,1,2722
2024-03-01 19:20:00,7,18,31,8,27,15,14,10,25,25,24,23,8,7,12,13,33,18,19,24,34,12,25,40,37,35,318,1002,28,10,0,0,1902
2024-03-01 19:30:00,12,15,28,12,17,40,14,15,23,19,33,26,13,5,18,9,37,20,29,23,29,24,24,30,53,41,475,1361,30,15,2,0,2492
2024-03-01 19:40:00,7,14,26,9,21,14,13,16,20,23,24,30,12,9,23,6,23,15,27,20,21,19,28,45,36,38,405,1644,9,8,0,0,2605
2024-03-01 19:50:00,6,17,23,5,22,13,11,12,19,19,20,23,8,4,15,9,36,32,21,21,24,16,28,32,35,27,792,1705,24,10,0,0,3029
2024-03-01 20:00:00,10,10,21,11,20,13,8,8,17,15,22,31,8,1,11,4,27,17,26,15,13,10,26,36,40,43,429,1617,29,9,0,0,2547
2024-03-01 20:10:00,10,7,22,7,20,12,5,5,15,17,23,22,6,3,15,3,25,9,25,16,19,14,21,31,48,42,730,2434,22,11,0,0,3639
2024-03-01 20:20:00,9,13,23,13,22,20,11,10,10,9,13,18,8,3,13,10,31,23,22,15,23,14,20,32,28,49,420,1705,20,7,3,0,2617
2024-03-01 20:30:00,8,14,16,7,18,14,5,3,13,10,22,19,5,42,11,2,25,16,34,18,18,15,14,17,41,23,336,1203,22,7,0,1,1999
2024-03-01 20:40:00,7,16,21,8,17,15,3,4,15,13,17,27,8,39,15,7,29,18,29,18,17,13,18,20,41,33,379,2150,17,8,0,0,3022
2024-03-01 20:50:00,5,10,14,9,11,12,6,5,12,16,17,27,8,12,13,10,23,14,23,12,23,19,17,13,36,25,600,808,19,10,0,0,1829
