datetime,D21Z,D22Z,V23Z,V24Z,D81Z,D82Z,V83Z,V84Z,D111Z,D112Z,V113Z,V114Z,D115Z,Total
2024-03-02 12:10:00,70,66,32,32,28,53,16,24,18,23,14,14,1,391
2024-03-02 12:20:00,57,63,29,28,28,46,15,19,15,30,85,19,2,436
2024-03-02 12:30:00,56,62,25,28,34,46,23,26,14,17,10,13,0,354
2024-03-02 12:40:00,64,55,28,22,30,53,21,24,17,21,11,9,0,355
2024-03-02 12:50:00,78,70,39,30,28,47,24,24,12,23,13,17,0,405
2024-03-02 13:00:00,62,64,26,38,22,42,16,22,18,25,10,18,3,366
2024-03-02 13:10:00,73,70,29,26,28,42,20,25,13,84,7,15,1,433
2024-03-02 13:20:00,64,65,41,38,35,38,25,19,13,15,10,13,0,376
2024-03-02 13:30:00,64,68,31,33,31,42,22,22,18,24,11,22,0,388
2024-03-02 13:40:00,71,90,30,37,24,40,22,18,15,22,12,19,0,400
2024-03-02 13:50:00,63,63,30,26,18,35,11,21,22,24,14,18,0,345
2024-03-02 14:00:00,80,82,37,34,16,46,12,16,14,20,10,14,3,384
2024-03-02 14:10:00,75,76,47,35,27,37,24,22,16,23,17,11,0,410
2024-03-02 14:20:00,69,72,38,34,31,48,24,25,18,23,13,21,0,416
2024-03-02 14:30:00,84,79,34,26,27,50,15,20,17,27,17,17,0,413
2024-03-02 14:40:00,72,75,33,37,25,35,15,19,27,59,14,20,0,431
2024-03-02 14:50:00,77,71,44,32,24,44,19,21,13,20,12,22,1,400
2024-03-02 15:00:00,60,63,25,28,18,36,12,20,14,20,10,16,0,322
2024-03-02 15:10:00,81,85,33,33,23,40,16,15,25,34,13,11,2,411
2024-03-02 15:20:00,55,68,35,32,28,44,21,22,24,35,16,21,1,402
2024-03-02 15:30:00,77,70,38,32,24,47,14,16,20,32,15,14,3,402
2024-03-02 15:40:00,65,77,40,32,32,45,18,23,18,19,0,17,0,386
2024-03-02 15:50:00,57,68,31,40,27,36,20,13,10,25,0,21,1,349
2024-03-02 16:00:00,74,67,40,36,25,39,13,21,8,43,3,15,0,384
2024-03-02 16:10:00,63,57,32,35,28,44,21,24,14,23,7,16,0,364
2024-03-02 16:20:00,54,66,28,28,23,33,18,23,19,24,11,12,0,339
2024-03-02 16:30:00,62,75,34,32,31,39,23,18,10,18,10,16,1,369
2024-03-02 16:40:00,62,64,25,30,32,45,23,21,18,23,12,18,0,373
2024-03-02 16:50:00,65,58,32,28,37,43,25,22,22,20,12,12,0,376
2024-03-02 17:00:00,59,41,24,26,25,38,17,15,13,15,10,18,1,302
2024-03-02 17:10:00,70,68,28,31,32,37,21,22,20,20,10,17,1,377
2024-03-02 17:20:00,71,66,29,33,27,41,16,21,72,26,19,16,0,437
2024-03-02 17:30:00,69,71,30,31,25,40,18,23,17,17,11,15,0,367
2024-03-02 17:40:00,62,62,28,32,22,53,20,24,19,28,15,21,1,387
2024-03-02 17:50:00,61,65,24,29,29,44,22,28,21,22,15,17,0,377
2024-03-02 18:00:00,66,46,27,23,27,45,17,20,19,21,15,15,0,341
