datetime,D20Z,D21Z,D22Z,V23Z,V24Z,D51Z,D52Z,D54Z,V55Z,V56Z,D80Z,D81Z,D82Z,V83Z,V84Z,V85Z,D110Z,D111Z,D112Z,V113Z,V114Z,V115Z,V116Z,V117Z,V118Z,Total
2024-03-01 15:50:00,18,57,69,14,35,505,0,81,37,0,28,93,2,12,6,2,1,116,51,29,60,250,26,94,58,1644
2024-03-01 16:00:00,26,71,72,29,48,329,0,107,36,0,25,87,0,19,20,5,0,153,64,33,66,222,23,108,70,1613
2024-03-01 16:10:00,19,76,69,41,41,214,0,39,32,0,33,81,0,23,18,10,4,131,68,31,59,111,22,84,57,1263
2024-03-01 16:20:00,17,59,67,30,33,51,0,46,31,0,34,103,4,14,11,7,4,143,60,27,55,7,18,92,56,969
2024-03-01 16:30:00,21,56,64,18,41,56,0,31,40,0,26,103,0,12,11,10,6,139,52,32,60,4,27,103,65,977
2024-03-01 16:40:00,20,64,69,26,34,69,0,41,33,0,35,94,0,12,14,12,3,141,57,38,69,7,22,97,64,1021
2024-03-01 16:50:00,18,53,62,24,33,58,0,35,44,0,27,98,0,13,11,6,4,132,53,36,60,5,18,94,53,937
2024-03-01 17:00:00,21,56,68,17,46,183,0,42,47,0,23,82,1,20,6,11,6,124,78,31,64,6,26,89,61,1108
2024-03-01 17:10:00,19,66,68,18,39,304,0,62,52,0,19,83,0,19,7,7,3,128,68,33,63,3,13,104,59,1237
2024-03-01 17:20:00,15,57,70,21,48,579,0,40,41,0,20,89,0,13,11,15,4,157,52,28,64,15,29,97,64,1529
2024-03-01 17:30:00,19,66,59,18,36,282,0,126,30,0,34,108,1,13,10,5,1,147,66,23,56,6,19,94,62,1281
2024-03-01 17:40:00,14,48,57,25,32,509,0,161,42,0,26,77,0,16,7,6,1,133,48,25,58,7,20,96,47,1455
2024-03-01 17:50:00,12,50,64,14,30,53,0,43,45,0,22,71,0,13,5,10,4,142,60,22,62,7,28,84,49,890
2024-03-01 18:00:00,13,51,61,18,36,69,0,54,54,0,15,71,1,13,7,8,3,113,51,33,66,27,30,101,50,945
2024-03-01 18:10:00,9,45,55,23,41,65,0,40,44,0,27,71,0,12,7,8,1,112,47,41,59,6,15,91,48,867
2024-03-01 18:20:00,12,53,68,23,37,54,0,36,41,1,23,96,0,16,15,42,1,121,41,43,54,6,33,110,67,993
2024-03-01 18:30:00,7,71,57,10,1,212,0,84,34,0,21,76,0,22,10,48,0,122,46,44,46,1,21,120,68,1121
2024-03-01 18:40:00,8,44,62,7,3,568,0,135,43,0,16,74,0,19,9,39,3,111,43,40,43,5,12,118,55,1457
2024-03-01 18:50:00,12,53,60,2,4,710,0,109,33,0,12,56,0,16,7,67,2,122,57,44,43,7,20,134,66,1636
2024-03-01 19:00:00,11,58,52,8,5,882,0,72,27,0,12,76,12,18,6,52,1,134,53,47,35,7,18,114,46,1746
2024-03-01 19:10:00,10,48,55,1,0,117,0,23,23,0,11,44,0,35,12,44,1,119,47,34,44,2,21,117,59,867
2024-03-01 19:20:00,10,34,53,5,7,43,0,21,25,0,10,58,0,26,11,37,0,96,33,37,24,10,17,95,50,702
2024-03-01 19:30:00,6,24,48,3,0,41,0,26,29,0,18,57,1,19,16,32,1,93,38,46,38,1,9,102,65,713
2024-03-01 19:40:00,7,32,43,2,5,304,0,16,19,0,13,61,0,29,10,58,0,87,39,48,32,6,10,100,45,966
2024-03-01 19:50:00,8,34,46,6,3,633,0,22,21,0,8,49,0,28,8,25,1,82,33,45,39,5,18,93,48,1255
2024-03-01 20:00:00,6,24,41,0,1,511,0,29,25,0,5,36,6,28,6,37,0,73,22,37,35,3,11,79,52,1067
2024-03-01 20:10:00,5,19,30,0,2,395,0,22,19,0,7,41,1,37,5,32,2,69,19,45,34,0,13,83,39,919
2024-03-01 20:20:00,3,14,26,0,1,23,0,15,19,0,8,42,2,31,13,26,1,55,20,33,27,3,5,69,36,472
2024-03-01 20:30:00,2,21,31,0,3,26,0,15,21,0,14,48,5,25,11,40,0,62,24,39,37,5,11,71,38,549
2024-03-01 20:40:00,5,12,37,3,2,22,0,16,21,0,5,23,0,17,11,31,3,53,32,47,36,2,5,64,44,491
2024-03-01 20:50:00,3,13,26,0,0,630,0,26,15,0,2,25,0,36,4,41,0,55,24,37,33,0,8,71,33,1082
2024-03-01 21:00:00,5,24,25,1,0,684,0,18,24,0,3,33,1,22,14,38,0,54,17,43,27,2,6,64,21,1126
2024-03-01 21:10:00,4,15,25,2,4,512,0,12,14,0,6,38,1,28,8,38,1,113,26,38,25,2,8,72,25,1017
2024-03-01 21:20:00,4,22,36,4,6,24,0,11,18,0,7,32,0,30,2,35,0,58,33,37,35,0,4,76,38,512
2024-03-01 21:30:00,4,16,18,3,4,23,0,8,17,0,5,32,0,28,9,38,0,54,18,51,30,2,10,66,26,462
2024-03-01 21:40:00,3,7,26,0,2,310,0,14,10,0,4,33,0,33,8,39,0,42,22,34,32,1,3,56,27,706
2024-03-01 21:50:00,3,11,23,7,2,605,0,144,17,0,2,28,0,30,2,33,0,44,19,52,31,6,3,58,29,1149
2024-03-01 22:00:00,3,10,21,0,2,601,0,31,16,0,0,30,0,30,5,29,0,47,25,50,35,1,2,57,27,1022
2024-03-01 22:10:00,1,13,23,3,2,50,0,124,20,0,9,37,1,25,3,35,2,58,23,41,25,2,4,68,23,592
2024-03-01 22:20:00,7,27,26,0,2,16,0,10,14,0,8,37,0,22,7,31,1,56,19,38,29,0,13,67,27,457
2024-03-01 22:30:00,3,16,25,0,0,216,0,12,16,0,8,34,0,23,7,37,1,56,16,41,25,0,4,65,29,634
2024-03-01 22:40:00,2,15,19,0,2,610,0,21,25,0,3,22,0,22,4,34,1,49,23,40,33,2,12,73,20,1032
2024-03-01 22:50:00,4,9,20,0,1,541,0,88,22,0,4,25,0,27,7,30,0,42,17,44,25,2,4,57,21,990
2024-03-01 23:00:00,0,11,19,3,0,59,0,11,14,0,4,34,0,29,11,22,0,33,13,36,24,1,7,42,18,391
2024-03-01 23:10:00,0,7,15,4,1,13,0,10,12,0,5,20,0,24,6,24,1,27,9,27,16,0,1,38,16,276
2024-03-01 23:20:00,2,10,20,1,0,435,0,7,11,0,3,23,0,21,5,29,1,35,21,31,27,1,1,44,23,751
2024-03-01 23:30:00,1,6,23,2,0,880,0,22,9,0,4,18,1,25,3,22,0,23,23,38,33,0,3,35,31,1202
2024-03-01 23:40:00,1,7,22,0,2,406,0,12,10,0,2,10,0,11,6,33,0,26,12,40,26,3,4,38,28,699
2024-03-01 23:50:00,0,8,14,5,1,20,0,11,15,0,4,11,0,16,6,21,0,27,15,30,22,1,3,35,14,279
2024-03-02 00:00:00,1,5,15,2,1,27,0,6,11,0,2,17,1,19,4,26,0,36,15,35,26,1,1,47,21,319
2024-03-02 00:10:00,0,5,15,0,2,801,0,15,13,0,4,8,1,9,1,16,0,30,11,26,21,4,1,33,16,1032
2024-03-02 00:20:00,0,4,13,3,1,716,0,2,5,0,3,11,1,14,3,18,0,18,7,18,10,0,3,25,16,891
2024-03-02 00:30:00,1,5,14,3,1,6,0,4,6,0,2,5,0,6,2,15,0,22,9,32,20,1,4,29,14,201
2024-03-02 00:40:00,0,3,9,0,0,6,0,1,6,0,3,14,0,24,2,19,0,20,10,26,14,0,1,26,13,197
2024-03-02 00:50:00,1,2,2,0,0,578,0,2,3,0,1,11,0,13,3,12,0,13,3,10,4,0,0,15,1,674
2024-03-02 01:00:00,0,0,5,0,0,1233,0,6,7,0,1,11,0,13,5,10,0,15,4,18,10,0,0,20,6,1364
2024-03-02 01:10:00,0,1,7,0,0,46,0,4,7,0,1,4,0,3,1,10,0,12,4,16,11,0,0,12,9,148
2024-03-02 01:20:00,0,3,11,0,0,2,0,0,2,0,2,5,0,11,1,10,0,9,3,14,12,3,0,11,11,110
2024-03-02 01:30:00,0,1,8,0,0,399,0,4,5,0,0,4,0,9,2,7,0,7,3,13,9,0,0,11,9,491
2024-03-02 01:40:00,0,2,6,0,1,1212,0,14,6,0,3,6,0,6,3,14,0,15,6,18,8,0,1,19,7,1347
2024-03-02 01:50:00,0,1,4,0,0,3,0,3,3,0,0,3,0,3,1,5,0,5,4,9,6,0,1,5,6,62
2024-03-02 02:00:00,1,2,12,0,0,2,0,1,2,0,2,14,0,16,4,17,0,15,12,22,14,0,1,26,14,177
2024-03-02 02:10:00,0,2,10,0,1,699,0,3,3,0,1,8,0,12,1,10,0,11,7,14,12,1,1,17,10,823
2024-03-02 02:20:00,0,1,10,0,0,850,0,4,3,0,0,5,0,6,1,10,0,5,4,14,9,0,0,11,15,948
2024-03-02 02:30:00,0,1,2,0,0,2,0,2,2,0,1,5,0,6,2,13,0,13,5,13,6,0,1,15,4,93
2024-03-02 02:40:00,1,3,6,2,0,65,0,2,3,0,1,6,0,5,1,8,0,8,5,13,8,0,0,8,6,151
2024-03-02 02:50:00,0,2,4,0,0,1000,0,0,1,0,1,3,0,6,2,6,0,3,2,8,4,0,1,6,7,1056
2024-03-02 03:00:00,0,0,2,0,0,515,0,0,0,0,1,10,0,10,2,18,0,16,4,20,8,0,0,22,3,631
2024-03-02 03:10:00,0,1,8,0,3,5,0,3,5,0,3,5,0,12,1,4,0,11,9,17,13,0,0,18,7,125
2024-03-02 03:20:00,0,0,2,0,1,403,0,1,2,0,1,2,0,3,1,8,0,8,3,10,4,0,0,11,2,462
2024-03-02 03:30:00,0,0,2,0,0,724,0,2,3,0,2,7,0,7,1,5,0,6,4,9,7,0,0,8,2,789
2024-03-02 03:40:00,0,2,7,0,0,1,0,1,1,0,1,3,0,4,0,10,0,6,8,13,13,4,0,13,11,98
2024-03-02 03:50:00,0,3,4,1,0,177,0,3,3,0,0,5,0,8,0,8,0,9,4,15,8,1,0,11,6,266
2024-03-02 04:00:00,0,3,3,1,0,919,0,3,6,0,0,4,0,5,2,4,0,8,5,13,7,0,2,11,4,1000
2024-03-02 04:10:00,0,1,4,0,0,96,0,4,4,0,0,6,0,8,0,11,0,6,7,11,8,0,0,9,8,183
2024-03-02 04:20:00,0,3,5,0,0,179,0,2,2,0,2,9,0,11,1,5,0,1,4,8,3,0,1,5,6,247
2024-03-02 04:30:00,0,3,2,0,0,1036,0,2,3,0,0,12,0,15,4,7,0,5,1,7,3,0,0,4,2,1106
2024-03-02 04:40:00,0,1,7,1,0,318,0,2,2,0,2,10,0,16,3,12,0,5,3,11,10,0,1,12,8,424
2024-03-02 04:50:00,1,1,8,1,1,4,0,4,5,0,1,7,0,11,2,9,0,9,4,13,10,0,0,13,10,114
2024-03-02 05:00:00,0,1,3,0,0,831,0,4,7,0,4,10,0,12,1,9,0,8,4,11,5,0,1,10,3,924
2024-03-02 05:10:00,0,0,13,0,0,811,0,4,5,0,4,9,0,14,5,10,0,9,7,18,11,2,0,14,14,950
2024-03-02 05:20:00,1,2,11,0,0,2,0,1,1,0,3,7,0,9,3,11,0,12,12,22,16,2,0,14,12,141
2024-03-02 05:30:00,2,3,6,0,0,243,0,2,7,0,6,16,0,17,2,15,0,10,5,13,10,1,0,15,6,379
2024-03-02 05:40:00,0,2,10,1,0,1001,0,9,6,0,3,17,0,22,3,17,0,15,9,21,15,0,2,24,11,1188
2024-03-02 05:50:00,0,1,8,0,0,364,0,2,2,0,4,9,0,16,2,12,0,11,8,18,13,0,0,18,12,500
2024-03-02 06:00:00,2,2,12,0,1,2,0,2,2,0,3,14,0,19,2,14,0,7,10,13,13,6,0,12,14,150
2024-03-02 06:10:00,0,4,12,1,0,248,0,8,9,0,7,13,0,12,1,11,0,9,9,16,14,0,1,12,12,399
2024-03-02 06:20:00,0,6,11,0,0,737,0,1,1,0,5,21,0,23,2,18,0,10,12,15,13,1,1,15,10,902
2024-03-02 06:30:00,1,7,12,0,2,364,0,10,8,0,1,13,0,18,1,21,0,26,9,29,15,1,0,35,14,587
2024-03-02 06:40:00,0,2,17,1,1,6,0,4,6,0,3,14,0,14,0,16,0,21,17,27,19,2,1,27,16,214
2024-03-02 06:50:00,1,5,24,3,13,11,0,7,12,0,9,20,0,18,0,19,0,15,15,20,22,2,1,19,20,256
2024-03-02 07:00:00,2,4,10,6,13,200,0,1,7,0,7,21,0,12,3,4,0,14,7,16,18,4,3,15,13,380
2024-03-02 07:10:00,1,2,12,3,10,627,0,12,9,0,6,13,0,14,2,0,1,14,8,12,13,1,0,18,12,790
2024-03-02 07:20:00,2,3,16,1,10,421,0,9,13,0,6,25,0,17,2,1,0,26,17,13,17,3,1,25,15,643
2024-03-02 07:30:00,1,4,17,0,19,19,0,12,14,0,5,20,0,13,1,1,0,32,12,19,24,0,2,27,18,260
2024-03-02 07:40:00,2,2,16,2,8,21,0,11,20,0,9,28,0,14,0,1,0,37,22,25,19,1,4,31,21,294
2024-03-02 07:50:00,5,9,24,6,18,61,0,9,13,0,10,28,0,16,2,1,0,27,11,20,23,2,4,31,24,344
2024-03-02 08:00:00,2,8,22,3,16,344,0,13,17,0,6,29,0,24,3,1,0,34,11,19,25,2,5,36,18,638
2024-03-02 08:10:00,0,5,16,3,16,159,0,21,17,0,13,33,0,19,2,0,0,26,14,17,21,3,0,26,16,427
2024-03-02 08:20:00,1,5,23,3,22,124,0,18,25,0,3,24,0,18,2,0,0,28,16,22,27,0,4,27,22,414
2024-03-02 08:30:00,2,12,25,6,17,133,0,69,28,0,13,44,0,19,1,3,1,34,10,17,25,1,9,32,26,527
2024-03-02 08:40:00,8,19,27,18,21,34,0,20,20,0,15,57,0,22,3,1,1,53,23,23,34,1,10,49,24,483
2024-03-02 08:50:00,5,16,37,7,23,38,0,18,27,0,6,34,0,18,1,3,1,55,26,26,46,0,12,60,37,496
2024-03-02 09:00:00,7,143,32,8,22,37,0,22,28,0,15,39,1,15,2,1,0,35,19,28,34,1,10,36,32,567
2024-03-02 09:10:00,5,19,42,6,32,33,0,19,25,0,16,53,0,18,6,7,1,65,27,31,37,0,11,53,37,543
2024-03-02 09:20:00,3,13,30,2,23,139,0,30,33,0,19,67,0,27,4,2,1,70,16,36,33,2,8,57,33,648
2024-03-02 09:30:00,8,19,35,7,22,141,0,22,32,0,15,55,2,22,7,6,0,57,26,34,44,2,10,51,38,655
2024-03-02 09:40:00,6,23,40,13,30,122,0,25,22,0,24,70,0,20,5,2,0,78,31,37,47,0,16,71,39,721
2024-03-02 09:50:00,7,24,35,10,24,123,0,31,27,0,26,80,0,23,11,4,0,87,22,42,40,2,13,70,36,737
2024-03-02 10:00:00,6,21,57,11,25,196,1,21,30,0,18,72,7,10,5,2,0,79,21,40,42,3,12,76,32,787
2024-03-02 10:10:00,7,23,44,12,36,37,0,24,21,0,17,58,0,13,5,5,0,71,34,34,45,2,12,65,41,606
2024-03-02 10:20:00,7,37,51,23,35,44,0,23,38,0,16,54,0,22,17,2,0,72,31,33,52,0,12,66,44,679
2024-03-02 10:30:00,7,29,45,24,37,32,0,15,26,0,24,73,0,17,5,5,0,82,23,39,53,0,10,71,49,666
2024-03-02 10:40:00,10,35,49,12,39,40,0,18,36,0,18,58,1,16,5,1,0,97,28,39,50,1,25,86,43,707
2024-03-02 10:50:00,18,40,51,23,41,322,0,46,36,0,20,74,0,14,3,0,0,78,28,41,50,0,21,71,54,1031
2024-03-02 11:00:00,9,31,41,16,34,592,0,92,40,0,22,71,2,19,5,1,0,65,37,44,49,2,9,67,42,1290
2024-03-02 11:10:00,9,35,49,21,49,288,0,32,34,0,21,74,0,15,2,4,1,97,38,44,50,8,7,79,40,997
2024-03-02 11:20:00,4,30,48,19,43,198,0,25,41,0,18,63,0,17,2,5,0,90,38,42,56,4,10,84,49,886
