datetime,D21Z,D22Z,D23Z,V24Z,V25Z,V26Z,D81Z,V82Z,D91Z,V92Z,D111Z,D112Z,V113Z,V114Z,Total
2024-03-02 06:30:00,1,6,2,1,6,2,8,7,0,0,3,4,5,4,49
2024-03-02 06:40:00,0,6,1,0,5,1,9,7,2,1,1,4,5,5,47
2024-03-02 06:50:00,0,14,4,0,11,2,14,11,0,0,2,3,3,3,67
2024-03-02 07:00:00,1,7,1,1,6,1,12,12,5,4,2,3,4,4,63
2024-03-02 07:10:00,0,4,2,0,4,1,6,6,2,2,2,7,8,7,51
2024-03-02 07:20:00,0,5,1,0,5,2,8,9,3,1,1,6,4,7,52
2024-03-02 07:30:00,1,14,3,0,12,3,15,15,2,2,3,11,10,10,101
2024-03-02 07:40:00,2,7,0,2,4,0,8,7,2,2,2,5,5,5,51
2024-03-02 07:50:00,0,18,4,1,13,2,14,12,1,2,5,13,14,12,111
2024-03-02 08:00:00,0,8,3,0,8,2,22,17,0,2,2,5,5,6,80
2024-03-02 08:10:00,1,16,1,1,14,1,21,18,3,3,4,2,5,4,94
2024-03-02 08:20:00,3,15,4,3,13,3,28,19,6,8,3,9,6,12,132
2024-03-02 08:30:00,1,22,5,0,17,4,21,13,6,6,4,10,10,7,126
2024-03-02 08:40:00,0,14,2,1,8,2,31,18,4,4,7,6,10,6,113
2024-03-02 08:50:00,4,33,3,2,19,3,39,18,5,5,12,8,10,9,170
2024-03-02 09:00:00,0,26,2,0,16,1,34,22,13,12,11,10,14,12,173
2024-03-02 09:10:00,1,30,3,0,13,5,33,21,3,4,10,12,15,14,164
2024-03-02 09:20:00,2,38,2,3,15,3,38,26,9,9,10,9,12,10,186
2024-03-02 09:30:00,1,26,3,2,11,5,35,22,8,10,10,15,9,10,167
2024-03-02 09:40:00,6,52,5,5,17,4,77,25,10,8,7,17,15,9,257
2024-03-02 09:50:00,3,42,3,1,17,1,60,24,22,16,10,12,13,16,240
2024-03-02 10:00:00,0,59,5,2,13,3,59,25,10,10,8,13,15,11,233
2024-03-02 10:10:00,3,56,2,1,13,3,56,27,9,9,12,20,17,15,243
2024-03-02 10:20:00,7,58,7,3,24,4,59,26,19,6,12,10,16,9,260
2024-03-02 10:30:00,1,48,0,2,11,1,32,21,10,9,14,15,11,12,187
2024-03-02 10:40:00,6,119,6,7,19,5,60,29,18,16,12,13,11,18,339
2024-03-02 10:50:00,1,52,4,0,19,2,55,29,13,8,22,13,10,10,238
2024-03-02 11:00:00,3,51,6,1,14,5,59,23,15,10,16,27,19,14,263
2024-03-02 11:10:00,1,51,5,2,15,5,56,18,12,10,18,16,20,13,242
2024-03-02 11:20:00,2,50,8,4,16,7,55,26,13,9,21,21,18,15,265
2024-03-02 11:30:00,5,41,6,3,17,6,48,25,15,14,19,12,10,11,232
2024-03-02 11:40:00,6,58,5,2,13,6,74,38,14,12,31,16,19,16,310
2024-03-02 11:50:00,5,60,8,4,13,8,49,27,9,10,32,20,17,18,280
2024-03-02 12:00:00,1,52,3,1,24,2,45,20,11,9,15,16,15,9,223
2024-03-02 12:10:00,5,72,2,6,16,3,38,24,11,11,35,21,23,16,283
2024-03-02 12:20:00,5,70,3,4,17,3,132,26,15,14,21,13,22,12,357
2024-03-02 12:30:00,1,59,6,1,19,5,49,24,17,10,26,26,11,12,266
2024-03-02 12:40:00,3,73,3,1,16,4,68,25,12,14,24,17,18,14,292
2024-03-02 12:50:00,3,65,5,0,9,4,54,25,11,10,32,25,17,22,282
2024-03-02 13:00:00,2,77,7,2,18,4,44,30,7,6,20,21,19,14,271
2024-03-02 13:10:00,8,65,2,3,14,6,74,20,15,10,21,16,22,14,290
2024-03-02 13:20:00,9,66,5,9,9,8,56,23,8,9,25,19,20,18,284
2024-03-02 13:30:00,8,53,2,4,11,5,40,20,12,13,35,21,24,14,262
2024-03-02 13:40:00,7,74,5,4,12,5,29,27,10,10,26,22,13,11,255
2024-03-02 13:50:00,19,255,11,9,15,11,19,24,10,10,39,21,15,18,476
2024-03-02 14:00:00,13,73,9,13,18,6,59,22,10,6,28,23,8,17,305
2024-03-02 14:10:00,19,79,5,16,19,4,57,24,11,9,31,25,21,17,337
2024-03-02 14:20:00,16,63,11,12,3,13,68,24,8,22,28,27,17,15,327
2024-03-02 14:30:00,23,85,6,13,21,4,40,19,8,7,17,25,14,17,299
2024-03-02 14:40:00,22,73,5,12,8,5,53,25,15,12,26,29,32,17,334
2024-03-02 14:50:00,10,60,9,13,13,10,47,19,9,7,21,18,22,17,275
2024-03-02 15:00:00,13,61,6,12,19,4,46,29,9,6,29,24,21,16,295
